row  column  (image_36_a.edf Zn-K*image_36_a.edf Ar-K**2.3)
0  0  3.17377e+07
0  1  6.4806e+07
0  2  6.97581e+07
0  3  4.08682e+07
0  4  8.42878e+07
0  5  8.27814e+07
0  6  2.84348e+07
0  7  4.66124e+07
0  8  6.92441e+06
0  9  3.0473e+07
0  10  3.08805e+07
0  11  0
0  12  0
0  13  0
0  14  0
0  15  1.34279e+07
0  16  0
0  17  1.45502e+07
0  18  0
0  19  3.34709e+07
0  20  9.45833e+06
0  21  0
0  22  5.05068e+07
0  23  7.02959e+07
0  24  9.5549e+07
0  25  0
0  26  0
0  27  0
0  28  0
0  29  3.70919e+07
0  30  6.40606e+07
1  0  8.43702e+07
1  1  1.06444e+08
1  2  1.18722e+08
1  3  7.61416e+07
1  4  8.94079e+07
1  5  1.40363e+08
1  6  7.74079e+07
1  7  2.56505e+07
1  8  3.26095e+07
1  9  3.90467e+07
1  10  2.26797e+07
1  11  0
1  12  0
1  13  1.69621e+07
1  14  0
1  15  1.20449e+07
1  16  0
1  17  0
1  18  2.4455e+06
1  19  0
1  20  0
1  21  8.77743e+06
1  22  0
1  23  0
1  24  1.72403e+07
1  25  0
1  26  0
1  27  0
1  28  0
1  29  2.48509e+07
1  30  0
2  0  7.94498e+07
2  1  1.20575e+08
2  2  1.3762e+08
2  3  9.97319e+07
2  4  9.75463e+07
2  5  8.79236e+07
2  6  1.16778e+08
2  7  1.01558e+08
2  8  8.726e+07
2  9  4.95841e+07
2  10  4.82028e+07
2  11  1.46382e+07
2  12  0
2  13  5.0253e+07
2  14  0
2  15  4.78286e+07
2  16  1.20936e+07
2  17  5.67599e+07
2  18  1.95055e+07
2  19  0
2  20  5.45901e+07
2  21  6.17557e+06
2  22  0
2  23  0
2  24  0
2  25  5.8765e+07
2  26  3.89381e+07
2  27  3.50299e+07
2  28  0
2  29  0
2  30  2.48417e+07
3  0  9.46355e+07
3  1  9.20493e+07
3  2  9.86352e+07
3  3  1.13035e+08
3  4  1.0116e+08
3  5  1.14582e+08
3  6  1.13952e+08
3  7  9.96316e+07
3  8  1.06722e+08
3  9  6.79363e+07
3  10  1.13174e+08
3  11  3.46719e+07
3  12  6.37702e+07
3  13  1.19424e+07
3  14  2.18368e+07
3  15  0
3  16  0
3  17  0
3  18  0
3  19  3.02302e+07
3  20  0
3  21  1.92525e+07
3  22  3.5606e+07
3  23  0
3  24  1.6587e+07
3  25  1.12032e+06
3  26  0
3  27  0
3  28  4.33912e+06
3  29  7.37178e+06
3  30  3.08533e+07
4  0  1.14724e+08
4  1  1.00899e+08
4  2  1.63895e+08
4  3  1.35371e+08
4  4  1.63831e+08
4  5  1.2959e+08
4  6  1.12224e+08
4  7  1.66182e+08
4  8  9.97858e+07
4  9  1.37994e+08
4  10  1.22921e+08
4  11  1.19819e+08
4  12  7.38801e+07
4  13  4.73799e+07
4  14  0
4  15  0
4  16  0
4  17  3.06818e+07
4  18  3.19508e+06
4  19  6.64319e+06
4  20  2.73119e+07
4  21  5.04902e+07
4  22  9.11293e+06
4  23  4.72558e+07
4  24  1.72186e+07
4  25  1.98509e+07
4  26  0
4  27  0
4  28  1.88046e+07
4  29  2.63573e+07
4  30  0
5  0  1.83772e+08
5  1  1.1373e+08
5  2  1.39421e+08
5  3  1.2878e+08
5  4  1.57481e+08
5  5  1.26656e+08
5  6  1.36844e+08
5  7  1.29228e+08
5  8  1.58388e+08
5  9  1.38146e+08
5  10  2.01962e+08
5  11  1.23496e+08
5  12  6.31996e+07
5  13  9.37989e+07
5  14  4.5607e+07
5  15  8.65667e+07
5  16  4.69191e+07
5  17  2.80611e+07
5  18  3.05937e+07
5  19  2.01439e+07
5  20  2.50673e+07
5  21  1.83802e+07
5  22  5.21035e+07
5  23  3.29808e+07
5  24  3.77949e+07
5  25  0
5  26  0
5  27  4.05391e+07
5  28  4.13798e+07
5  29  0
5  30  1.88109e+07
6  0  1.7946e+08
6  1  1.79572e+08
6  2  1.25389e+08
6  3  1.52738e+08
6  4  1.71164e+08
6  5  1.66925e+08
6  6  1.34985e+08
6  7  2.03869e+08
6  8  1.82384e+08
6  9  1.40347e+08
6  10  1.79367e+08
6  11  1.83908e+08
6  12  1.52542e+08
6  13  1.30452e+08
6  14  6.10048e+07
6  15  1.13394e+08
6  16  7.60966e+07
6  17  7.85944e+07
6  18  4.28634e+07
6  19  7.99892e+07
6  20  4.9725e+07
6  21  6.0055e+07
6  22  7.04493e+07
6  23  1.20256e+08
6  24  7.443e+07
6  25  8.05751e+07
6  26  4.33302e+07
6  27  5.54228e+07
6  28  6.57957e+07
6  29  3.54821e+06
6  30  3.30489e+07
7  0  2.43594e+08
7  1  1.62382e+08
7  2  2.05979e+08
7  3  1.46627e+08
7  4  1.25994e+08
7  5  2.02349e+08
7  6  1.14579e+08
7  7  1.97066e+08
7  8  2.00776e+08
7  9  1.99543e+08
7  10  1.86656e+08
7  11  1.59471e+08
7  12  1.83627e+08
7  13  1.72214e+08
7  14  2.02706e+08
7  15  1.39838e+08
7  16  9.75761e+07
7  17  1.01651e+08
7  18  1.08539e+08
7  19  1.36485e+08
7  20  1.03429e+08
7  21  1.49387e+08
7  22  9.55048e+07
7  23  8.13795e+07
7  24  6.19791e+07
7  25  7.03763e+07
7  26  8.36929e+07
7  27  6.26888e+07
7  28  2.94705e+07
7  29  9.20838e+07
7  30  9.96056e+07
8  0  2.12956e+08
8  1  2.2329e+08
8  2  2.17665e+08
8  3  2.51131e+08
8  4  1.81625e+08
8  5  1.99307e+08
8  6  1.87985e+08
8  7  2.13708e+08
8  8  2.75339e+08
8  9  1.92506e+08
8  10  2.23808e+08
8  11  2.28759e+08
8  12  2.1362e+08
8  13  2.28526e+08
8  14  1.85801e+08
8  15  1.36459e+08
8  16  1.77666e+08
8  17  1.77334e+08
8  18  1.7036e+08
8  19  1.70494e+08
8  20  1.73415e+08
8  21  1.74702e+08
8  22  1.69067e+08
8  23  1.48697e+08
8  24  1.34911e+08
8  25  1.02372e+08
8  26  1.42036e+08
8  27  1.33779e+08
8  28  1.37691e+08
8  29  1.63208e+08
8  30  1.37253e+08
9  0  2.21357e+08
9  1  2.16702e+08
9  2  2.6098e+08
9  3  2.39519e+08
9  4  1.731e+08
9  5  1.76152e+08
9  6  1.54987e+08
9  7  2.2571e+08
9  8  2.39144e+08
9  9  3.03916e+08
9  10  2.37903e+08
9  11  2.30235e+08
9  12  1.84276e+08
9  13  1.84573e+08
9  14  1.88985e+08
9  15  1.63448e+08
9  16  2.71341e+08
9  17  1.77961e+08
9  18  1.93188e+08
9  19  1.87259e+08
9  20  1.77208e+08
9  21  1.51566e+08
9  22  2.27438e+08
9  23  1.84367e+08
9  24  1.94497e+08
9  25  1.87011e+08
9  26  1.53997e+08
9  27  1.19076e+08
9  28  1.56363e+08
9  29  1.48595e+08
9  30  1.56311e+08
10  0  1.93792e+08
10  1  2.09566e+08
10  2  2.42695e+08
10  3  2.43859e+08
10  4  2.32817e+08
10  5  1.75688e+08
10  6  1.59723e+08
10  7  2.31107e+08
10  8  2.65277e+08
