row  column  (images_39.edf Mn-K*images_39.edf Ar-K**2.3)
0  0  0
0  1  1.16827e+06
0  2  2.49354e+06
0  3  1.85817e+06
0  4  2.0367e+06
0  5  2.5646e+06
0  6  2.11336e+06
0  7  552276
0  8  0
0  9  0
0  10  2.14136e+06
0  11  747245
0  12  4.81799e+06
0  13  2.96356e+06
0  14  4.57852e+06
0  15  97623.3
0  16  4.6817e+06
0  17  5.36287e+06
0  18  3.00195e+06
0  19  5.49158e+06
0  20  3.66005e+06
0  21  2.14847e+06
0  22  1.55631e+06
0  23  5.21466e+06
0  24  485823
0  25  3.66253e+06
0  26  4.09969e+06
0  27  58235.3
0  28  1.39769e+06
0  29  5.72098e+06
0  30  3.20047e+06
0  31  4.14892e+06
0  32  6.9349e+06
0  33  4.09145e+06
0  34  3.43765e+06
0  35  6.98036e+06
0  36  3.4721e+06
0  37  2.47659e+06
0  38  7.31174e+06
0  39  3.58702e+06
0  40  4.10566e+06
0  41  3.5251e+06
0  42  5.52695e+06
0  43  4.61989e+06
0  44  1.13427e+07
0  45  7.5271e+06
0  46  5.41343e+06
0  47  4.64462e+06
0  48  5.35518e+06
0  49  2.84718e+06
0  50  4.82323e+06
0  51  3.68183e+06
0  52  4.43019e+06
0  53  5.98785e+06
0  54  2.41696e+06
0  55  6.1609e+06
0  56  6.31868e+06
0  57  2.14772e+06
0  58  5.68302e+06
0  59  4.223e+06
0  60  3.10176e+06
0  61  5.47685e+06
0  62  7.77289e+06
0  63  3.91724e+06
0  64  7.98456e+06
0  65  1.06631e+07
0  66  7.60229e+06
0  67  9.17031e+06
0  68  3.13648e+06
0  69  5.11626e+06
0  70  4.06117e+06
0  71  1.98763e+06
0  72  5.51156e+06
0  73  2.63114e+06
0  74  7.40186e+06
0  75  6.23489e+06
0  76  5.32222e+06
0  77  4.23882e+06
0  78  9.57977e+06
0  79  9.80692e+06
0  80  3.87517e+06
0  81  6.4583e+06
0  82  9.7148e+06
0  83  6.05866e+06
0  84  8.07743e+06
0  85  1.20222e+07
0  86  5.74013e+06
0  87  6.98996e+06
0  88  4.40684e+06
0  89  8.15493e+06
0  90  6.45279e+06
0  91  8.25391e+06
0  92  8.63792e+06
0  93  5.88442e+06
0  94  5.84807e+06
0  95  6.9526e+06
0  96  5.42495e+06
0  97  5.68011e+06
0  98  5.23861e+06
0  99  8.88724e+06
0  100  9.97141e+06
1  0  2.49845e+06
1  1  3.10743e+06
1  2  643936
1  3  540536
1  4  1.31082e+06
1  5  3.26955e+06
1  6  0
1  7  1.25304e+06
1  8  1.5698e+06
1  9  3.14706e+06
1  10  3.05846e+06
1  11  2.61035e+06
