row  column  (images_14_017.edf Ca-K*images_14_017.edf Ar-K**(2.3))
0  0  1.3239e+08
0  1  1.54567e+08
0  2  1.37693e+08
0  3  1.19311e+08
0  4  1.41216e+08
0  5  1.62242e+08
0  6  2.2471e+08
0  7  3.09818e+08
0  8  3.08231e+08
0  9  3.08258e+08
0  10  3.80453e+08
0  11  4.24963e+08
0  12  5.7425e+08
0  13  7.12141e+08
0  14  8.90402e+08
0  15  9.72276e+08
0  16  1.18953e+09
0  17  1.08217e+09
0  18  1.0062e+09
0  19  9.45225e+08
0  20  1.01709e+09
0  21  1.23414e+09
0  22  1.21087e+09
0  23  1.31257e+09
0  24  1.40799e+09
0  25  1.45771e+09
0  26  1.17781e+09
0  27  1.24703e+09
0  28  1.20766e+09
0  29  1.09755e+09
0  30  1.20374e+09
0  31  1.21507e+09
0  32  1.31293e+09
0  33  1.2082e+09
0  34  1.069e+09
0  35  1.30062e+09
0  36  1.32376e+09
0  37  1.42826e+09
0  38  1.23836e+09
0  39  1.08389e+09
0  40  1.04891e+09
0  41  1.18497e+09
0  42  1.11627e+09
0  43  1.44898e+09
0  44  1.47088e+09
0  45  1.66774e+09
0  46  1.75124e+09
0  47  1.81348e+09
0  48  1.87237e+09
0  49  2.14452e+09
0  50  1.96777e+09
0  51  1.74668e+09
0  52  1.73417e+09
0  53  1.89699e+09
0  54  1.57093e+09
0  55  1.56804e+09
0  56  1.66395e+09
0  57  1.485e+09
0  58  1.54601e+09
0  59  1.44905e+09
0  60  1.50827e+09
0  61  1.33166e+09
0  62  1.23737e+09
0  63  1.06457e+09
0  64  8.9586e+08
0  65  1.03471e+09
0  66  1.02693e+09
0  67  1.03815e+09
0  68  1.08403e+09
0  69  1.17924e+09
0  70  1.20727e+09
0  71  1.3102e+09
0  72  1.34005e+09
0  73  1.21601e+09
0  74  1.16549e+09
0  75  1.00755e+09
0  76  1.14026e+09
0  77  1.0125e+09
0  78  1.03032e+09
0  79  1.13785e+09
0  80  1.14514e+09
0  81  1.11771e+09
0  82  1.03119e+09
0  83  8.62399e+08
0  84  8.00411e+08
0  85  7.05384e+08
0  86  7.00119e+08
0  87  6.28307e+08
0  88  6.23164e+08
0  89  5.59431e+08
0  90  6.45096e+08
0  91  7.5888e+08
0  92  7.53124e+08
0  93  7.41757e+08
0  94  8.13398e+08
0  95  8.78158e+08
0  96  7.82578e+08
0  97  8.17309e+08
0  98  7.07234e+08
0  99  6.81125e+08
0  100  6.3983e+08
1  0  1.70746e+08
1  1  1.3929e+08
1  2  1.35303e+08
1  3  1.50541e+08
1  4  1.72476e+08
1  5  2.04928e+08
1  6  2.64298e+08
1  7  3.07771e+08
1  8  3.23169e+08
1  9  4.37325e+08
1  10  4.37356e+08
1  11  5.7319e+08
1  12  5.87379e+08
1  13  7.46613e+08
1  14  1.03324e+09
1  15  1.0064e+09
1  16  1.15446e+09
1  17  1.02173e+09
1  18  9.35902e+08
1  19  9.64266e+08
1  20  1.1436e+09
1  21  1.12235e+09
1  22  1.18351e+09
1  23  1.3217e+09
1  24  1.43421e+09
1  25  1.26024e+09
1  26  1.18824e+09
1  27  1.28304e+09
1  28  1.13345e+09
1  29  1.11957e+09
1  30  1.13023e+09
1  31  1.04273e+09
1  32  1.21848e+09
1  33  1.17426e+09
1  34  1.17156e+09
1  35  1.33956e+09
1  36  1.26825e+09
1  37  1.17193e+09
1  38  1.14057e+09
1  39  1.00581e+09
1  40  1.22688e+09
1  41  1.27529e+09
1  42  1.34002e+09
1  43  1.55738e+09
1  44  1.69352e+09
1  45  1.72467e+09
1  46  1.84072e+09
1  47  1.72585e+09
1  48  1.77899e+09
1  49  1.70705e+09
1  50  1.83232e+09
1  51  1.58112e+09
1  52  1.61142e+09
1  53  1.55531e+09
1  54  1.68282e+09
1  55  1.70526e+09
1  56  1.47139e+09
1  57  1.6553e+09
1  58  1.54925e+09
1  59  1.23184e+09
1  60  1.15455e+09
1  61  1.23132e+09
1  62  1.09639e+09
1  63  1.06679e+09
1  64  1.0508e+09
1  65  9.61139e+08
1  66  1.04986e+09
1  67  1.05553e+09
1  68  1.01446e+09
1  69  1.20406e+09
1  70  1.23027e+09
1  71  1.48769e+09
1  72  1.10448e+09
1  73  1.02655e+09
1  74  1.14037e+09
1  75  9.72984e+08
1  76  1.09571e+09
1  77  9.75774e+08
1  78  1.05918e+09
1  79  1.19753e+09
1  80  1.08605e+09
1  81  1.03378e+09
1  82  9.2386e+08
1  83  9.04795e+08
1  84  8.03838e+08
1  85  6.72652e+08
1  86  7.36346e+08
1  87  5.71605e+08
1  88  5.85814e+08
1  89  5.25449e+08
1  90  5.87147e+08
1  91  6.85202e+08
1  92  7.98203e+08
1  93  8.02188e+08
1  94  8.3039e+08
1  95  9.53842e+08
1  96  7.64011e+08
1  97  7.43436e+08
1  98  6.83113e+08
1  99  7.04871e+08
1  100  9.63347e+08
2  0  1.69335e+08
2  1  1.57681e+08
2  2  1.52555e+08
2  3  1.77822e+08
2  4  1.70935e+08
2  5  2.02459e+08
2  6  3.2863e+08
2  7  2.79714e+08
2  8  2.99742e+08
2  9  3.84836e+08
2  10  4.33285e+08
2  11  5.5602e+08
2  12  6.37337e+08
2  13  8.44446e+08
2  14  9.40583e+08
2  15  1.12697e+09
2  16  1.23521e+09
2  17  8.1692e+08
2  18  1.04838e+09
2  19  9.99002e+08
2  20  1.02003e+09
2  21  1.14026e+09
2  22  1.27012e+09
2  23  1.34601e+09
2  24  1.33363e+09
2  25  1.27028e+09
2  26  1.17253e+09
2  27  1.17989e+09
2  28  1.11235e+09
2  29  1.08908e+09
2  30  1.22579e+09
2  31  1.13315e+09
2  32  1.11634e+09
2  33  1.3231e+09
2  34  1.21515e+09
2  35  1.2261e+09
2  36  1.20026e+09
2  37  1.15883e+09
2  38  1.1302e+09
2  39  1.13746e+09
2  40  1.13298e+09
2  41  1.30862e+09
2  42  1.33453e+09
2  43  1.60171e+09
2  44  1.62648e+09
2  45  1.87559e+09
2  46  1.60599e+09
2  47  1.91957e+09
2  48  1.91551e+09
2  49  1.54232e+09
2  50  1.6871e+09
2  51  1.56107e+09
2  52  1.61868e+09
2  53  1.74275e+09
2  54  1.70971e+09
2  55  1.69497e+09
2  56  1.65802e+09
2  57  1.63058e+09
2  58  1.24197e+09
2  59  1.29954e+09
2  60  1.28059e+09
2  61  1.08411e+09
2  62  1.0392e+09
2  63  1.07954e+09
2  64  9.9251e+08
2  65  1.00201e+09
2  66  9.85041e+08
2  67  1.2535e+09
2  68  1.22581e+09
2  69  1.21998e+09
2  70  1.24668e+09
2  71  1.34137e+09
2  72  1.50226e+09
2  73  1.24744e+09
2  74  1.30114e+09
2  75  9.61418e+08
2  76  9.02509e+08
2  77  9.65677e+08
2  78  1.23124e+09
2  79  1.21654e+09
2  80  1.21951e+09
2  81  9.34345e+08
2  82  8.52981e+08
2  83  7.80281e+08
2  84  7.26063e+08
2  85  6.29197e+08
2  86  5.88539e+08
2  87  5.88761e+08
2  88  5.06107e+08
2  89  5.48825e+08
2  90  6.57844e+08
2  91  7.80692e+08
2  92  7.28502e+08
2  93  7.67526e+08
2  94  9.57439e+08
2  95  9.20348e+08
2  96  9.16145e+08
2  97  8.17093e+08
2  98  7.90635e+08
2  99  7.24735e+08
2  100  6.54443e+08
3  0  1.5508e+08
3  1  1.65229e+08
3  2  1.56138e+08
3  3  1.82718e+08
3  4  1.92107e+08
3  5  2.04762e+08
3  6  2.57342e+08
3  7  3.09967e+08
3  8  3.47723e+08
3  9  3.68146e+08
3  10  4.17395e+08
3  11  5.62256e+08
3  12  6.31716e+08
3  13  8.53026e+08
3  14  1.11135e+09
3  15  1.16006e+09
3  16  1.25652e+09
3  17  1.00911e+09
3  18  9.25019e+08
3  19  9.36634e+08
3  20  1.0096e+09
3  21  1.27531e+09
3  22  1.35125e+09
3  23  1.29971e+09
3  24  1.17953e+09
3  25  1.24373e+09
3  26  1.13677e+09
3  27  1.13804e+09
3  28  1.0832e+09
3  29  1.19324e+09
3  30  1.13775e+09
3  31  1.19402e+09
3  32  1.23502e+09
3  33  1.27076e+09
3  34  1.22297e+09
3  35  1.17192e+09
3  36  1.14034e+09
3  37  1.00039e+09
3  38  1.14289e+09
3  39  1.06364e+09
3  40  1.16217e+09
3  41  1.336e+09
3  42  1.46555e+09
3  43  1.50374e+09
3  44  1.55055e+09
3  45  1.651e+09
3  46  1.61257e+09
3  47  2.05342e+09
3  48  1.90072e+09
3  49  2.00372e+09
3  50  1.6871e+09
3  51  1.63132e+09
3  52  1.56518e+09
3  53  1.33877e+09
3  54  1.59977e+09
3  55  1.54379e+09
3  56  1.86413e+09
3  57  1.58829e+09
3  58  1.36119e+09
3  59  1.27255e+09
3  60  1.14855e+09
3  61  1.07831e+09
3  62  1.12872e+09
3  63  1.02632e+09
3  64  1.00849e+09
3  65  1.11653e+09
3  66  1.09076e+09
3  67  1.31101e+09
3  68  1.20015e+09
3  69  1.30794e+09
3  70  1.37556e+09
3  71  1.34726e+09
3  72  1.43583e+09
3  73  1.24488e+09
3  74  1.19114e+09
3  75  1.18532e+09
3  76  9.49153e+08
3  77  1.19772e+09
3  78  1.21757e+09
3  79  1.19676e+09
3  80  1.17231e+09
3  81  1.01699e+09
3  82  8.01229e+08
3  83  9.0699e+08
3  84  7.65768e+08
3  85  7.43964e+08
3  86  5.98956e+08
3  87  6.03193e+08
3  88  5.30292e+08
3  89  5.599e+08
3  90  5.48792e+08
3  91  7.24244e+08
3  92  8.48081e+08
3  93  7.66302e+08
3  94  1.02787e+09
3  95  9.11109e+08
3  96  8.84166e+08
3  97  8.34152e+08
3  98  8.0735e+08
3  99  7.26358e+08
3  100  6.87031e+08
4  0  2.08014e+08
4  1  1.32641e+08
4  2  1.38539e+08
4  3  1.68381e+08
4  4  1.90422e+08
4  5  1.93917e+08
4  6  2.63165e+08
4  7  2.96402e+08
4  8  2.93734e+08
4  9  3.85266e+08
4  10  5.14662e+08
4  11  6.43306e+08
4  12  6.35766e+08
4  13  8.26482e+08
4  14  9.14251e+08
4  15  1.00886e+09
4  16  1.12691e+09
4  17  9.9662e+08
4  18  9.36712e+08
4  19  1.01465e+09
4  20  1.03888e+09
4  21  1.08498e+09
4  22  1.21612e+09
4  23  1.3095e+09
4  24  1.37008e+09
4  25  1.33685e+09
4  26  1.12035e+09
4  27  1.03158e+09
4  28  1.04122e+09
4  29  1.22757e+09
4  30  1.31066e+09
4  31  1.18239e+09
4  32  1.16808e+09
4  33  1.1064e+09
4  34  1.23418e+09
4  35  1.18037e+09
4  36  1.13674e+09
4  37  1.13833e+09
4  38  1.12836e+09
4  39  1.13493e+09
4  40  1.28787e+09
4  41  1.28025e+09
4  42  1.41704e+09
4  43  1.55047e+09
4  44  1.68067e+09
4  45  1.808e+09
4  46  1.57678e+09
4  47  1.69358e+09
4  48  1.82806e+09
4  49  1.61838e+09
4  50  1.66651e+09
4  51  1.5755e+09
4  52  1.52245e+09
4  53  1.83725e+09
4  54  1.71639e+09
4  55  1.56917e+09
4  56  1.62057e+09
4  57  1.65789e+09
4  58  1.49097e+09
4  59  1.23937e+09
4  60  1.24121e+09
4  61  1.08528e+09
4  62  1.15927e+09
4  63  1.04631e+09
4  64  1.11066e+09
4  65  1.0184e+09
4  66  1.11791e+09
4  67  1.30378e+09
4  68  1.23791e+09
4  69  1.48766e+09
4  70  1.51393e+09
4  71  1.49848e+09
4  72  1.34665e+09
4  73  1.33638e+09
4  74  1.34253e+09
4  75  1.29364e+09
4  76  1.1792e+09
4  77  1.11888e+09
4  78  1.23752e+09
4  79  1.21608e+09
4  80  1.21621e+09
4  81  1.12042e+09
4  82  8.78459e+08
4  83  7.17924e+08
4  84  7.06571e+08
4  85  6.76625e+08
4  86  5.90757e+08
4  87  5.26141e+08
4  88  5.39796e+08
4  89  4.88441e+08
4  90  5.4385e+08
4  91  7.74551e+08
4  92  7.64953e+08
4  93  8.18243e+08
4  94  1.03288e+09
4  95  9.43534e+08
4  96  8.62684e+08
4  97  8.42912e+08
4  98  8.11353e+08
4  99  8.65913e+08
4  100  7.26855e+08
5  0  2.06458e+08
5  1  1.76705e+08
5  2  1.66692e+08
5  3  1.59735e+08
5  4  2.11809e+08
5  5  1.7994e+08
5  6  2.4313e+08
5  7  3.00532e+08
