row  column  (images_14_017.edf Cu-K*images_14_017.edf Ar-K**(2.3))
0  0  1.40429e+06
0  1  0
0  2  0
0  3  0
0  4  103585
0  5  5.24896e+06
0  6  0
0  7  0
0  8  6.79206e+06
0  9  0
0  10  3.51892e+06
0  11  0
0  12  0
0  13  1.66487e+06
0  14  4.70836e+06
0  15  0
0  16  2.84631e+07
0  17  6.85065e+06
0  18  2.06421e+06
0  19  2.97541e+07
0  20  4.76344e+06
0  21  0
0  22  0
0  23  2.64643e+07
0  24  1.17983e+07
0  25  0
0  26  2.94981e+07
0  27  62082
0  28  0
0  29  0
0  30  0
0  31  1.1816e+07
0  32  6.33659e+06
0  33  1.26432e+07
0  34  0
0  35  0
0  36  0
0  37  0
0  38  0
0  39  0
0  40  1.61042e+07
0  41  0
0  42  1.05829e+06
0  43  213211
0  44  0
0  45  677060
0  46  0
0  47  0
0  48  0
0  49  1.5659e+07
0  50  3.17099e+07
0  51  2.18726e+07
0  52  6.87993e+06
0  53  1.57951e+07
0  54  0
0  55  1.81398e+07
0  56  0
0  57  0
0  58  0
0  59  1.8672e+07
0  60  3.72597e+07
0  61  2.05674e+06
0  62  1.7286e+07
0  63  1.75019e+07
0  64  0
0  65  3.25598e+07
0  66  1.1208e+07
0  67  9.46296e+06
0  68  1.34479e+07
0  69  0
0  70  2.64893e+07
0  71  2.39984e+07
0  72  3.37851e+06
0  73  0
0  74  6.57801e+06
0  75  1.06135e+07
0  76  2.34309e+07
0  77  0
0  78  1.00026e+07
0  79  0
0  80  0
0  81  0
0  82  9.80543e+06
0  83  2.78501e+07
0  84  1.7364e+07
0  85  0
0  86  574816
0  87  4.40437e+06
0  88  2.84604e+07
0  89  98601.7
0  90  0
0  91  6.34066e+06
0  92  0
0  93  0
0  94  0
0  95  0
0  96  2.159e+07
0  97  0
0  98  0
0  99  0
0  100  2.38442e+07
1  0  0
1  1  0
1  2  1.99737e+06
1  3  0
1  4  0
1  5  6.78719e+06
1  6  0
1  7  918631
1  8  1.96616e+06
1  9  1.88368e+07
1  10  3.88833e+06
1  11  1.54538e+07
1  12  0
1  13  0
1  14  2.87139e+07
1  15  1.17532e+07
1  16  4.44197e+06
1  17  0
1  18  6.05172e+06
1  19  2.93136e+07
1  20  0
1  21  0
1  22  0
1  23  1.54934e+07
1  24  0
1  25  1.93096e+07
1  26  0
1  27  9.03322e+06
1  28  4.1738e+06
1  29  0
1  30  1.85739e+06
1  31  249406
1  32  1.62856e+07
1  33  0
1  34  0
1  35  2.08644e+07
1  36  0
1  37  0
1  38  1.21171e+07
1  39  0
1  40  3.76989e+07
1  41  0
1  42  0
1  43  904819
1  44  0
1  45  2.49449e+06
1  46  0
1  47  2.41245e+07
1  48  0
1  49  1.49411e+07
1  50  0
1  51  0
1  52  1.11108e+07
1  53  0
1  54  0
1  55  0
1  56  7.00569e+06
1  57  1.90997e+07
1  58  0
1  59  1.25988e+07
1  60  0
1  61  1.01507e+07
1  62  2.31423e+06
1  63  0
1  64  2.13903e+07
1  65  0
1  66  0
1  67  422037
1  68  0
1  69  0
1  70  3.19641e+06
1  71  7.09352e+06
1  72  1.68658e+07
1  73  0
1  74  0
1  75  4.85867e+06
1  76  0
1  77  0
1  78  8.89528e+06
1  79  0
1  80  0
1  81  0
1  82  1.2726e+07
1  83  0
1  84  0
1  85  0
1  86  3.76517e+07
1  87  0
1  88  0
1  89  5.22929e+06
1  90  5.83007e+06
1  91  1.89952e+07
1  92  0
1  93  2.48567e+07
1  94  1.65996e+07
1  95  0
1  96  3.87844e+06
1  97  0
1  98  6.09568e+07
1  99  1.47993e+07
1  100  1.09675e+07
2  0  1.30925e+06
2  1  0
2  2  0
2  3  0
2  4  0
2  5  582934
2  6  0
2  7  0
2  8  0
2  9  200946
2  10  0
2  11  0
2  12  4.36575e+06
2  13  1.57156e+07
2  14  1.776e+07
2  15  4.76703e+06
2  16  3.25326e+06
2  17  1.15452e+07
2  18  2.45225e+07
2  19  0
2  20  0
2  21  8.93422e+06
2  22  1.64624e+07
2  23  2.33357e+07
2  24  3.73269e+07
2  25  0
2  26  1.37186e+07
2  27  162307
2  28  0
2  29  8.78931e+06
2  30  1.79494e+06
2  31  3.71545e+06
2  32  4.89132e+07
2  33  8.18298e+06
2  34  0
2  35  1.10409e+07
2  36  3.36631e+06
2  37  0
2  38  0
2  39  1.49205e+07
2  40  0
2  41  0
2  42  0
2  43  0
2  44  2.8176e+07
2  45  0
2  46  1.24937e+07
2  47  1.08977e+07
2  48  0
2  49  0
2  50  2.92806e+07
2  51  0
2  52  8.50337e+06
2  53  0
2  54  0
2  55  0
2  56  0
2  57  2.90097e+07
2  58  0
2  59  1.66292e+07
2  60  0
2  61  6.15443e+06
2  62  1.93265e+07
2  63  0
2  64  8.73595e+06
2  65  0
2  66  0
2  67  1.57453e+07
2  68  0
2  69  0
2  70  1.09124e+07
2  71  2.1957e+07
2  72  1.51261e+07
2  73  0
2  74  0
2  75  0
2  76  604202
2  77  0
2  78  0
2  79  2.17116e+06
2  80  0
2  81  0
2  82  2.96631e+07
2  83  492934
2  84  0
2  85  1.26353e+07
2  86  0
2  87  2.11938e+07
2  88  0
2  89  3.60104e+07
2  90  9.40437e+06
2  91  1.8515e+07
2  92  1.9298e+06
2  93  0
2  94  1.49927e+07
2  95  7.00874e+06
2  96  0
2  97  0
2  98  2.28175e+07
2  99  4.87207e+06
2  100  5.26348e+07
3  0  0
3  1  0
3  2  0
3  3  7.63367e+06
3  4  0
3  5  1.93848e+06
3  6  0
3  7  0
3  8  0
3  9  2.63557e+06
3  10  0
3  11  1.27349e+07
3  12  1.79934e+07
3  13  0
3  14  1.00562e+07
3  15  1.58442e+07
3  16  4.47936e+06
3  17  2.35612e+06
3  18  0
3  19  1.22627e+07
3  20  0
3  21  1.20184e+07
3  22  2.25708e+06
3  23  0
3  24  7.85866e+06
3  25  4.54194e+06
3  26  2.16407e+07
3  27  185054
3  28  0
3  29  0
3  30  0
3  31  0
3  32  2.37815e+06
3  33  0
3  34  0
3  35  2.026e+07
3  36  0
3  37  0
3  38  0
3  39  0
3  40  2.76954e+07
3  41  0
3  42  3.02533e+07
3  43  0
3  44  9.3679e+06
3  45  0
3  46  2.16917e+06
3  47  8.23655e+06
3  48  9.29472e+06
3  49  1.56227e+06
3  50  0
3  51  3.10158e+06
3  52  0
3  53  3.16162e+07
3  54  4.37261e+07
3  55  8.02304e+06
3  56  0
3  57  0
3  58  0
3  59  0
3  60  0
3  61  1.74354e+07
3  62  5.81596e+06
3  63  0
3  64  2.39868e+06
3  65  0
3  66  0
3  67  0
3  68  0
3  69  0
3  70  4.34408e+06
3  71  2.18371e+07
3  72  0
3  73  2.30625e+07
3  74  1.66797e+06
3  75  2.97327e+06
3  76  3.45819e+07
3  77  2.80376e+07
3  78  0
3  79  2.55265e+07
3  80  0
3  81  1.64283e+06
3  82  0
3  83  0
3  84  0
3  85  2.69897e+07
3  86  0
3  87  6.47138e+06
3  88  0
3  89  1.56455e+07
3  90  0
3  91  0
3  92  9.37161e+06
3  93  5.54322e+06
3  94  2.61701e+07
3  95  0
3  96  2.0434e+06
3  97  1.42835e+07
3  98  9.97058e+06
3  99  0
3  100  4.37693e+07
4  0  0
4  1  0
4  2  817169
4  3  1.21702e+06
4  4  0
4  5  0
4  6  9.79318e+06
4  7  0
4  8  1.99895e+06
4  9  0
4  10  0
4  11  0
4  12  0
4  13  0
4  14  9.84739e+06
4  15  2.3707e+07
4  16  3.68314e+06
4  17  2.87438e+06
4  18  6.38548e+06
4  19  9.43394e+06
4  20  0
4  21  2.44223e+07
4  22  0
4  23  1.97147e+07
4  24  0
4  25  0
4  26  0
4  27  0
4  28  0
4  29  0
4  30  1.57876e+07
4  31  3.12032e+07
4  32  2.26419e+07
4  33  1.95998e+06
4  34  0
4  35  2.78329e+07
4  36  0
4  37  3.5399e+06
4  38  0
4  39  0
4  40  0
4  41  0
4  42  2.62676e+07
4  43  0
4  44  2.38823e+07
4  45  5.18279e+06
4  46  0
4  47  3.65789e+07
4  48  7.62021e+06
4  49  0
4  50  0
4  51  4.70946e+06
4  52  0
4  53  0
4  54  6.53617e+06
4  55  0
4  56  0
4  57  1.41058e+07
4  58  4.05089e+06
4  59  2.32884e+06
4  60  5.7912e+06
4  61  0
4  62  0
4  63  0
4  64  3.26643e+07
4  65  0
4  66  4.92958e+06
4  67  0
4  68  7.06553e+06
4  69  0
4  70  0
4  71  1.48995e+07
4  72  3.36042e+06
4  73  0
4  74  0
4  75  0
4  76  0
4  77  0
4  78  4.62129e+06
4  79  1.51278e+07
4  80  0
4  81  3.02743e+07
4  82  7.96062e+06
4  83  0
4  84  0
4  85  0
4  86  0
4  87  151147
4  88  0
4  89  0
4  90  0
4  91  0
4  92  0
4  93  19739.5
4  94  2.5256e+06
4  95  1.54828e+07
4  96  1.06683e+07
4  97  8.28687e+06
4  98  3.01252e+07
4  99  0
4  100  7.22885e+07
5  0  5.8609e+06
5  1  1.47445e+06
5  2  4.0265e+06
5  3  7.06621e+06
5  4  4.85394e+06
5  5  0
5  6  0
5  7  0
5  8  0
5  9  6.26429e+06
5  10  0
5  11  1.60488e+07
5  12  2.21576e+07
5  13  1.50634e+06
5  14  1.801e+06
5  15  3.46485e+07
5  16  1.28246e+06
5  17  0
5  18  0
5  19  0
5  20  2.69423e+07
5  21  0
5  22  0
5  23  6.92419e+06
5  24  4.28454e+07
5  25  0
5  26  0
5  27  4.00402e+06
5  28  0
5  29  0
5  30  0
5  31  2.19662e+07
5  32  3.83991e+06
5  33  4.60286e+06
5  34  0
5  35  7.18857e+06
5  36  0
5  37  0
5  38  0
5  39  0
5  40  1.26755e+07
5  41  1.66096e+07
5  42  8.61177e+06
5  43  0
5  44  0
5  45  0
5  46  2.31283e+07
5  47  3.55808e+07
5  48  4.58581e+07
5  49  0
5  50  6.36999e+06
5  51  6.47298e+06
5  52  2.19352e+06
5  53  2.23678e+07
5  54  0
5  55  1.34317e+07
5  56  0
5  57  0
5  58  1.52652e+07
5  59  0
5  60  0
5  61  0
5  62  0
5  63  0
5  64  1.96395e+07
5  65  0
5  66  0
5  67  0
5  68  0
5  69  6.96519e+06
5  70  0
5  71  0
5  72  1.3044e+07
5  73  5.59438e+06
5  74  1.91171e+07
5  75  0
5  76  0
5  77  8.08753e+06
5  78  3.62091e+07
5  79  1.83473e+06
5  80  1.1185e+07
5  81  1.9009e+07
5  82  0
5  83  4.28931e+07
5  84  0
5  85  292042
5  86  0
5  87  0
5  88  8.90019e+06
5  89  0
5  90  0
5  91  7.80193e+06
5  92  0
5  93  2.61508e+07
5  94  0
5  95  2.28831e+07
5  96  0
5  97  0
5  98  2.46829e+07
5  99  7.44627e+06
5  100  8.92052e+07
6  0  896333
6  1  0
6  2  0
6  3  0
6  4  0
6  5  0
6  6  0
6  7  0
6  8  2.1753e+07
6  9  0
6  10  0
6  11  1.89671e+06
6  12  0
6  13  1.9936e+07
6  14  1.81284e+06
6  15  2.72671e+06
6  16  2.63214e+07
6  17  587883
6  18  1.32555e+07
6  19  2.56564e+07
6  20  1.35661e+07
6  21  1.0697e+07
6  22  0
6  23  3.40769e+06
6  24  1.85122e+06
6  25  0
6  26  0
6  27  6.48402e+06
6  28  0
6  29  1.78886e+07
6  30  0
6  31  0
6  32  0
6  33  4.66532e+06
6  34  0
6  35  2.61473e+07
6  36  0
6  37  5.12845e+06
6  38  1.71985e+07
6  39  0
6  40  0
6  41  3.58977e+07
6  42  9.36193e+06
6  43  7.00328e+06
6  44  0
6  45  1.25835e+07
6  46  1.0952e+07
6  47  0
6  48  1.88498e+07
6  49  0
6  50  7.0355e+06
6  51  0
6  52  4.58854e+06
6  53  0
6  54  0
6  55  0
6  56  1.29717e+07
6  57  2.56365e+07
6  58  3.38882e+07
6  59  0
6  60  3.5187e+07
6  61  2.00737e+06
6  62  6.07737e+06
6  63  2.76157e+06
6  64  3.34691e+07
6  65  4.71369e+07
6  66  0
6  67  9.62934e+06
6  68  5.31471e+06
6  69  0
