row  column  (images_14_017.edf Fe-K*images_14_017.edf Ar-K**(2.3))
0  0  7.06897e+06
0  1  1.88364e+07
0  2  2.39059e+07
0  3  2.22524e+07
0  4  4.66975e+07
0  5  2.76309e+07
0  6  1.99728e+07
0  7  5.93152e+07
0  8  4.85828e+07
0  9  4.02662e+07
0  10  4.65781e+07
0  11  5.11336e+07
0  12  1.0826e+08
0  13  1.23741e+08
0  14  1.75849e+08
0  15  1.88577e+08
0  16  1.71347e+08
0  17  1.56252e+08
0  18  1.84386e+08
0  19  3.94248e+08
0  20  2.19002e+08
0  21  1.38646e+08
0  22  1.54429e+08
0  23  1.80822e+08
0  24  1.72356e+08
0  25  1.549e+08
0  26  9.31299e+07
0  27  1.14605e+08
0  28  1.16954e+08
0  29  1.03084e+08
0  30  1.01718e+08
0  31  1.06614e+08
0  32  1.02388e+08
0  33  1.26613e+08
0  34  1.00397e+08
0  35  1.10913e+08
0  36  1.31101e+08
0  37  1.20698e+08
0  38  1.11288e+08
0  39  9.05388e+07
0  40  7.61397e+07
0  41  1.36994e+08
0  42  1.37397e+08
0  43  1.75889e+08
0  44  1.26513e+08
0  45  1.02005e+08
0  46  1.23879e+08
0  47  1.47215e+08
0  48  1.69414e+08
0  49  2.75345e+08
0  50  4.44171e+08
0  51  2.5462e+08
0  52  1.75755e+08
0  53  1.1757e+08
0  54  1.17218e+08
0  55  9.35738e+07
0  56  1.84663e+08
0  57  1.6529e+08
0  58  1.56607e+08
0  59  2.73027e+08
0  60  2.90533e+08
0  61  1.26026e+08
0  62  9.40607e+07
0  63  9.53013e+07
0  64  7.3411e+07
0  65  8.53688e+07
0  66  7.61464e+07
0  67  1.10408e+07
0  68  8.95627e+07
0  69  9.432e+07
0  70  9.20874e+07
0  71  7.32146e+07
0  72  1.07041e+08
0  73  1.04363e+08
0  74  4.96004e+07
0  75  7.11747e+07
0  76  9.50445e+07
0  77  6.75869e+07
0  78  7.14294e+07
0  79  8.10406e+07
0  80  6.82366e+07
0  81  6.95179e+07
0  82  6.54348e+07
0  83  5.12295e+07
0  84  6.5538e+07
0  85  4.00823e+07
0  86  4.75271e+07
0  87  5.99824e+07
0  88  6.74118e+07
0  89  5.84382e+07
0  90  5.65118e+07
0  91  5.11492e+07
0  92  8.07821e+07
0  93  7.96319e+07
0  94  6.72105e+07
0  95  8.06784e+07
0  96  6.40051e+07
0  97  9.63276e+07
0  98  6.66015e+07
0  99  6.33561e+07
0  100  5.45314e+07
1  0  7.30591e+06
1  1  1.82782e+07
1  2  2.76899e+07
1  3  3.27613e+07
1  4  3.44388e+07
1  5  3.2428e+07
1  6  4.78265e+07
1  7  5.24719e+07
1  8  5.87602e+07
1  9  5.35359e+07
1  10  6.42289e+07
1  11  8.05375e+07
1  12  1.16377e+08
1  13  1.15039e+08
1  14  1.95923e+08
1  15  1.73493e+08
1  16  1.63396e+08
1  17  1.60651e+08
1  18  2.68467e+08
1  19  3.94909e+08
1  20  1.63521e+08
1  21  1.70428e+08
1  22  1.81127e+08
1  23  1.71024e+08
1  24  1.79254e+08
1  25  9.80176e+07
1  26  1.02989e+08
1  27  1.30704e+08
1  28  9.98498e+07
1  29  1.05717e+08
1  30  8.47235e+07
1  31  1.00068e+08
1  32  8.54271e+07
1  33  1.06058e+08
1  34  1.22581e+08
1  35  8.84878e+07
1  36  1.0465e+08
1  37  9.45687e+07
1  38  1.07419e+08
1  39  9.95696e+07
1  40  1.2982e+08
1  41  1.78425e+08
1  42  1.29311e+08
1  43  1.35028e+08
1  44  1.17913e+08
1  45  1.06091e+08
1  46  1.62333e+08
1  47  1.64598e+08
1  48  3.72528e+08
1  49  2.74078e+08
1  50  2.40566e+08
1  51  1.54265e+08
1  52  1.44197e+08
1  53  1.19724e+08
1  54  1.6178e+08
1  55  1.83791e+08
1  56  1.71107e+08
1  57  1.88342e+08
1  58  2.49664e+08
1  59  3.07419e+08
1  60  1.34287e+08
1  61  9.87251e+07
1  62  1.10317e+08
1  63  8.82196e+07
1  64  3.69459e+07
1  65  6.96057e+07
1  66  8.03767e+07
1  67  6.75792e+07
1  68  8.50898e+07
1  69  1.0218e+08
1  70  1.20897e+08
1  71  1.07377e+08
1  72  6.47832e+07
1  73  7.50583e+07
1  74  5.34955e+07
1  75  5.43356e+07
1  76  9.82446e+07
1  77  6.21673e+07
1  78  6.92249e+07
1  79  5.69524e+07
1  80  4.13731e+07
1  81  7.38212e+07
1  82  5.04648e+07
1  83  5.6382e+07
1  84  6.06797e+07
1  85  6.1041e+07
1  86  4.35722e+07
1  87  7.00193e+07
1  88  7.24353e+07
1  89  5.35194e+07
1  90  5.28284e+07
1  91  5.17702e+07
1  92  1.01952e+08
1  93  7.73331e+07
1  94  6.03474e+07
1  95  7.25125e+07
1  96  7.70511e+07
1  97  6.73322e+07
1  98  2.61531e+07
1  99  3.54143e+07
1  100  8.02722e+07
2  0  2.79137e+07
2  1  2.73082e+07
2  2  3.23777e+07
2  3  2.93095e+07
2  4  2.18367e+07
2  5  3.47896e+07
2  6  4.98709e+07
2  7  4.39238e+07
2  8  4.3608e+07
2  9  5.8841e+07
2  10  6.13009e+07
2  11  6.68649e+07
2  12  1.14786e+08
2  13  1.48167e+08
2  14  1.68301e+08
2  15  1.78982e+08
2  16  1.55721e+08
2  17  1.6035e+08
2  18  5.63562e+08
2  19  2.54084e+08
2  20  1.286e+08
2  21  1.30293e+08
2  22  1.69765e+08
2  23  1.43849e+08
2  24  1.46845e+08
2  25  1.31553e+08
2  26  1.07418e+08
2  27  1.24056e+08
2  28  1.12004e+08
2  29  1.05337e+08
2  30  9.43983e+07
2  31  9.51294e+07
2  32  1.07926e+08
2  33  9.90736e+07
2  34  1.15296e+08
2  35  1.10785e+08
2  36  9.55562e+07
2  37  1.11882e+08
2  38  1.07599e+08
2  39  8.86326e+07
2  40  1.10828e+08
2  41  1.99793e+08
2  42  1.47713e+08
2  43  1.56047e+08
2  44  1.09003e+08
2  45  1.36312e+08
2  46  1.32531e+08
2  47  1.90602e+08
2  48  2.2349e+08
2  49  4.93987e+08
2  50  2.59182e+08
2  51  2.02809e+08
2  52  1.62379e+08
2  53  1.55537e+08
2  54  1.4769e+08
2  55  1.65978e+08
2  56  2.21667e+08
2  57  2.05709e+08
2  58  1.61763e+08
2  59  2.33679e+08
2  60  1.25796e+08
2  61  9.74104e+07
2  62  9.779e+07
2  63  1.20275e+08
2  64  6.44424e+07
2  65  6.93823e+07
2  66  7.58614e+07
2  67  8.12458e+07
2  68  1.02414e+08
2  69  9.51807e+07
2  70  7.86887e+07
2  71  8.67527e+07
2  72  1.45893e+08
2  73  1.22476e+08
2  74  8.09106e+07
2  75  4.95126e+07
2  76  6.35012e+07
2  77  7.50066e+07
2  78  6.63699e+07
2  79  5.78646e+07
2  80  8.96987e+07
2  81  7.82967e+07
2  82  1.87495e+07
2  83  8.14734e+07
2  84  6.23896e+07
2  85  6.73105e+07
2  86  3.78974e+07
2  87  5.36744e+07
2  88  8.92221e+07
2  89  7.01651e+07
2  90  3.82181e+07
2  91  6.85593e+07
2  92  1.2892e+08
2  93  7.79913e+07
2  94  6.62115e+07
2  95  6.48507e+07
2  96  8.71302e+07
2  97  1.47318e+08
2  98  7.85843e+07
2  99  3.03522e+07
2  100  5.09118e+07
3  0  2.39695e+07
3  1  3.38148e+07
3  2  2.79529e+07
3  3  1.53628e+07
3  4  2.9136e+07
3  5  4.1094e+07
3  6  3.63943e+07
3  7  6.37835e+07
3  8  4.04964e+07
3  9  4.96398e+07
3  10  6.20402e+07
3  11  8.82253e+07
3  12  9.13494e+07
3  13  1.51844e+08
3  14  1.99575e+08
3  15  1.57696e+08
3  16  1.51175e+08
3  17  1.39998e+08
3  18  2.36042e+08
3  19  2.85042e+08
3  20  1.46756e+08
3  21  1.60118e+08
3  22  1.86783e+08
3  23  1.46648e+08
3  24  1.12325e+08
3  25  1.37258e+08
3  26  8.23697e+07
3  27  7.70474e+07
3  28  8.49613e+07
3  29  1.06501e+08
3  30  7.204e+07
3  31  9.62788e+07
3  32  9.13727e+07
3  33  1.07679e+08
3  34  1.13169e+08
3  35  1.27337e+08
3  36  9.81574e+07
3  37  1.00305e+08
3  38  8.14732e+07
3  39  9.36537e+07
3  40  1.2572e+08
3  41  2.22558e+08
3  42  1.61848e+08
3  43  1.19471e+08
3  44  1.37921e+08
3  45  1.18275e+08
3  46  1.2818e+08
3  47  1.72747e+08
3  48  1.94956e+08
3  49  5.91995e+08
3  50  3.71212e+08
3  51  2.36288e+08
3  52  1.6314e+08
3  53  1.25692e+08
3  54  1.25324e+08
3  55  1.59124e+08
3  56  2.47093e+08
3  57  2.20351e+08
3  58  1.7079e+08
3  59  2.25781e+08
3  60  1.33295e+08
3  61  9.20974e+07
3  62  8.92499e+07
3  63  9.6381e+07
3  64  7.35551e+07
3  65  8.60295e+07
3  66  8.57812e+07
3  67  8.41711e+07
3  68  8.96709e+07
3  69  8.84122e+07
3  70  1.19085e+08
3  71  1.23678e+08
3  72  1.10727e+08
3  73  1.15881e+08
3  74  9.08108e+07
3  75  7.66026e+07
3  76  7.85203e+07
3  77  5.14334e+07
3  78  7.08006e+07
3  79  6.76236e+07
3  80  9.27853e+07
3  81  6.47229e+07
3  82  7.45755e+07
3  83  4.69119e+07
3  84  7.53661e+07
3  85  7.12291e+07
3  86  5.4379e+07
3  87  4.64626e+07
3  88  6.60704e+07
3  89  6.12596e+07
3  90  5.02866e+07
3  91  5.49598e+07
3  92  1.17313e+08
3  93  9.21917e+07
3  94  7.25682e+07
3  95  8.99143e+07
3  96  7.38138e+07
3  97  1.13459e+08
3  98  4.6218e+07
3  99  4.00211e+07
3  100  5.04391e+07
4  0  1.95012e+07
4  1  1.83896e+07
4  2  3.1687e+07
4  3  3.90414e+07
4  4  5.02477e+07
4  5  3.80141e+07
4  6  5.2075e+07
4  7  5.19813e+07
4  8  3.93787e+07
4  9  6.93814e+07
4  10  6.68442e+07
4  11  8.86877e+07
4  12  9.69504e+07
4  13  1.42905e+08
4  14  1.71585e+08
4  15  1.51807e+08
4  16  1.60375e+08
4  17  1.15749e+08
4  18  2.01159e+08
4  19  2.96852e+08
4  20  1.72427e+08
4  21  1.26767e+08
4  22  1.66454e+08
4  23  1.4521e+08
4  24  1.40853e+08
4  25  1.25352e+08
4  26  1.04285e+08
4  27  1.13791e+08
4  28  1.00425e+08
4  29  1.03275e+08
4  30  1.10114e+08
4  31  1.1395e+08
4  32  9.49612e+07
4  33  9.21529e+07
4  34  1.10251e+08
4  35  9.49603e+07
4  36  9.22933e+07
4  37  1.10291e+08
4  38  9.20463e+07
4  39  9.50659e+07
4  40  9.83109e+07
4  41  1.93622e+08
4  42  1.45492e+08
4  43  1.54877e+08
4  44  1.28892e+08
4  45  1.36637e+08
4  46  1.47161e+08
4  47  7.97888e+07
4  48  1.72597e+08
4  49  5.49791e+08
4  50  2.98042e+08
4  51  1.91478e+08
4  52  1.39543e+08
4  53  1.41694e+08
4  54  1.63058e+08
4  55  1.273e+08
4  56  1.97386e+08
4  57  2.14577e+08
4  58  1.94737e+08
4  59  1.84753e+08
4  60  1.21922e+08
4  61  9.42902e+07
4  62  1.13139e+08
4  63  7.8519e+07
4  64  6.61236e+07
4  65  8.66185e+07
4  66  9.082e+07
4  67  8.05776e+07
4  68  6.21901e+07
4  69  1.23138e+08
4  70  9.38295e+07
4  71  1.00025e+08
4  72  5.60183e+07
4  73  1.0651e+08
4  74  1.01533e+08
4  75  5.77693e+07
4  76  8.1121e+07
4  77  9.87147e+07
4  78  7.91545e+07
4  79  6.71213e+07
4  80  9.18649e+07
4  81  6.70518e+07
4  82  4.21e+07
4  83  5.61318e+07
4  84  7.31608e+07
4  85  7.12746e+07
4  86  5.35848e+07
4  87  5.53072e+07
4  88  6.21425e+07
4  89  6.38553e+07
4  90  5.83583e+07
4  91  8.82527e+07
4  92  9.59849e+07
4  93  6.75795e+07
4  94  9.11362e+07
4  95  6.32982e+07
4  96  6.20003e+07
4  97  8.09443e+07
4  98  3.25532e+07
4  99  6.20556e+07
4  100  6.59743e+07
5  0  2.03304e+07
5  1  2.52914e+07
5  2  1.03573e+07
5  3  3.77753e+07
5  4  2.61318e+07
5  5  2.18519e+07
5  6  2.95422e+07
5  7  5.0947e+07
5  8  4.37971e+07
5  9  5.58015e+07
5  10  7.04419e+07
5  11  8.1439e+07
5  12  9.64524e+07
