row  column  (images_14_017.edf K-K*images_14_017.edf Ar-K**(2.3))
0  0  423647
0  1  5.71809e+06
0  2  6.68045e+06
0  3  1.13807e+06
0  4  7.43265e+06
0  5  8.17305e+06
0  6  0
0  7  7.73309e+06
0  8  1.45453e+07
0  9  1.88945e+07
0  10  0
0  11  4.60475e+06
0  12  7.84998e+06
0  13  3.09988e+06
0  14  2.46761e+07
0  15  8.10923e+06
0  16  1.59606e+07
0  17  0
0  18  1.63437e+07
0  19  1.87674e+07
0  20  6.39495e+06
0  21  0
0  22  1.38165e+07
0  23  1.0984e+07
0  24  1.78969e+07
0  25  0
0  26  3.58682e+06
0  27  2.79081e+07
0  28  0
0  29  3.77303e+06
0  30  1.97111e+07
0  31  9.86187e+06
0  32  2.12103e+06
0  33  0
0  34  7.40461e+06
0  35  1.02043e+07
0  36  7.62786e+06
0  37  2.37125e+06
0  38  0
0  39  1.68141e+07
0  40  3.06904e+07
0  41  1.25167e+07
0  42  3.41257e+07
0  43  7.61327e+06
0  44  2.28469e+07
0  45  8.56346e+06
0  46  0
0  47  1.18571e+07
0  48  1.6978e+07
0  49  1.14461e+07
0  50  0
0  51  1.55859e+07
0  52  1.97813e+07
0  53  0
0  54  0
0  55  1.97405e+07
0  56  9.78503e+06
0  57  1.94411e+07
0  58  2.43758e+07
0  59  2.56448e+07
0  60  0
0  61  1.00823e+07
0  62  6.379e+06
0  63  1.51537e+07
0  64  1.37959e+07
0  65  1.7647e+07
0  66  2.78982e+07
0  67  0
0  68  5.34764e+06
0  69  2.36448e+07
0  70  2.0841e+07
0  71  2.64062e+07
0  72  0
0  73  1.91394e+07
0  74  1.80531e+07
0  75  2.55354e+07
0  76  2.39724e+07
0  77  1.80616e+07
0  78  1.8514e+07
0  79  2.00274e+07
0  80  1.52279e+07
0  81  1.13774e+07
0  82  2.49106e+07
0  83  2.36692e+07
0  84  0
0  85  1.65859e+07
0  86  8.30935e+06
0  87  1.21387e+07
0  88  9.61126e+06
0  89  606472
0  90  9.73625e+06
0  91  5.92527e+06
0  92  7.03717e+06
0  93  9.39207e+06
0  94  3.31153e+06
0  95  1.58189e+07
0  96  1.2342e+07
0  97  1.75253e+07
0  98  1.64974e+07
0  99  1.68494e+07
0  100  2.50532e+07
1  0  6.63519e+06
1  1  1.06671e+07
1  2  1.44255e+06
1  3  3.40564e+06
1  4  850176
1  5  1.68116e+07
1  6  3.74179e+06
1  7  1.00199e+07
1  8  1.12061e+07
1  9  1.93156e+07
1  10  1.17593e+07
1  11  0
1  12  1.05221e+07
1  13  1.47408e+07
1  14  2.1235e+07
1  15  8.79474e+06
1  16  1.30687e+07
1  17  0
1  18  4.37588e+06
1  19  1.7673e+07
1  20  1.12658e+07
1  21  1.86408e+07
1  22  1.50043e+07
1  23  1.89338e+07
1  24  2.36842e+07
1  25  2.09562e+07
1  26  9.33237e+06
1  27  0
1  28  1.79978e+07
1  29  5.0699e+06
1  30  1.67119e+07
1  31  1.3133e+07
1  32  1.97682e+07
1  33  3.7013e+06
1  34  4.24021e+06
1  35  2.00229e+07
1  36  1.05844e+07
1  37  3.4105e+07
1  38  1.39174e+07
1  39  1.63088e+07
1  40  3.04761e+07
1  41  2.78675e+07
1  42  1.73148e+07
1  43  0
1  44  6.40116e+06
1  45  1.24019e+07
1  46  3.16937e+06
1  47  2.00071e+07
1  48  2.04946e+07
1  49  1.79098e+07
1  50  2.6476e+07
1  51  2.77255e+07
1  52  1.65765e+07
1  53  9.80223e+06
1  54  2.32302e+07
1  55  1.4207e+07
1  56  0
1  57  3.57535e+07
1  58  0
1  59  5.0267e+06
1  60  1.45834e+07
1  61  0
1  62  1.65099e+07
1  63  1.38993e+07
1  64  1.72169e+07
1  65  8.94008e+06
1  66  1.0808e+07
1  67  2.55426e+06
1  68  2.39671e+07
1  69  1.76423e+07
1  70  1.13764e+07
1  71  2.8467e+07
1  72  0
1  73  1.09612e+07
1  74  1.62397e+07
1  75  965469
1  76  0
1  77  0
1  78  4.52273e+06
1  79  0
1  80  2.42298e+06
1  81  1.41737e+07
1  82  1.89108e+07
1  83  8.6778e+06
1  84  1.89182e+07
1  85  7.72023e+06
1  86  9.70309e+06
1  87  2.28057e+07
1  88  0
1  89  3.92373e+06
1  90  1.16056e+07
1  91  4.43248e+06
1  92  1.50072e+07
1  93  2.90597e+07
1  94  2.2942e+07
1  95  1.50017e+07
1  96  8.62379e+06
1  97  2.20872e+07
1  98  1.95124e+07
1  99  0
1  100  7.16634e+06
2  0  0
2  1  2.95925e+06
2  2  3.41956e+06
2  3  6.48298e+06
2  4  8.15465e+06
2  5  3.80023e+06
2  6  2.65453e+06
2  7  5.09171e+06
2  8  6.50815e+06
2  9  577770
2  10  1.12708e+07
2  11  7.73524e+06
2  12  8.19717e+06
2  13  7.49578e+06
2  14  1.81498e+07
2  15  1.97136e+07
2  16  0
2  17  0
2  18  2.28434e+07
2  19  1.09761e+07
