row  column  (images_14_017.edf Mn-K*images_14_017.edf Ar-K**(2.3))
0  0  1.92556e+07
0  1  1.43158e+07
0  2  3.70579e+06
0  3  1.74024e+07
0  4  1.02635e+07
0  5  121347
0  6  6.63561e+06
0  7  8.7193e+06
0  8  6.41402e+06
0  9  3.81985e+06
0  10  1.52939e+07
0  11  1.17641e+07
0  12  2.8952e+06
0  13  1.52391e+07
0  14  1.38276e+07
0  15  5.61062e+06
0  16  4.37843e+06
0  17  8.57827e+06
0  18  2.90414e+06
0  19  4.8878e+06
0  20  3.01061e+07
0  21  1.36679e+07
0  22  1.20404e+07
0  23  8.30141e+06
0  24  9.02188e+06
0  25  1.35701e+07
0  26  4.43446e+06
0  27  8.76576e+06
0  28  1.57901e+07
0  29  1.97021e+07
0  30  8.9521e+06
0  31  0
0  32  1.53489e+07
0  33  6.2577e+06
0  34  6.85256e+06
0  35  0
0  36  1.50116e+07
0  37  1.79856e+07
0  38  1.14124e+07
0  39  9.67615e+06
0  40  9.46729e+06
0  41  3.62891e+06
0  42  7.22363e+06
0  43  9.8058e+06
0  44  1.69504e+07
0  45  7.84636e+06
0  46  6.16399e+06
0  47  9.34498e+06
0  48  0
0  49  5.15015e+06
0  50  3.15454e+06
0  51  9.85816e+06
0  52  8.7575e+06
0  53  1.39863e+07
0  54  2.40512e+07
0  55  1.63425e+07
0  56  8.13602e+06
0  57  0
0  58  4.25338e+06
0  59  2.45306e+07
0  60  1.51067e+07
0  61  1.69521e+07
0  62  0
0  63  1.77609e+07
0  64  1.90203e+07
0  65  6.08746e+06
0  66  1.67426e+07
0  67  2.0805e+07
0  68  2.21759e+07
0  69  0
0  70  1.83931e+07
0  71  1.91131e+06
0  72  1.47558e+07
0  73  2.02856e+07
0  74  1.19187e+07
0  75  0
0  76  0
0  77  2.913e+06
0  78  1.22301e+07
0  79  8.22635e+06
0  80  2.13709e+07
0  81  1.27208e+07
0  82  5.67943e+06
0  83  3.15929e+06
0  84  0
0  85  3.61525e+06
0  86  5.84829e+06
0  87  2.71505e+06
0  88  1.84032e+07
0  89  0
0  90  1.38245e+07
0  91  0
0  92  1.38815e+07
0  93  1.42297e+07
0  94  1.17235e+07
0  95  1.03127e+07
0  96  1.17446e+07
0  97  2.09616e+07
0  98  1.52963e+07
0  99  8.69436e+06
0  100  1.42697e+07
1  0  2.07089e+07
1  1  9.5301e+06
1  2  1.32959e+07
1  3  9.53158e+06
1  4  7.88083e+06
1  5  8.59881e+06
1  6  9.3913e+06
1  7  4.47742e+06
1  8  1.01951e+07
1  9  9.87921e+06
1  10  6.04676e+06
1  11  4.65402e+06
1  12  4.10669e+06
1  13  4.3053e+06
1  14  5.25635e+06
1  15  2.86282e+06
1  16  1.89427e+07
1  17  9.61186e+06
1  18  0
1  19  1.60157e+07
1  20  3.9423e+06
