row  column  (images_14_017.edf P-K*images_14_017.edf Ar-K**(2.3))
0  0  0
0  1  0
0  2  0
0  3  0
0  4  0
0  5  602018
0  6  2.32245e+06
0  7  2.19199e+06
0  8  593628
0  9  0
0  10  1.80606e+06
0  11  624270
0  12  0
0  13  3.23309e+06
0  14  0
0  15  1.38759e+06
0  16  6.99982e+06
0  17  0
0  18  0
0  19  0
0  20  0
0  21  3.25005e+06
0  22  0
0  23  619677
0  24  5.46301e+06
0  25  4.74375e+06
0  26  8.3314e+06
0  27  1.00565e+06
0  28  0
0  29  4.16209e+06
0  30  0
0  31  125534
0  32  1.1341e+06
0  33  7.6462e+06
0  34  2.2138e+06
0  35  99522.7
0  36  213797
0  37  5.74607e+06
0  38  0
0  39  582844
0  40  2.2598e+06
0  41  6.66146e+06
0  42  1.7086e+06
0  43  0
0  44  3.0854e+06
0  45  6.86982e+06
0  46  4.62158e+06
0  47  1.40138e+06
0  48  2.4896e+06
0  49  1.88158e+06
0  50  9.28724e+06
0  51  7.64392e+06
0  52  1.47327e+06
0  53  8.82999e+06
0  54  0
0  55  1.3789e+07
0  56  3.91182e+06
0  57  4.49964e+06
0  58  3.44063e+06
0  59  459370
0  60  1.20575e+07
0  61  8.97551e+06
0  62  4.08911e+06
0  63  4.65041e+06
0  64  0
0  65  7.57867e+06
0  66  6.25032e+06
0  67  0
0  68  563071
0  69  0
0  70  5.57562e+06
0  71  4.58454e+06
0  72  4.83869e+06
0  73  3.99277e+06
0  74  3.83403e+06
0  75  1.73914e+06
0  76  5.07443e+06
0  77  0
0  78  2.31699e+06
0  79  0
0  80  0
0  81  0
0  82  3.18665e+06
0  83  2.55015e+06
0  84  2.05052e+06
0  85  1.81255e+06
0  86  0
0  87  0
0  88  355442
0  89  0
0  90  0
0  91  2.16135e+06
0  92  0
0  93  0
0  94  0
0  95  0
0  96  1.35715e+06
0  97  0
0  98  457479
0  99  0
0  100  1.3998e+06
1  0  0
1  1  960961
1  2  207859
1  3  0
1  4  1.35966e+06
1  5  540185
1  6  3.66443e+06
1  7  0
1  8  231256
1  9  2.1351e+06
1  10  1.9282e+06
1  11  2.21304e+06
1  12  1.93176e+06
1  13  1.24984e+06
1  14  4.52273e+06
1  15  0
1  16  3.83974e+06
1  17  8.11398e+06
1  18  0
1  19  3.08211e+06
1  20  0
1  21  0
1  22  0
1  23  2.34269e+06
1  24  0
1  25  5.97227e+06
1  26  0
1  27  7.87299e+06
1  28  0
1  29  6.37186e+06
1  30  8.43619e+06
1  31  0
1  32  2.22599e+06
1  33  0
1  34  0
1  35  0
1  36  8.17588e+06
1  37  0
1  38  3.60413e+06
1  39  0
1  40  912118
1  41  0
1  42  0
1  43  3.58517e+06
1  44  0
1  45  2.62236e+06
1  46  1.50767e+07
1  47  8.19972e+06
1  48  0
1  49  8.31756e+06
1  50  2.01308e+06
1  51  1.3547e+07
1  52  4.44333e+06
1  53  2.61904e+06
1  54  6.39993e+06
1  55  8.32805e+06
1  56  0
1  57  5.52395e+06
1  58  1.19922e+07
1  59  2.84583e+06
1  60  3.23176e+06
1  61  1.24854e+07
1  62  0
1  63  1.13138e+06
1  64  391174
1  65  0
1  66  0
1  67  0
1  68  0
1  69  1.85222e+06
1  70  1.84839e+06
1  71  2.61056e+06
1  72  4.78328e+06
1  73  0
1  74  0
1  75  929081
1  76  0
1  77  0
1  78  1.87157e+06
1  79  0
1  80  0
1  81  6.45524e+06
1  82  2.04045e+06
1  83  2.39101e+06
1  84  0
1  85  0
1  86  903315
1  87  556485
1  88  0
1  89  0
1  90  1.68164e+06
1  91  0
1  92  1.416e+06
1  93  3.63232e+06
1  94  47898.3
1  95  0
1  96  0
1  97  564526
1  98  2.17467e+06
1  99  1.40843e+06
1  100  2.19615e+06
2  0  0
2  1  0
2  2  2.17705e+06
2  3  0
2  4  782700
2  5  1.34426e+06
2  6  299980
2  7  1.28153e+06
2  8  1.7075e+06
2  9  1.25929e+06
2  10  2.21109e+06
2  11  4.40822e+06
2  12  1.53188e+06
2  13  5.2882e+06
2  14  3.56323e+06
2  15  5.69456e+06
2  16  1.12076e+07
2  17  1.51084e+06
2  18  4.20894e+06
2  19  0
2  20  0
2  21  9.61091e+06
2  22  0
2  23  1.59524e+06
2  24  2.13496e+06
2  25  6.27258e+06
2  26  3.59021e+06
2  27  5.17715e+06
2  28  292417
2  29  0
2  30  0
2  31  3.00249e+06
2  32  4.46402e+06
2  33  7.46936e+06
2  34  4.31967e+06
2  35  0
2  36  0
2  37  2.94083e+06
2  38  0
2  39  1.18462e+06
2  40  0
2  41  3.29374e+06
2  42  1.23968e+06
2  43  0
2  44  2.34752e+06
2  45  6.22797e+06
2  46  3.49189e+06
2  47  1.11553e+07
2  48  9.29045e+06
2  49  6.4775e+06
2  50  5.61794e+06
2  51  3.73656e+06
2  52  6.43883e+06
2  53  6.09429e+06
2  54  4.61598e+06
2  55  1.61943e+07
2  56  4.43344e+06
2  57  9.76819e+06
2  58  2.73394e+06
2  59  1.17737e+07
2  60  1.45187e+06
2  61  6.30447e+06
2  62  891962
2  63  3.64036e+06
2  64  5.86196e+06
2  65  0
2  66  0
2  67  3.37916e+06
2  68  3.05714e+06
2  69  0
2  70  1.42757e+06
2  71  8.14026e+06
2  72  3.3452e+06
2  73  455103
2  74  7.75232e+06
2  75  0
2  76  2.97076e+06
2  77  0
2  78  0
2  79  7.47004e+06
2  80  3.17021e+06
2  81  0
2  82  0
2  83  78048.9
2  84  1.18326e+06
2  85  3.04703e+06
2  86  0
2  87  942991
2  88  0
2  89  2.19589e+06
2  90  0
2  91  509370
2  92  2.30328e+06
2  93  1.06756e+06
2  94  2.08251e+06
2  95  0
2  96  0
2  97  0
2  98  2.25707e+06
2  99  0
2  100  1.64993e+06
3  0  0
3  1  607648
3  2  1.2442e+06
3  3  0
3  4  0
3  5  72158.8
3  6  0
3  7  0
3  8  0
3  9  714718
3  10  1.12995e+06
3  11  1.75056e+06
3  12  1.4215e+06
3  13  5.09092e+06
3  14  3.49242e+06
3  15  1.17537e+07
3  16  6.87368e+06
3  17  0
3  18  3.2247e+06
3  19  0
3  20  0
3  21  1.7807e+06
3  22  0
3  23  6.25699e+06
3  24  1.90779e+06
3  25  7.51914e+06
3  26  6.9841e+06
3  27  3.10263e+06
3  28  0
3  29  1.27764e+06
3  30  0
3  31  2.76637e+06
3  32  46719
3  33  2.6886e+06
3  34  0
3  35  209248
3  36  2.24642e+06
3  37  169074
3  38  0
3  39  0
3  40  0
3  41  0
3  42  7.14765e+06
3  43  0
3  44  0
3  45  3.75276e+06
3  46  5.43409e+06
3  47  1.10908e+07
3  48  3.93797e+06
3  49  1.7897e+07
3  50  0
3  51  6.20512e+06
3  52  0
3  53  3.75188e+06
3  54  1.04132e+07
3  55  8.54243e+06
3  56  2.49509e+07
3  57  4.36167e+06
3  58  9.25332e+06
3  59  2.02142e+06
3  60  4.89738e+06
3  61  2.50962e+06
3  62  1.16798e+07
3  63  0
3  64  0
3  65  0
3  66  0
3  67  0
3  68  4.07811e+06
3  69  0
3  70  4.27848e+06
3  71  0
3  72  7.74244e+06
3  73  0
3  74  6.04272e+06
3  75  2.01222e+06
3  76  0
3  77  1.18837e+06
3  78  0
3  79  460487
3  80  5.4494e+06
3  81  1.53138e+06
3  82  0
3  83  3.28148e+06
3  84  521452
3  85  3.1961e+06
3  86  0
3  87  856776
3  88  841477
3  89  905353
3  90  0
