row  column  (images_14_017.edf S-K*images_14_017.edf Ar-K**(2.3))
0  0  0
0  1  0
0  2  1.46598e+06
0  3  0
0  4  0
0  5  2.66229e+06
0  6  3.32524e+06
0  7  1.38552e+06
0  8  3.75263e+06
0  9  247848
0  10  2.12851e+06
0  11  4.50262e+06
0  12  7.02065e+06
0  13  4.55449e+06
0  14  9.62669e+06
0  15  1.23807e+07
0  16  2.11161e+07
0  17  1.84258e+07
0  18  7.87542e+06
0  19  7.8533e+06
0  20  3.09857e+06
0  21  2.20549e+07
0  22  1.9814e+07
0  23  1.32859e+07
0  24  2.56497e+07
0  25  1.1327e+07
0  26  3.79783e+07
0  27  1.11513e+07
0  28  4.05126e+06
0  29  8.54532e+06
0  30  1.04242e+07
0  31  1.79191e+07
0  32  1.60093e+07
0  33  2.78545e+07
0  34  1.60957e+07
0  35  2.19233e+07
0  36  1.64491e+07
0  37  3.03081e+07
0  38  1.04404e+07
0  39  8.06058e+06
0  40  2.52968e+07
0  41  2.21684e+07
0  42  1.38022e+07
0  43  2.04636e+07
0  44  2.4072e+07
0  45  3.73962e+07
0  46  2.95157e+07
0  47  2.63906e+07
0  48  3.8111e+07
0  49  5.97844e+07
0  50  6.65612e+07
0  51  4.86942e+07
0  52  2.64994e+07
0  53  7.06222e+07
0  54  3.9242e+07
0  55  4.62902e+07
0  56  4.08797e+07
0  57  4.06919e+07
0  58  4.6426e+07
0  59  3.63474e+07
0  60  6.05882e+07
0  61  3.22885e+07
0  62  4.35688e+07
0  63  3.18977e+07
0  64  1.38206e+07
0  65  1.87616e+07
0  66  2.55092e+07
0  67  1.40285e+07
0  68  2.47583e+07
0  69  7.59247e+06
0  70  3.34252e+07
0  71  3.50968e+07
0  72  2.13565e+07
0  73  6.99591e+06
0  74  1.34095e+07
0  75  1.86655e+07
0  76  2.40488e+07
0  77  1.72947e+07
0  78  3.0376e+07
0  79  2.75691e+07
0  80  2.51665e+07
0  81  1.48267e+07
0  82  1.00262e+07
0  83  2.45833e+07
0  84  1.04475e+07
0  85  3.26492e+06
0  86  4.27652e+06
0  87  8.02795e+06
0  88  8.88626e+06
0  89  830094
0  90  7.49143e+06
0  91  1.14038e+07
0  92  5.9656e+06
0  93  8.02404e+06
0  94  1.24429e+07
0  95  1.90592e+07
0  96  2.10453e+07
0  97  2.60199e+07
0  98  1.26375e+07
0  99  2.56576e+07
0  100  1.26936e+07
1  0  1.62136e+06
1  1  1.75864e+06
1  2  0
1  3  183735
1  4  0
1  5  1.94683e+06
1  6  2.29937e+06
1  7  3.67905e+06
1  8  838562
1  9  1.30722e+07
1  10  4.36179e+06
1  11  6.22724e+06
1  12  4.61658e+06
1  13  8.69997e+06
1  14  2.2127e+07
1  15  1.74898e+07
1  16  1.77403e+07
1  17  2.6988e+07
1  18  1.05199e+07
1  19  1.80256e+07
1  20  1.23885e+07
1  21  1.05094e+07
1  22  3.16396e+06
1  23  1.87795e+07
1  24  1.88768e+07
1  25  3.29965e+07
1  26  1.57562e+07
1  27  1.32574e+07
1  28  1.28629e+07
1  29  1.09679e+07
1  30  2.10409e+07
1  31  1.15111e+07
1  32  1.30864e+07
1  33  1.1134e+07
1  34  3.23055e+06
1  35  1.95871e+07
1  36  1.6512e+07
1  37  8.29218e+06
1  38  1.37715e+07
1  39  1.13466e+07
1  40  1.14376e+07
1  41  6.74965e+06
1  42  1.43929e+07
1  43  2.97046e+07
1  44  2.247e+07
1  45  3.38927e+07
1  46  2.01085e+07
1  47  4.93761e+07
1  48  4.55605e+07
1  49  4.69196e+07
1  50  2.81986e+07
1  51  3.31685e+07
1  52  6.09902e+07
1  53  4.39677e+07
1  54  4.32873e+07
1  55  6.06398e+07
1  56  5.34333e+07
1  57  6.58339e+07
1  58  4.83283e+07
1  59  3.5571e+07
1  60  2.08701e+07
1  61  4.19819e+07
1  62  2.12338e+07
1  63  1.46319e+07
1  64  3.56372e+07
1  65  1.96415e+07
1  66  1.70399e+07
1  67  1.34133e+07
1  68  1.56719e+07
1  69  2.06018e+07
1  70  2.37048e+07
1  71  2.60034e+07
1  72  2.4254e+07
1  73  9.50051e+06
1  74  1.89511e+07
1  75  2.22482e+07
1  76  1.25742e+07
1  77  1.67657e+07
1  78  2.62577e+07
1  79  3.25005e+07
1  80  3.2205e+07
1  81  2.59028e+07
1  82  2.14803e+07
1  83  5.79898e+06
1  84  8.55718e+06
1  85  8.91027e+06
1  86  9.15654e+06
1  87  8.77462e+06
1  88  4.15232e+06
1  89  0
1  90  1.02184e+07
1  91  5.06214e+06
1  92  1.45636e+07
1  93  2.93804e+07
1  94  1.43545e+07
1  95  1.70431e+07
1  96  5.74447e+06
1  97  8.93117e+06
1  98  2.21487e+07
1  99  2.16645e+07
1  100  3.11374e+07
2  0  0
2  1  1.40895e+06
2  2  0
2  3  2.16129e+06
2  4  349041
2  5  1.41263e+06
2  6  1.1417e+06
2  7  1.38573e+06
2  8  1.48257e+06
2  9  3.97918e+06
2  10  5.06647e+06
2  11  4.01505e+06
2  12  1.18991e+07
2  13  1.61001e+07
2  14  1.27362e+07
2  15  2.06235e+07
2  16  2.38e+07
2  17  8.21534e+06
2  18  2.25653e+07
2  19  5.88942e+06
2  20  1.40678e+07
2  21  1.66676e+07
2  22  6.41144e+06
2  23  1.6654e+07
2  24  1.633e+07
2  25  9.1686e+06
2  26  1.70241e+07
2  27  1.16955e+07
2  28  1.65685e+07
2  29  1.55349e+07
2  30  1.66089e+07
2  31  1.53346e+07
2  32  1.7437e+07
2  33  2.86603e+07
2  34  1.59365e+07
2  35  1.51273e+07
2  36  5.75676e+06
2  37  1.52653e+07
2  38  9.62093e+06
2  39  1.28658e+07
2  40  9.0606e+06
2  41  1.07544e+07
2  42  1.99973e+07
2  43  1.13727e+07
2  44  2.58422e+07
2  45  5.41958e+07
2  46  3.80946e+07
2  47  4.3677e+07
2  48  3.3346e+07
2  49  4.22806e+07
2  50  3.52208e+07
2  51  4.00223e+07
2  52  4.99467e+07
2  53  3.97205e+07
2  54  6.25566e+07
2  55  7.35478e+07
2  56  4.45355e+07
2  57  6.2839e+07
2  58  3.74308e+07
2  59  4.27144e+07
2  60  2.98814e+07
2  61  4.16981e+07
2  62  2.5639e+07
2  63  2.87457e+07
2  64  3.03832e+07
2  65  1.90573e+07
2  66  1.11609e+07
2  67  2.49676e+07
2  68  2.44859e+07
2  69  1.54586e+07
2  70  2.45671e+07
2  71  2.20722e+07
2  72  3.05741e+07
2  73  1.57805e+07
2  74  1.92926e+07
2  75  1.18578e+07
2  76  1.39372e+07
2  77  1.39262e+07
2  78  2.26677e+07
2  79  4.03577e+07
2  80  3.0168e+07
2  81  1.26622e+07
2  82  7.42125e+06
2  83  4.33022e+06
2  84  5.77637e+06
2  85  1.58059e+07
2  86  9.38981e+06
2  87  1.05643e+07
2  88  4.59216e+06
2  89  1.6009e+07
2  90  1.75161e+06
2  91  2.14472e+07
2  92  5.14271e+06
2  93  1.49976e+07
2  94  2.12863e+07
2  95  1.55755e+07
2  96  1.80883e+07
2  97  1.7097e+07
2  98  2.43541e+07
2  99  2.53333e+07
2  100  2.1796e+07
3  0  629501
3  1  1.5544e+06
3  2  135213
3  3  859830
3  4  1.06825e+06
3  5  3.35296e+06
3  6  1.2469e+06
3  7  5.68088e+06
3  8  2.49759e+06
3  9  3.07516e+06
3  10  9.09831e+06
3  11  1.2074e+07
3  12  2.1034e+07
