row  column  (images_14_017.edf Zn-K*images_14_017.edf Ar-K**(2.3))
0  0  8.66435e+06
0  1  233330
0  2  1.39904e+06
0  3  0
0  4  5.83189e+06
0  5  0
0  6  9.89178e+06
0  7  1.45737e+07
0  8  1.19125e+07
0  9  3.47512e+06
0  10  8.30605e+06
0  11  9.6413e+06
0  12  2.02823e+07
0  13  1.85194e+07
0  14  3.08176e+07
0  15  3.75123e+07
0  16  9.26293e+07
0  17  4.73865e+07
0  18  3.04905e+07
0  19  5.04069e+07
0  20  5.09666e+07
0  21  9.74905e+06
0  22  4.55889e+07
0  23  5.31217e+07
0  24  7.54114e+07
0  25  6.06737e+07
0  26  9.70536e+07
0  27  5.97089e+07
0  28  3.59257e+07
0  29  2.8082e+07
0  30  4.31358e+07
0  31  4.35796e+07
0  32  1.51942e+06
0  33  4.88304e+07
0  34  2.38477e+07
0  35  4.00345e+07
0  36  3.9447e+07
0  37  4.04984e+07
0  38  8.23049e+07
0  39  3.10736e+07
0  40  2.76147e+07
0  41  2.46034e+07
0  42  2.36435e+07
0  43  7.34665e+07
0  44  6.65574e+07
0  45  1.04995e+08
0  46  8.02644e+07
0  47  1.01337e+08
0  48  9.04107e+07
0  49  1.24864e+08
0  50  1.71343e+08
0  51  1.10714e+08
0  52  6.99422e+07
0  53  1.07544e+08
0  54  6.3601e+07
0  55  1.00288e+08
0  56  6.25831e+07
0  57  7.14194e+07
0  58  4.5141e+07
0  59  6.21185e+07
0  60  7.96837e+07
0  61  4.81673e+07
0  62  5.22052e+07
0  63  2.61284e+07
0  64  2.06945e+07
0  65  8.73915e+07
0  66  2.31334e+07
0  67  3.17941e+07
0  68  7.86419e+07
0  69  2.00148e+07
0  70  8.47768e+07
0  71  9.57366e+07
0  72  6.59891e+07
0  73  2.53938e+07
0  74  1.97024e+07
0  75  4.11048e+07
0  76  6.4139e+07
0  77  2.93191e+07
0  78  2.98324e+07
0  79  5.30613e+07
0  80  3.84087e+07
0  81  3.30786e+07
0  82  3.11228e+07
0  83  5.64737e+07
0  84  1.80668e+07
0  85  4.30713e+06
0  86  6.34495e+06
0  87  1.93688e+07
0  88  5.75738e+07
0  89  0
0  90  2.06253e+06
0  91  8.59472e+06
0  92  2.0829e+07
0  93  3.73718e+06
0  94  3.84558e+07
0  95  1.78201e+07
0  96  3.77943e+07
0  97  5.24391e+06
0  98  1.88561e+07
0  99  2.33895e+07
0  100  3.22405e+07
1  0  7.43922e+06
1  1  0
1  2  0
1  3  1.10031e+06
1  4  4.60602e+06
1  5  0
1  6  2.58691e+07
1  7  1.12779e+07
1  8  4.76236e+06
1  9  3.24503e+07
1  10  7.14089e+06
1  11  2.38027e+07
1  12  0
1  13  1.22579e+07
1  14  5.50615e+07
1  15  4.36737e+07
1  16  2.49464e+07
1  17  3.7517e+07
1  18  5.24723e+07
1  19  5.78962e+07
1  20  3.94913e+07
1  21  6.32191e+07
1  22  5.016e+07
1  23  9.23725e+07
1  24  5.7371e+07
1  25  8.92565e+07
1  26  4.05085e+07
1  27  4.02534e+07
1  28  3.46116e+07
1  29  3.41529e+07
1  30  4.05055e+07
1  31  3.8961e+07
1  32  3.32421e+07
1  33  4.20683e+07
1  34  4.82456e+07
1  35  0
1  36  5.42424e+07
1  37  2.98898e+07
1  38  846116
1  39  3.56479e+07
1  40  1.55504e+07
1  41  3.47429e+07
1  42  3.9288e+07
1  43  8.0923e+07
1  44  1.26396e+08
1  45  9.86715e+07
1  46  9.73036e+07
1  47  1.04742e+08
1  48  1.2888e+08
1  49  1.04774e+08
1  50  9.66993e+07
1  51  6.71212e+07
1  52  7.06333e+07
1  53  5.47355e+07
1  54  4.9147e+07
1  55  4.69954e+07
1  56  5.0004e+07
1  57  7.93486e+07
1  58  7.45635e+07
1  59  6.13544e+07
1  60  4.39878e+07
1  61  5.22913e+07
1  62  3.95634e+07
1  63  3.45205e+07
1  64  6.24176e+07
1  65  2.04668e+07
1  66  3.29245e+07
1  67  2.30584e+06
1  68  1.00881e+07
1  69  4.51762e+07
1  70  7.31699e+07
1  71  5.98332e+07
1  72  3.00219e+07
1  73  1.47315e+07
1  74  7.61843e+06
1  75  3.15683e+07
1  76  7.42286e+07
1  77  3.05634e+07
1  78  5.84914e+07
1  79  2.65973e+07
1  80  2.66428e+07
1  81  1.50853e+07
1  82  2.99373e+07
1  83  6.27713e+06
1  84  1.71657e+07
1  85  1.35361e+07
1  86  1.53907e+07
1  87  9.68428e+06
1  88  3.2039e+07
1  89  4.157e+07
1  90  8.19879e+06
1  91  0
1  92  1.93843e+07
1  93  8.77173e+07
1  94  5.86571e+07
1  95  2.91697e+07
1  96  1.18044e+07
1  97  1.36601e+07
1  98  2.34114e+07
1  99  1.25172e+07
1  100  3.64688e+07
2  0  2.99989e+06
2  1  3.8016e+06
2  2  0
2  3  2.84491e+06
2  4  0
2  5  1.05186e+06
2  6  3.79799e+07
2  7  1.67723e+07
2  8  2.00243e+06
2  9  1.74845e+07
2  10  2.42419e+06
2  11  6.01144e+06
2  12  1.287e+07
2  13  3.91344e+07
2  14  5.44826e+07
2  15  4.33035e+07
2  16  4.73883e+07
2  17  2.7066e+07
2  18  3.49957e+07
2  19  2.27316e+07
2  20  5.27997e+07
2  21  2.79371e+07
2  22  6.88883e+07
2  23  8.21217e+07
2  24  1.08462e+08
2  25  5.34084e+07
2  26  2.84331e+07
2  27  4.11035e+07
2  28  2.88548e+07
2  29  3.21831e+07
2  30  3.24497e+07
2  31  2.42073e+07
2  32  7.26302e+07
2  33  7.09469e+07
2  34  3.91318e+07
2  35  0
2  36  3.256e+07
2  37  4.48577e+07
2  38  3.97547e+07
2  39  5.58913e+07
2  40  3.31411e+07
2  41  4.95849e+07
2  42  4.98961e+07
2  43  8.44539e+07
2  44  1.42722e+08
2  45  1.20825e+08
2  46  1.1491e+08
2  47  1.16473e+08
2  48  1.1558e+08
2  49  1.28248e+08
2  50  1.6916e+08
2  51  9.60001e+07
2  52  7.4103e+07
2  53  7.49231e+07
2  54  7.88018e+07
2  55  7.54052e+07
2  56  5.65718e+07
2  57  9.36307e+07
2  58  3.24283e+07
2  59  5.95366e+07
2  60  6.13239e+07
2  61  2.74537e+07
2  62  9.42786e+07
2  63  2.12248e+07
2  64  4.92724e+07
2  65  1.39649e+07
2  66  1.01678e+07
2  67  2.78365e+07
2  68  3.57353e+07
2  69  3.42177e+07
2  70  4.40737e+07
2  71  7.36113e+07
2  72  3.16617e+07
2  73  5.21298e+07
2  74  1.39759e+07
2  75  1.53378e+07
2  76  4.17514e+07
2  77  1.75962e+07
2  78  6.0567e+07
2  79  7.11214e+07
2  80  5.13556e+07
2  81  2.81369e+07
2  82  6.17535e+07
2  83  1.58182e+07
2  84  9.8111e+06
2  85  2.11103e+07
2  86  1.2443e+07
2  87  3.5246e+07
2  88  0
2  89  8.03042e+07
2  90  0
2  91  5.85832e+07
2  92  3.87157e+07
2  93  1.57105e+07
2  94  3.72798e+07
2  95  2.39856e+07
2  96  2.29814e+07
2  97  3.78769e+07
2  98  6.11596e+07
2  99  1.95266e+07
2  100  7.33023e+07
3  0  1.36288e+06
3  1  7.29927e+06
3  2  0
3  3  6.80018e+06
3  4  0
3  5  0
3  6  2.28249e+07
3  7  1.28281e+07
3  8  8.46024e+06
3  9  2.57363e+06
3  10  8.72703e+06
3  11  6.64774e+06
3  12  1.90693e+07
3  13  2.70156e+07
3  14  3.52225e+07
3  15  6.58193e+07
3  16  3.63554e+07
3  17  3.32538e+07
3  18  3.19302e+07
3  19  6.53364e+07
3  20  2.94269e+07
3  21  6.80544e+07
3  22  6.85031e+07
3  23  4.36783e+07
3  24  7.27104e+07
3  25  4.23202e+07
3  26  6.00521e+07
3  27  3.03712e+07
3  28  3.84093e+07
3  29  3.4051e+07
3  30  2.85537e+07
3  31  4.26511e+07
3  32  7.29689e+07
3  33  3.8165e+07
3  34  5.49637e+07
3  35  9.16391e+07
3  36  5.01028e+07
3  37  2.82853e+07
3  38  3.85937e+07
3  39  3.06542e+07
3  40  5.46426e+07
3  41  7.76852e+07
3  42  1.19523e+08
3  43  7.67176e+07
3  44  1.14699e+08
3  45  9.10184e+07
3  46  7.32523e+07
3  47  1.03179e+08
3  48  1.11775e+08
3  49  2.34931e+08
3  50  1.12075e+08
3  51  7.66681e+07
3  52  6.55657e+07
3  53  8.98554e+07
3  54  1.09653e+08
3  55  5.80521e+07
3  56  9.18544e+07
3  57  8.08709e+07
3  58  3.31712e+07
3  59  3.0133e+07
3  60  3.61975e+07
3  61  0
3  62  4.80514e+07
3  63  3.51881e+07
3  64  4.55392e+07
3  65  2.03161e+07
3  66  3.36422e+07
3  67  4.46346e+07
3  68  3.6336e+07
3  69  4.77984e+07
3  70  4.7638e+07
3  71  5.95635e+07
3  72  4.46682e+07
3  73  0
3  74  4.84598e+07
3  75  4.47916e+07
3  76  1.99423e+07
3  77  7.37855e+07
3  78  6.08767e+07
3  79  5.92212e+07
3  80  4.53281e+07
3  81  2.81959e+07
3  82  0
3  83  2.97474e+07
3  84  0
3  85  4.31036e+07
3  86  6.65681e+06
3  87  1.06417e+07
3  88  1.76695e+07
3  89  3.98829e+07
3  90  1.18769e+07
3  91  2.09448e+07
3  92  2.62439e+07
3  93  1.26762e+07
3  94  0
3  95  3.69008e+07
3  96  1.6998e+07
3  97  5.34152e+07
3  98  7.91063e+06
3  99  1.25529e+07
3  100  4.95591e+07
4  0  0
4  1  0
4  2  0
4  3  0
4  4  3.54796e+06
4  5  0
4  6  9.12411e+06
4  7  1.56533e+07
4  8  1.57123e+06
4  9  9.88873e+06
4  10  3.20826e+06
4  11  4.539e+06
4  12  1.50561e+06
4  13  2.53154e+07
4  14  3.6031e+07
4  15  6.20324e+07
4  16  3.24223e+07
4  17  1.44343e+07
4  18  1.65315e+07
4  19  2.14145e+07
4  20  3.1455e+07
4  21  2.45036e+07
4  22  2.94905e+07
4  23  1.00087e+08
4  24  6.60518e+07
4  25  3.10757e+07
4  26  3.99394e+07
4  27  4.18558e+07
4  28  2.93232e+07
4  29  4.18404e+07
4  30  5.34942e+07
4  31  9.04457e+07
4  32  6.44329e+07
4  33  4.87903e+07
4  34  5.96839e+07
4  35  1.01447e+08
4  36  4.92921e+07
4  37  3.2145e+07
4  38  3.51115e+07
4  39  4.5772e+07
4  40  3.58247e+07
4  41  5.1906e+07
4  42  1.03102e+08
4  43  1.02256e+08
4  44  1.36474e+08
4  45  1.11463e+08
4  46  7.22577e+07
4  47  1.34507e+08
4  48  1.21167e+08
4  49  1.78834e+08
4  50  8.5523e+07
4  51  7.03375e+07
4  52  5.69963e+07
4  53  4.60934e+07
4  54  7.36931e+07
4  55  6.80684e+07
4  56  3.79948e+07
4  57  8.34002e+07
4  58  6.01327e+07
4  59  4.82884e+07
4  60  6.06444e+07
4  61  2.42441e+07
4  62  0
4  63  3.27637e+07
4  64  6.57605e+07
4  65  2.41958e+07
4  66  4.58968e+07
4  67  3.04962e+07
4  68  2.64631e+07
4  69  4.1805e+07
4  70  3.93406e+07
4  71  6.20488e+07
4  72  3.8882e+07
4  73  2.82963e+07
4  74  2.27111e+07
4  75  4.50429e+07
4  76  2.09792e+07
4  77  1.35135e+07
4  78  5.44621e+07
4  79  5.31417e+07
4  80  4.43293e+07
4  81  7.12893e+07
4  82  0
4  83  4.03077e+06
4  84  1.37168e+07
4  85  5.97677e+06
4  86  1.4424e+06
4  87  0
4  88  2.45308e+07
4  89  0
4  90  3.26866e+06
4  91  1.30458e+07
4  92  3.33662e+07
4  93  1.81355e+07
4  94  5.64701e+07
4  95  3.02612e+07
4  96  3.46299e+07
4  97  2.7445e+07
4  98  5.5487e+07
4  99  1.36806e+07
4  100  2.91609e+07
5  0  3.40371e+06
5  1  5.22496e+06
5  2  0
5  3  6.73056e+06
5  4  0
5  5  338182
5  6  9.32026e+06
5  7  8.98014e+06
5  8  6.97098e+06
5  9  1.27026e+07
5  10  1.18542e+07
5  11  2.19112e+07
5  12  3.32707e+07
5  13  1.22133e+07
5  14  3.55563e+07
5  15  4.55196e+07
5  16  5.62564e+07
5  17  4.53131e+07
5  18  3.81251e+07
5  19  3.14945e+07
5  20  5.35486e+07
5  21  2.62492e+07
5  22  4.3983e+07
5  23  5.82284e+07
5  24  9.23673e+07
5  25  5.63204e+07
5  26  2.57107e+07
5  27  2.23611e+07
5  28  1.61805e+07
5  29  5.27432e+07
5  30  3.84574e+07
5  31  8.46838e+07
5  32  4.03971e+07
5  33  5.00215e+07
5  34  4.29792e+07
5  35  4.77815e+07
5  36  2.17932e+07
5  37  4.50745e+07
5  38  3.78311e+07
5  39  4.39713e+07
5  40  7.83724e+07
5  41  7.24931e+07
