row  column  (images_15_227.edf Fe-K*images_15_227.edf Ar-K**2.3)
0  0  5.79963e+07
0  1  6.62135e+07
0  2  7.11284e+07
0  3  9.23644e+07
0  4  7.79961e+07
0  5  8.91138e+07
0  6  1.06659e+08
0  7  1.38071e+08
0  8  2.89521e+08
0  9  1.18834e+08
0  10  1.14412e+08
0  11  1.09308e+08
0  12  1.10514e+08
0  13  1.44776e+08
0  14  1.48698e+08
0  15  1.36701e+08
0  16  1.38999e+08
0  17  1.38922e+08
0  18  9.87974e+07
0  19  1.3238e+08
0  20  1.32581e+08
0  21  9.39701e+07
0  22  9.12122e+07
0  23  7.41724e+07
0  24  6.79789e+07
0  25  7.60127e+07
0  26  7.59759e+07
0  27  7.79892e+07
0  28  6.60859e+07
0  29  9.21655e+07
0  30  8.55363e+07
0  31  9.39402e+07
0  32  1.01338e+08
0  33  6.99629e+07
0  34  8.93318e+07
0  35  8.95882e+07
0  36  8.5298e+07
0  37  8.13872e+07
0  38  1.16974e+08
0  39  1.09982e+08
0  40  1.15973e+08
0  41  1.57839e+08
0  42  1.84235e+08
0  43  1.44408e+08
0  44  1.42462e+08
0  45  1.35745e+08
0  46  2.79376e+08
0  47  1.1813e+08
0  48  1.04495e+08
0  49  7.22634e+07
0  50  8.09722e+07
0  51  9.722e+07
0  52  9.70651e+07
0  53  8.99808e+07
0  54  7.86375e+07
0  55  8.15179e+07
0  56  8.14136e+07
0  57  8.41134e+07
0  58  8.2184e+07
0  59  8.83476e+07
0  60  1.64456e+08
0  61  8.04847e+07
0  62  7.19552e+07
0  63  6.349e+07
0  64  7.09905e+07
0  65  7.10164e+07
0  66  7.3083e+07
0  67  8.61958e+07
0  68  1.02358e+08
0  69  8.13991e+07
0  70  8.55357e+07
0  71  8.9274e+07
0  72  8.74309e+07
0  73  8.87474e+07
0  74  7.16275e+07
0  75  9.26672e+07
0  76  9.57236e+07
0  77  7.75389e+07
0  78  9.26178e+07
0  79  1.12083e+08
0  80  9.96963e+07
0  81  9.07928e+07
0  82  8.01908e+07
0  83  8.09458e+07
0  84  7.38985e+07
0  85  7.38644e+07
0  86  9.40146e+07
0  87  7.69222e+07
0  88  8.84511e+07
0  89  8.57494e+07
0  90  1.0435e+08
0  91  8.12678e+07
0  92  1.05609e+08
0  93  9.01368e+07
0  94  9.1428e+07
0  95  7.72046e+07
0  96  8.60151e+07
0  97  7.13486e+07
0  98  6.36032e+07
0  99  1.12866e+08
0  100  8.88258e+07
1  0  5.44951e+07
1  1  8.42954e+07
1  2  9.74496e+07
1  3  7.94843e+07
1  4  7.47271e+07
1  5  1.01855e+08
1  6  1.35664e+08
1  7  2.28261e+08
1  8  1.29255e+08
1  9  1.02391e+08
1  10  9.41283e+07
1  11  1.13305e+08
1  12  1.48052e+08
1  13  1.50393e+08
1  14  1.69486e+08
1  15  1.64767e+08
1  16  1.46789e+08
1  17  1.3339e+08
1  18  1.27344e+08
1  19  1.26655e+08
1  20  1.08104e+08
1  21  9.7241e+07
1  22  1.03187e+08
1  23  7.60115e+07
1  24  7.4666e+07
1  25  7.98878e+07
1  26  6.64719e+07
1  27  7.23526e+07
1  28  8.75607e+07
1  29  8.24833e+07
1  30  7.13146e+07
1  31  7.38185e+07
1  32  8.35609e+07
1  33  1.064e+08
1  34  9.24378e+07
1  35  1.11785e+08
1  36  7.05458e+07
1  37  9.69099e+07
1  38  9.83268e+07
1  39  1.15438e+08
1  40  1.00657e+08
1  41  1.54271e+08
1  42  1.33221e+08
1  43  1.1953e+08
1  44  1.46404e+08
1  45  2.77456e+08
1  46  1.69015e+08
1  47  8.69205e+07
1  48  7.9275e+07
1  49  7.30506e+07
1  50  1.06301e+08
1  51  8.53334e+07
1  52  9.23101e+07
1  53  9.60753e+07
1  54  7.35033e+07
1  55  7.71501e+07
1  56  7.49948e+07
1  57  8.83246e+07
1  58  8.75624e+07
1  59  1.25995e+08
1  60  9.6225e+07
1  61  7.8356e+07
1  62  8.73595e+07
1  63  6.88972e+07
1  64  5.61414e+07
1  65  6.26973e+07
1  66  9.01169e+07
1  67  9.07072e+07
1  68  8.71569e+07
1  69  9.28782e+07
1  70  9.97288e+07
1  71  9.01746e+07
1  72  9.54892e+07
1  73  8.84893e+07
1  74  7.99659e+07
1  75  7.98268e+07
1  76  8.35724e+07
1  77  9.2594e+07
1  78  1.00902e+08
1  79  1.04321e+08
1  80  1.00328e+08
1  81  7.92961e+07
1  82  7.75603e+07
1  83  8.1093e+07
1  84  8.95321e+07
1  85  8.83427e+07
1  86  8.59665e+07
1  87  7.76026e+07
1  88  1.08163e+08
1  89  7.89769e+07
1  90  8.82256e+07
1  91  9.76728e+07
1  92  9.9314e+07
1  93  7.78961e+07
1  94  9.57535e+07
1  95  8.86005e+07
1  96  9.07295e+07
1  97  9.36958e+07
1  98  6.90028e+07
1  99  8.27541e+07
1  100  8.59517e+07
2  0  7.10693e+07
2  1  9.41578e+07
2  2  7.96409e+07
2  3  9.2487e+07
2  4  8.55144e+07
2  5  9.90005e+07
2  6  1.09262e+08
2  7  1.55696e+08
2  8  1.33705e+08
2  9  1.1506e+08
2  10  1.06249e+08
2  11  1.28063e+08
2  12  1.56249e+08
2  13  1.61167e+08
2  14  1.6567e+08
2  15  1.79493e+08
2  16  1.64261e+08
2  17  1.15967e+08
2  18  1.16649e+08
2  19  1.28808e+08
2  20  9.29145e+07
2  21  1.0289e+08
2  22  8.06387e+07
2  23  8.04785e+07
2  24  7.1805e+07
2  25  8.89826e+07
2  26  7.58997e+07
2  27  7.6223e+07
2  28  9.03352e+07
2  29  8.74989e+07
2  30  7.07036e+07
2  31  8.98696e+07
2  32  8.70207e+07
2  33  8.96515e+07
2  34  8.00535e+07
2  35  7.4781e+07
2  36  9.72013e+07
2  37  1.01538e+08
2  38  9.75803e+07
2  39  9.59659e+07
2  40  1.07935e+08
2  41  1.5504e+08
2  42  1.38983e+08
2  43  1.25298e+08
2  44  1.30331e+08
2  45  2.01266e+08
2  46  1.50318e+08
2  47  8.29263e+07
2  48  8.46148e+07
2  49  9.71449e+07
2  50  1.06986e+08
2  51  8.08399e+07
2  52  8.56921e+07
2  53  6.36877e+07
2  54  6.82839e+07
2  55  7.1683e+07
2  56  7.65116e+07
2  57  6.76728e+07
2  58  7.59209e+07
2  59  1.22154e+08
2  60  1.03923e+08
2  61  8.65154e+07
2  62  5.91126e+07
2  63  6.75496e+07
2  64  6.99119e+07
2  65  6.3718e+07
2  66  7.4331e+07
2  67  8.29157e+07
2  68  9.42796e+07
2  69  8.37423e+07
2  70  9.35461e+07
2  71  1.04981e+08
2  72  1.01317e+08
2  73  7.17435e+07
2  74  8.77827e+07
2  75  8.10606e+07
2  76  7.74102e+07
2  77  8.90102e+07
2  78  8.25078e+07
2  79  1.01145e+08
2  80  8.62534e+07
2  81  9.08385e+07
2  82  8.55018e+07
2  83  6.84081e+07
2  84  7.57052e+07
2  85  6.95433e+07
2  86  7.23218e+07
2  87  8.78959e+07
2  88  9.09909e+07
2  89  8.00585e+07
2  90  1.04418e+08
2  91  9.78703e+07
2  92  9.83469e+07
2  93  8.68937e+07
2  94  1.05473e+08
2  95  9.40625e+07
2  96  7.07558e+07
2  97  9.03759e+07
2  98  8.0757e+07
2  99  8.51442e+07
2  100  1.09499e+08
3  0  8.14448e+07
3  1  9.20823e+07
3  2  7.73362e+07
3  3  1.00507e+08
3  4  1.03445e+08
3  5  1.09266e+08
3  6  1.30598e+08
3  7  1.72926e+08
3  8  1.27258e+08
3  9  1.22295e+08
3  10  1.28025e+08
3  11  1.10547e+08
3  12  1.70094e+08
3  13  1.64232e+08
3  14  1.71847e+08
3  15  1.98229e+08
3  16  2.09549e+08
3  17  1.21596e+08
3  18  1.28501e+08
3  19  1.3449e+08
3  20  9.96725e+07
3  21  1.08384e+08
3  22  8.25079e+07
3  23  7.95482e+07
3  24  8.90799e+07
3  25  8.88056e+07
3  26  8.53984e+07
3  27  7.38981e+07
3  28  8.3298e+07
3  29  9.14773e+07
3  30  7.01434e+07
3  31  7.40941e+07
3  32  8.22638e+07
3  33  8.55856e+07
3  34  9.67365e+07
3  35  8.29962e+07
3  36  8.35786e+07
3  37  8.34604e+07
3  38  9.54348e+07
3  39  1.08614e+08
3  40  1.26088e+08
3  41  1.31844e+08
3  42  1.24385e+08
3  43  1.24643e+08
3  44  1.08398e+08
3  45  1.85085e+08
3  46  1.13189e+08
3  47  9.65063e+07
3  48  9.2136e+07
3  49  1.1379e+08
3  50  9.03125e+07
3  51  8.96437e+07
3  52  1.14784e+08
3  53  8.8216e+07
3  54  7.63072e+07
3  55  8.1859e+07
3  56  7.48041e+07
3  57  7.51539e+07
3  58  7.93052e+07
3  59  9.90477e+07
3  60  9.99106e+07
3  61  6.52737e+07
3  62  6.52592e+07
3  63  6.37546e+07
3  64  5.57066e+07
3  65  6.32389e+07
3  66  7.88717e+07
3  67  6.6139e+07
3  68  7.70098e+07
3  69  8.00952e+07
3  70  9.61802e+07
3  71  1.07195e+08
3  72  9.52241e+07
3  73  8.0278e+07
3  74  8.53464e+07
3  75  9.36856e+07
3  76  7.97936e+07
3  77  9.21867e+07
3  78  1.09476e+08
3  79  1.10385e+08
3  80  1.18954e+08
3  81  7.60116e+07
3  82  7.02199e+07
3  83  8.57665e+07
3  84  8.806e+07
3  85  9.51091e+07
3  86  7.2614e+07
3  87  8.16502e+07
3  88  7.70495e+07
3  89  9.28973e+07
3  90  8.57589e+07
3  91  9.19078e+07
3  92  8.39662e+07
3  93  8.22372e+07
3  94  9.22357e+07
3  95  1.04115e+08
3  96  1.05852e+08
3  97  8.2865e+07
3  98  7.58388e+07
3  99  8.12718e+07
3  100  9.88694e+07
4  0  7.05292e+07
4  1  8.70214e+07
4  2  1.00186e+08
4  3  9.54543e+07
4  4  1.15882e+08
4  5  1.15089e+08
4  6  1.27406e+08
4  7  1.27848e+08
4  8  1.25084e+08
4  9  1.32261e+08
4  10  1.16608e+08
4  11  1.29817e+08
4  12  1.72317e+08
4  13  1.54561e+08
4  14  2.06805e+08
4  15  1.98373e+08
4  16  1.54596e+08
4  17  1.31694e+08
4  18  1.31302e+08
4  19  1.17215e+08
