row  column  (images_15_227.edf K-K*images_15_227.edf Ar-K**2.3)
0  0  1.19037e+07
0  1  9.2754e+06
0  2  1.74389e+07
0  3  1.05607e+07
0  4  2.01398e+07
0  5  1.03997e+07
0  6  2.60079e+07
0  7  2.16839e+07
0  8  6.9539e+06
0  9  1.83561e+07
0  10  2.15504e+07
0  11  0
0  12  0
0  13  1.8457e+07
0  14  1.24729e+07
0  15  0
0  16  1.3848e+07
0  17  2.15603e+07
0  18  1.98603e+07
0  19  1.23221e+07
0  20  3.27506e+07
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  1.01499e+07
0  28  1.67934e+07
0  29  0
0  30  1.22945e+07
0  31  0
0  32  0
0  33  1.415e+07
0  34  1.08581e+07
0  35  8.62817e+06
0  36  1.71132e+07
0  37  0
0  38  0
0  39  0
0  40  0
0  41  0
0  42  2.23603e+07
0  43  0
0  44  0
0  45  0
0  46  0
0  47  0
0  48  0
0  49  0
0  50  0
0  51  0
0  52  0
0  53  0
0  54  0
0  55  0
0  56  1.28189e+07
0  57  1.36722e+07
0  58  0
0  59  0
0  60  9.90898e+06
0  61  1.91154e+07
0  62  0
0  63  0
0  64  1.5141e+07
0  65  3.23137e+07
0  66  1.30347e+07
0  67  2.97995e+07
0  68  1.50656e+07
0  69  1.36653e+07
0  70  1.86314e+07
0  71  2.37318e+07
0  72  1.68604e+07
0  73  3.17033e+07
0  74  0
0  75  1.37003e+07
0  76  0
0  77  0
0  78  0
0  79  0
0  80  0
0  81  1.03699e+07
0  82  0
0  83  1.58206e+07
0  84  0
0  85  0
0  86  0
0  87  0
0  88  0
0  89  0
0  90  0
0  91  0
0  92  0
0  93  0
0  94  0
0  95  0
0  96  0
0  97  0
0  98  0
0  99  0
0  100  0
1  0  1.07494e+07
1  1  1.79443e+07
1  2  1.92624e+07
1  3  1.09136e+07
1  4  1.06203e+07
1  5  9.91767e+06
1  6  7.33701e+06
1  7  2.00856e+07
1  8  1.3695e+07
1  9  1.09997e+07
1  10  0
1  11  1.73663e+07
1  12  0
1  13  0
1  14  1.86587e+07
1  15  2.84528e+07
1  16  7.65264e+06
1  17  1.61704e+07
1  18  1.0805e+07
1  19  2.07575e+07
1  20  1.1628e+07
1  21  1.42698e+07
1  22  1.68605e+07
1  23  2.07582e+07
1  24  2.26507e+07
1  25  0
1  26  7.74688e+06
1  27  0
1  28  0
1  29  0
1  30  0
1  31  1.30118e+07
1  32  0
1  33  0
1  34  1.10161e+07
1  35  2.4789e+07
1  36  0
1  37  0
1  38  1.71517e+07
1  39  1.81602e+07
1  40  2.92478e+06
1  41  0
1  42  0
1  43  0
1  44  0
1  45  1.27597e+07
1  46  0
1  47  0
1  48  0
1  49  0
1  50  0
1  51  0
1  52  0
1  53  0
1  54  0
1  55  1.35493e+07
1  56  1.43214e+07
1  57  0
1  58  0
1  59  0
1  60  0
1  61  1.16663e+07
1  62  0
1  63  1.61259e+07
1  64  0
1  65  2.39412e+07
1  66  0
1  67  1.71673e+07
1  68  0
1  69  0
1  70  3.39988e+07
1  71  1.16601e+07
1  72  1.37008e+07
1  73  1.43525e+07
1  74  0
1  75  0
1  76  1.43858e+07
1  77  0
1  78  1.45565e+07
1  79  1.81491e+07
1  80  0
1  81  2.14251e+07
1  82  1.27413e+07
1  83  0
1  84  0
1  85  0
1  86  0
1  87  0
1  88  0
1  89  0
1  90  0
1  91  0
1  92  0
1  93  0
1  94  0
1  95  0
1  96  0
1  97  0
1  98  0
1  99  0
1  100  0
2  0  9.02646e+06
2  1  1.63362e+07
2  2  1.48389e+07
2  3  1.84758e+07
2  4  1.37821e+07
2  5  2.56619e+07
2  6  1.24914e+07
2  7  1.22319e+07
2  8  2.25012e+07
2  9  9.01025e+06
2  10  1.87809e+07
2  11  8.5132e+06
2  12  0
2  13  1.87346e+07
2  14  1.63904e+07
2  15  0
2  16  0
2  17  0
2  18  0
2  19  3.06604e+07
2  20  1.8721e+07
2  21  1.09177e+07
2  22  1.12253e+07
2  23  1.37099e+07
2  24  0
2  25  0
2  26  0
2  27  0
2  28  1.5074e+07
2  29  1.88945e+07
2  30  1.04996e+07
2  31  0
2  32  1.03779e+07
2  33  1.66413e+07
2  34  1.25812e+07
2  35  1.30798e+07
2  36  8.6534e+06
2  37  1.16679e+07
2  38  1.02371e+07
2  39  0
2  40  0
2  41  1.6326e+07
2  42  1.47666e+07
2  43  0
2  44  0
2  45  1.40474e+07
2  46  1.02309e+07
2  47  0
2  48  0
2  49  0
2  50  0
2  51  0
2  52  0
2  53  0
2  54  0
2  55  1.56522e+07
2  56  0
2  57  1.08628e+07
2  58  1.04073e+07
2  59  2.51843e+07
2  60  0
2  61  0
2  62  0
2  63  1.28853e+07
2  64  1.8607e+07
2  65  0
2  66  0
2  67  1.32829e+07
2  68  9.18597e+06
2  69  0
2  70  1.10891e+07
2  71  1.1393e+07
2  72  1.1487e+07
2  73  0
2  74  0
2  75  0
2  76  0
2  77  1.15572e+07
2  78  1.97157e+07
2  79  1.89057e+07
2  80  0
2  81  1.32037e+07
2  82  0
2  83  0
2  84  0
2  85  0
2  86  0
2  87  0
2  88  0
2  89  0
2  90  0
2  91  0
2  92  1.48662e+07
2  93  0
2  94  0
2  95  0
2  96  0
2  97  0
2  98  0
2  99  0
2  100  0
3  0  9.01927e+06
3  1  1.28816e+07
3  2  0
3  3  3.12245e+07
3  4  2.62043e+07
3  5  3.26825e+07
3  6  0
3  7  0
3  8  2.37123e+07
3  9  7.88382e+06
3  10  0
3  11  1.02909e+07
3  12  1.05169e+07
3  13  1.0445e+07
3  14  9.88716e+06
3  15  0
3  16  1.73021e+07
3  17  1.36628e+07
3  18  2.47119e+07
3  19  2.17928e+07
3  20  0
3  21  1.43032e+07
3  22  1.12896e+07
3  23  0
3  24  0
3  25  0
3  26  1.15007e+07
3  27  0
3  28  0
3  29  0
3  30  0
3  31  7.92768e+06
3  32  1.26465e+07
3  33  1.12491e+07
3  34  1.87872e+07
3  35  0
3  36  0
3  37  0
3  38  0
3  39  0
3  40  1.36362e+07
3  41  1.03816e+07
3  42  1.37611e+07
3  43  0
3  44  0
3  45  0
3  46  0
3  47  0
3  48  0
3  49  0
3  50  1.77934e+07
3  51  0
3  52  0
3  53  1.671e+07
3  54  0
