row  column  (images_15_227.edf Zn-K*images_15_227.edf Ar-K**2.3)
0  0  2.45958e+07
0  1  3.87666e+07
0  2  8.81568e+07
0  3  9.3563e+07
0  4  8.80665e+07
0  5  6.43937e+07
0  6  7.373e+07
0  7  6.14876e+07
0  8  4.06224e+07
0  9  6.65246e+07
0  10  5.24814e+07
0  11  6.2189e+07
0  12  4.6385e+07
0  13  7.59728e+07
0  14  9.9679e+07
0  15  9.98677e+07
0  16  9.06118e+07
0  17  9.25719e+07
0  18  7.02195e+07
0  19  7.91676e+07
0  20  7.4132e+07
0  21  8.5155e+07
0  22  6.18868e+07
0  23  5.87298e+07
0  24  6.51481e+07
0  25  5.85863e+07
0  26  5.50525e+07
0  27  7.24547e+07
0  28  7.87237e+07
0  29  7.20291e+07
0  30  5.38332e+07
0  31  6.10499e+07
0  32  1.18402e+08
0  33  9.98122e+07
0  34  8.28333e+07
0  35  9.08911e+07
0  36  1.0073e+08
0  37  7.22469e+07
0  38  1.04842e+08
0  39  8.96094e+07
0  40  7.10952e+07
0  41  4.40031e+07
0  42  6.86772e+07
0  43  7.81e+07
0  44  7.73151e+07
0  45  7.41581e+07
0  46  7.91485e+07
0  47  5.01505e+07
0  48  6.09372e+07
0  49  5.26618e+07
0  50  6.00417e+07
0  51  7.6223e+07
0  52  6.9351e+07
0  53  7.12977e+07
0  54  6.01309e+07
0  55  5.74835e+07
0  56  7.08394e+07
0  57  1.02702e+08
0  58  9.41077e+07
0  59  8.81422e+07
0  60  6.56024e+07
0  61  8.89594e+07
0  62  5.05441e+07
0  63  7.08876e+07
0  64  6.79262e+07
0  65  7.97656e+07
0  66  8.29389e+07
0  67  7.47651e+07
0  68  8.8321e+07
0  69  9.8955e+07
0  70  7.83385e+07
0  71  1.05746e+08
0  72  7.48801e+07
0  73  5.31845e+07
0  74  5.16927e+07
0  75  4.48503e+07
0  76  5.73412e+07
0  77  7.43222e+07
0  78  6.01498e+07
0  79  7.83824e+07
0  80  7.13065e+07
0  81  8.72826e+07
0  82  8.8616e+07
0  83  9.21212e+07
0  84  1.02729e+08
0  85  9.40526e+07
0  86  7.9073e+07
0  87  6.7898e+07
0  88  8.8056e+07
0  89  9.02896e+07
0  90  9.25781e+07
0  91  1.05554e+08
0  92  9.98197e+07
0  93  9.14277e+07
0  94  8.52976e+07
0  95  6.23301e+07
0  96  5.12544e+07
0  97  6.65863e+07
0  98  4.28338e+07
0  99  8.01726e+07
0  100  6.80938e+07
1  0  2.90459e+07
1  1  9.22323e+07
1  2  9.69011e+07
1  3  9.80891e+07
1  4  7.13757e+07
1  5  9.05819e+07
1  6  5.51378e+07
1  7  5.19605e+07
1  8  4.88094e+07
1  9  5.12496e+07
1  10  5.78862e+07
1  11  5.34582e+07
1  12  6.72633e+07
1  13  8.0804e+07
1  14  9.27336e+07
1  15  1.05074e+08
1  16  1.02842e+08
1  17  7.5309e+07
1  18  7.94673e+07
1  19  7.2383e+07
1  20  8.04636e+07
1  21  6.20811e+07
1  22  6.03721e+07
1  23  5.81365e+07
1  24  8.29497e+07
1  25  6.1336e+07
1  26  6.27076e+07
1  27  6.19828e+07
1  28  5.75866e+07
1  29  6.29108e+07
1  30  6.29586e+07
1  31  9.788e+07
1  32  6.45389e+07
1  33  7.15765e+07
1  34  9.71277e+07
1  35  1.01947e+08
1  36  7.95811e+07
1  37  8.91363e+07
1  38  8.99799e+07
1  39  6.13501e+07
1  40  4.61115e+07
1  41  5.63817e+07
1  42  6.03273e+07
1  43  7.46849e+07
1  44  6.16611e+07
1  45  7.39345e+07
1  46  5.78012e+07
1  47  3.29609e+07
1  48  4.97934e+07
1  49  4.91231e+07
1  50  6.89545e+07
1  51  8.16214e+07
1  52  5.68986e+07
1  53  4.96442e+07
1  54  6.52105e+07
1  55  7.4757e+07
1  56  8.38008e+07
1  57  1.27142e+08
1  58  1.15306e+08
1  59  6.33495e+07
1  60  8.08605e+07
1  61  7.623e+07
1  62  6.73131e+07
1  63  7.72391e+07
1  64  6.64405e+07
1  65  6.85701e+07
1  66  6.37209e+07
1  67  7.34696e+07
1  68  1.05137e+08
1  69  9.98055e+07
1  70  1.10616e+08
1  71  5.45313e+07
1  72  5.1562e+07
1  73  5.59575e+07
1  74  2.33563e+07
1  75  4.7953e+07
1  76  6.27628e+07
1  77  6.10705e+07
1  78  8.91341e+07
1  79  9.66227e+07
1  80  9.51229e+07
1  81  8.30184e+07
1  82  9.99995e+07
1  83  9.33158e+07
1  84  1.1393e+08
1  85  1.03983e+08
1  86  1.03865e+08
1  87  9.24732e+07
1  88  1.1376e+08
1  89  8.41636e+07
1  90  9.12786e+07
1  91  9.68393e+07
1  92  6.39095e+07
1  93  7.19733e+07
1  94  7.56984e+07
1  95  8.59145e+07
1  96  8.73665e+07
1  97  6.32821e+07
1  98  6.99793e+07
1  99  5.60871e+07
1  100  7.97078e+07
2  0  5.75124e+07
2  1  9.10675e+07
2  2  9.63293e+07
2  3  9.08081e+07
2  4  7.92182e+07
2  5  8.61915e+07
2  6  5.61524e+07
2  7  5.16838e+07
2  8  5.43285e+07
2  9  6.87647e+07
2  10  6.47535e+07
2  11  6.60601e+07
2  12  7.85622e+07
2  13  8.94693e+07
2  14  8.17807e+07
2  15  1.00323e+08
2  16  8.46033e+07
2  17  6.88998e+07
2  18  8.86947e+07
2  19  7.86467e+07
2  20  7.66996e+07
2  21  6.72944e+07
2  22  4.54993e+07
2  23  4.58475e+07
2  24  5.33183e+07
2  25  4.75533e+07
2  26  8.64303e+07
2  27  8.54415e+07
2  28  7.58373e+07
2  29  8.08827e+07
2  30  6.67234e+07
2  31  7.81075e+07
2  32  7.28257e+07
2  33  8.17008e+07
2  34  6.99799e+07
2  35  8.86178e+07
2  36  9.93784e+07
2  37  7.91365e+07
2  38  6.39927e+07
2  39  6.77911e+07
2  40  3.96476e+07
2  41  6.69672e+07
2  42  6.48712e+07
2  43  6.61319e+07
2  44  7.07471e+07
2  45  7.14387e+07
2  46  5.3723e+07
2  47  4.85508e+07
2  48  4.42012e+07
2  49  5.10052e+07
2  50  7.65856e+07
2  51  7.28929e+07
2  52  6.07649e+07
2  53  6.72066e+07
2  54  7.17745e+07
2  55  7.99555e+07
2  56  8.4926e+07
2  57  1.02436e+08
2  58  9.97044e+07
2  59  8.97601e+07
2  60  8.21118e+07
2  61  7.85428e+07
2  62  6.40146e+07
2  63  5.4386e+07
2  64  6.7012e+07
2  65  7.4794e+07
2  66  7.20436e+07
2  67  7.79907e+07
2  68  9.67161e+07
2  69  7.23565e+07
2  70  7.98064e+07
2  71  8.51477e+07
2  72  7.24453e+07
2  73  3.36145e+07
2  74  4.79764e+07
2  75  4.16597e+07
2  76  6.31817e+07
2  77  7.21043e+07
2  78  8.62422e+07
2  79  9.75237e+07
2  80  1.07234e+08
2  81  1.10419e+08
2  82  1.11535e+08
2  83  1.12871e+08
2  84  1.03036e+08
2  85  1.01351e+08
2  86  8.29609e+07
2  87  8.26775e+07
2  88  1.13447e+08
2  89  8.757e+07
2  90  1.00988e+08
2  91  8.74331e+07
2  92  7.62143e+07
2  93  9.12627e+07
2  94  9.14488e+07
2  95  7.89429e+07
2  96  7.03716e+07
2  97  6.5085e+07
2  98  6.11726e+07
2  99  7.67778e+07
2  100  9.15294e+07
3  0  7.22543e+07
3  1  9.40354e+07
3  2  1.05122e+08
3  3  1.00636e+08
3  4  8.52604e+07
3  5  7.39281e+07
3  6  5.65992e+07
3  7  5.54237e+07
3  8  5.27397e+07
3  9  6.88374e+07
3  10  7.24125e+07
3  11  4.7868e+07
3  12  8.77009e+07
3  13  1.01489e+08
3  14  8.36639e+07
3  15  9.48037e+07
3  16  9.80901e+07
3  17  8.95813e+07
3  18  9.68887e+07
3  19  8.10301e+07
3  20  8.13322e+07
3  21  7.45261e+07
3  22  5.24531e+07
3  23  6.08403e+07
3  24  6.25446e+07
3  25  6.83368e+07
3  26  6.90336e+07
3  27  6.62843e+07
3  28  7.10296e+07
3  29  7.98986e+07
3  30  6.0889e+07
3  31  7.2452e+07
3  32  6.28983e+07
3  33  8.48423e+07
3  34  7.94009e+07
3  35  1.02902e+08
3  36  9.34772e+07
3  37  6.9983e+07
3  38  8.72668e+07
3  39  5.81549e+07
3  40  7.20498e+07
3  41  5.14675e+07
3  42  6.87879e+07
3  43  8.62685e+07
3  44  8.44672e+07
3  45  6.11743e+07
3  46  6.91512e+07
3  47  5.75297e+07
3  48  4.23013e+07
3  49  5.50902e+07
3  50  6.89728e+07
3  51  6.66107e+07
3  52  6.42831e+07
3  53  8.9697e+07
3  54  7.91164e+07
3  55  7.62294e+07
3  56  8.44114e+07
3  57  9.95889e+07
3  58  8.50982e+07
3  59  7.4432e+07
3  60  9.14305e+07
3  61  9.60174e+07
3  62  8.17873e+07
3  63  9.07487e+07
3  64  7.40854e+07
3  65  6.63506e+07
3  66  5.88327e+07
3  67  8.75922e+07
3  68  6.18694e+07
3  69  1.19453e+08
3  70  7.84228e+07
3  71  8.0527e+07
3  72  7.73323e+07
3  73  4.79776e+07
3  74  4.69457e+07
3  75  5.92036e+07
3  76  5.49886e+07
3  77  9.34069e+07
3  78  9.08725e+07
3  79  9.83732e+07
3  80  1.14046e+08
3  81  5.59963e+07
3  82  1.04667e+08
3  83  9.70581e+07
3  84  1.00397e+08
3  85  9.45262e+07
3  86  1.00119e+08
