row  column  (images_16_017.edf Mn-K*images_16_017.edf Ar-K**2.3)
0  0  4.48362e+06
0  1  0
0  2  7.5981e+06
0  3  4.2281e+06
0  4  5.37542e+06
0  5  7.46105e+06
0  6  0
0  7  5.32281e+06
0  8  6.52404e+06
0  9  2.96478e+06
0  10  1.03626e+07
0  11  9.84295e+06
0  12  8.54368e+06
0  13  1.23449e+07
0  14  9.92326e+06
0  15  8.99283e+06
0  16  7.97029e+06
0  17  1.39024e+07
0  18  1.17875e+07
0  19  1.21818e+07
0  20  1.49479e+07
0  21  1.11542e+07
0  22  9.62224e+06
0  23  9.49934e+06
0  24  1.52728e+07
0  25  1.1598e+07
0  26  9.35461e+06
0  27  4.90937e+06
0  28  1.04695e+07
0  29  1.08065e+07
0  30  1.1262e+07
0  31  1.1704e+07
0  32  1.32639e+07
0  33  1.01419e+07
0  34  1.41929e+07
0  35  1.26187e+07
0  36  1.46559e+07
0  37  1.58263e+07
0  38  9.19564e+06
0  39  1.02038e+07
0  40  1.16714e+07
0  41  1.06827e+07
0  42  1.17262e+07
0  43  1.124e+07
0  44  8.45624e+06
0  45  1.39846e+07
0  46  9.72567e+06
0  47  1.3039e+07
0  48  1.37324e+07
0  49  1.26392e+07
0  50  1.06293e+07
1  0  8.41088e+06
1  1  1.11384e+07
1  2  1.64353e+06
1  3  9.83159e+06
1  4  0
1  5  3.23935e+06
1  6  5.8725e+06
1  7  6.61366e+06
1  8  8.77714e+06
1  9  1.4445e+07
1  10  6.65875e+06
1  11  1.23996e+07
1  12  1.24124e+07
1  13  1.20167e+07
1  14  8.85647e+06
1  15  1.15733e+07
1  16  1.36324e+07
1  17  1.0811e+07
1  18  9.76286e+06
1  19  1.10289e+07
1  20  7.29538e+06
1  21  1.3036e+07
1  22  1.09674e+07
1  23  9.62935e+06
1  24  8.00573e+06
1  25  1.31378e+07
1  26  6.71688e+06
1  27  1.14176e+07
1  28  7.32115e+06
1  29  1.37536e+07
1  30  1.27647e+07
1  31  1.31952e+07
1  32  8.75614e+06
1  33  8.607e+06
1  34  1.57456e+07
1  35  1.38501e+07
1  36  9.95963e+06
1  37  1.17213e+07
1  38  8.24762e+06
1  39  5.71941e+06
1  40  9.93221e+06
1  41  1.4159e+07
1  42  1.44715e+07
1  43  9.28292e+06
1  44  1.68777e+07
1  45  1.26933e+07
1  46  2.27859e+07
1  47  1.1778e+07
1  48  8.2112e+06
1  49  1.67678e+07
1  50  1.60783e+07
2  0  4.62203e+06
2  1  6.8847e+06
2  2  6.62815e+06
2  3  9.23966e+06
2  4  0
2  5  4.13405e+06
2  6  1.03132e+06
2  7  1.29481e+07
2  8  1.07691e+07
2  9  7.73669e+06
2  10  9.22301e+06
2  11  8.53642e+06
2  12  8.22562e+06
2  13  8.52089e+06
2  14  3.41408e+06
2  15  1.0566e+07
2  16  8.93368e+06
2  17  7.32758e+06
2  18  1.08532e+07
2  19  1.04871e+07
2  20  5.23984e+06
2  21  1.17009e+07
2  22  1.08377e+07
2  23  8.61504e+06
2  24  1.06508e+07
2  25  7.0515e+06
2  26  1.21838e+07
2  27  7.54276e+06
2  28  7.48543e+06
2  29  1.82164e+07
2  30  1.11449e+07
2  31  6.30014e+06
2  32  1.36972e+07
2  33  1.62205e+07
2  34  1.12274e+07
2  35  1.02042e+07
2  36  1.81393e+07
2  37  9.5193e+06
2  38  5.46897e+06
2  39  6.84959e+06
2  40  1.27834e+07
2  41  8.61875e+06
2  42  8.51158e+06
2  43  1.06052e+07
2  44  1.25636e+07
2  45  1.07081e+07
2  46  2.2307e+07
2  47  1.10122e+07
2  48  4.52535e+06
2  49  8.3522e+06
2  50  8.76374e+06
3  0  0
3  1  9.43934e+06
3  2  1.25944e+07
3  3  0
3  4  3.73332e+06
3  5  3.37556e+06
3  6  7.51192e+06
3  7  7.93074e+06
3  8  9.0601e+06
3  9  8.16759e+06
3  10  4.21886e+06
3  11  9.7434e+06
3  12  9.91971e+06
3  13  8.61689e+06
3  14  1.09104e+07
3  15  1.08964e+07
3  16  8.89814e+06
3  17  8.49031e+06
3  18  1.31255e+07
3  19  1.55221e+07
3  20  9.73673e+06
3  21  1.31047e+07
3  22  1.72853e+07
3  23  3.46467e+06
3  24  1.17086e+07
3  25  1.22634e+07
3  26  1.05926e+07
3  27  1.1221e+07
3  28  9.84984e+06
3  29  1.78233e+07
3  30  1.53171e+07
3  31  1.62417e+07
3  32  1.25737e+07
3  33  1.12587e+07
3  34  1.12011e+07
3  35  8.95907e+06
3  36  1.59725e+07
3  37  1.14594e+07
3  38  2.10361e+07
3  39  7.85661e+06
3  40  9.32743e+06
3  41  1.26722e+07
3  42  7.94061e+06
3  43  7.28154e+06
3  44  1.74106e+07
3  45  1.04936e+07
3  46  1.71567e+07
3  47  1.01089e+07
3  48  7.35768e+06
3  49  9.5184e+06
3  50  1.3955e+07
4  0  0
4  1  0
4  2  5.06462e+06
4  3  5.70102e+06
4  4  2.90038e+06
4  5  6.06443e+06
4  6  5.84445e+06
4  7  1.31502e+07
4  8  6.68298e+06
4  9  1.16054e+07
4  10  7.60041e+06
4  11  1.07702e+07
4  12  8.06099e+06
4  13  7.17219e+06
4  14  1.30657e+07
4  15  1.31829e+07
4  16  5.72294e+06
4  17  1.20122e+07
4  18  5.64881e+06
4  19  1.22551e+07
4  20  5.76047e+06
4  21  5.2257e+06
4  22  7.29204e+06
4  23  1.21071e+07
4  24  1.6133e+07
4  25  1.0828e+07
4  26  9.92736e+06
4  27  1.4627e+07
4  28  9.73326e+06
4  29  6.10559e+06
4  30  1.11556e+07
4  31  1.0684e+07
4  32  1.07238e+07
4  33  1.08154e+07
4  34  1.63226e+07
4  35  1.27157e+07
4  36  8.48519e+06
4  37  1.30109e+07
4  38  1.17522e+07
4  39  1.10054e+07
4  40  1.04721e+07
4  41  1.35682e+07
4  42  1.07121e+07
4  43  1.40947e+07
4  44  9.82789e+06
4  45  1.5393e+07
4  46  9.0054e+06
4  47  1.35721e+07
4  48  1.3148e+07
4  49  9.0015e+06
4  50  9.09999e+06
5  0  8.28808e+06
5  1  4.67195e+06
5  2  2.43021e+06
5  3  7.40123e+06
5  4  6.38708e+06
5  5  4.42576e+06
5  6  9.21344e+06
5  7  7.90829e+06
5  8  7.65922e+06
5  9  8.90701e+06
5  10  6.66793e+06
5  11  8.25235e+06
5  12  4.77288e+06
5  13  6.99956e+06
5  14  5.14772e+06
5  15  6.95419e+06
5  16  1.19313e+07
5  17  9.6085e+06
5  18  1.12602e+07
5  19  8.36526e+06
5  20  5.68552e+06
5  21  7.60275e+06
5  22  1.34236e+07
5  23  8.77525e+06
5  24  1.12696e+07
5  25  1.60706e+07
5  26  1.0768e+07
5  27  7.25458e+06
5  28  1.26326e+07
5  29  1.18762e+07
5  30  1.12424e+07
5  31  7.08803e+06
5  32  6.20044e+06
5  33  7.39274e+06
5  34  5.2836e+06
5  35  1.32492e+07
5  36  1.23879e+07
5  37  9.06943e+06
5  38  1.0047e+07
5  39  8.95927e+06
5  40  1.95673e+07
5  41  1.18327e+07
5  42  1.17365e+07
5  43  1.27059e+07
5  44  9.08446e+06
5  45  1.2891e+07
5  46  1.21178e+07
5  47  2.94836e+06
5  48  1.79066e+07
5  49  1.11688e+07
5  50  2.17817e+07
6  0  5.30092e+06
6  1  5.69243e+06
6  2  6.57642e+06
6  3  4.63168e+06
6  4  7.80667e+06
6  5  1.41067e+07
6  6  8.74363e+06
6  7  9.73539e+06
6  8  1.52541e+07
6  9  1.04441e+07
6  10  6.82528e+06
6  11  6.70781e+06
6  12  9.99787e+06
6  13  6.4202e+06
6  14  6.0868e+06
6  15  9.5792e+06
6  16  1.09908e+07
6  17  1.21323e+07
6  18  1.13535e+07
6  19  9.9472e+06
6  20  1.30452e+07
6  21  8.15051e+06
6  22  7.7282e+06
6  23  8.85146e+06
6  24  1.60859e+07
6  25  8.04168e+06
6  26  9.66762e+06
6  27  7.18822e+06
6  28  6.21032e+06
6  29  7.84226e+06
6  30  1.02992e+07
6  31  1.05659e+07
6  32  7.15038e+06
6  33  7.48834e+06
6  34  7.15609e+06
6  35  9.40829e+06
6  36  8.56605e+06
6  37  9.04174e+06
6  38  1.03153e+07
6  39  8.01853e+06
6  40  9.85021e+06
6  41  1.33786e+07
6  42  1.11735e+07
6  43  5.1498e+06
6  44  8.52601e+06
6  45  8.08392e+06
6  46  1.50147e+07
6  47  8.07165e+06
6  48  1.61617e+07
6  49  1.25546e+07
6  50  1.09114e+07
7  0  2.37448e+06
7  1  6.84931e+06
7  2  7.00655e+06
7  3  7.23614e+06
7  4  8.20173e+06
7  5  7.02564e+06
7  6  7.50061e+06
7  7  8.93728e+06
7  8  5.15075e+06
7  9  8.21538e+06
7  10  7.93849e+06
7  11  3.15695e+06
7  12  2.84259e+06
7  13  1.30676e+07
7  14  3.30285e+06
7  15  6.5281e+06
7  16  5.28404e+06
7  17  1.24113e+07
7  18  7.73842e+06
7  19  1.08603e+07
7  20  1.12231e+07
7  21  1.09447e+07
7  22  7.58548e+06
7  23  4.23566e+06
7  24  8.49786e+06
7  25  3.90923e+06
7  26  1.09828e+07
7  27  1.12382e+07
7  28  1.15153e+07
7  29  9.37295e+06
7  30  1.12154e+07
7  31  8.77388e+06
7  32  1.6997e+07
7  33  7.39349e+06
7  34  7.42853e+06
7  35  9.34586e+06
7  36  1.1848e+07
7  37  1.49679e+07
7  38  7.98028e+06
7  39  1.40408e+07
7  40  9.2973e+06
7  41  1.88339e+07
7  42  1.69877e+07
7  43  1.33916e+07
7  44  1.2669e+07
7  45  1.55575e+07
7  46  1.05503e+07
7  47  1.2633e+07
7  48  1.33119e+07
7  49  8.4593e+06
7  50  1.26591e+07
8  0  8.99791e+06
8  1  1.14614e+07
8  2  7.9809e+06
8  3  8.08041e+06
8  4  8.73313e+06
8  5  8.10066e+06
8  6  7.09151e+06
8  7  1.69068e+07
8  8  2.59367e+06
8  9  6.86122e+06
8  10  1.25555e+07
