row  column  (images_17_538.edf Ca-K*images_17_538.edf Ar-K**2.3)
0  0  7.18285e+08
0  1  8.30975e+08
0  2  7.03086e+08
0  3  7.57006e+08
0  4  7.82912e+08
0  5  7.72878e+08
0  6  8.79782e+08
0  7  7.69937e+08
0  8  8.32091e+08
0  9  7.50425e+08
0  10  6.71525e+08
0  11  7.21094e+08
0  12  7.45602e+08
0  13  7.04481e+08
0  14  7.05233e+08
0  15  7.72753e+08
0  16  7.22236e+08
0  17  7.33744e+08
0  18  7.44363e+08
0  19  7.33469e+08
0  20  6.6835e+08
0  21  7.35146e+08
0  22  6.54518e+08
0  23  6.96478e+08
0  24  6.34603e+08
0  25  7.08674e+08
0  26  6.95468e+08
0  27  6.69513e+08
0  28  5.97278e+08
0  29  5.43269e+08
0  30  5.8896e+08
0  31  6.41077e+08
0  32  6.52534e+08
0  33  6.28739e+08
0  34  6.70734e+08
0  35  6.36104e+08
0  36  6.07528e+08
0  37  5.88948e+08
0  38  6.72094e+08
0  39  6.81793e+08
0  40  6.80751e+08
0  41  6.44598e+08
0  42  5.83124e+08
0  43  5.66392e+08
0  44  5.65056e+08
0  45  5.92281e+08
0  46  5.15018e+08
0  47  5.28619e+08
0  48  6.19594e+08
0  49  6.3328e+08
0  50  6.96796e+08
0  51  7.09851e+08
0  52  7.55689e+08
0  53  8.47046e+08
0  54  7.36982e+08
0  55  7.55294e+08
0  56  7.05147e+08
0  57  7.98126e+08
0  58  7.68174e+08
0  59  6.59218e+08
0  60  7.60879e+08
0  61  7.65764e+08
0  62  7.22434e+08
0  63  7.27197e+08
0  64  7.97063e+08
0  65  7.31031e+08
0  66  7.46352e+08
0  67  7.33095e+08
0  68  7.51312e+08
0  69  8.13095e+08
0  70  7.91054e+08
0  71  7.27241e+08
0  72  7.77986e+08
0  73  8.20205e+08
0  74  8.69105e+08
0  75  8.48127e+08
0  76  8.1031e+08
0  77  8.61371e+08
0  78  7.56276e+08
0  79  7.74525e+08
0  80  7.20898e+08
1  0  7.38569e+08
1  1  7.62697e+08
1  2  7.52356e+08
1  3  8.44161e+08
1  4  7.60762e+08
1  5  7.95849e+08
1  6  7.5878e+08
1  7  7.35463e+08
1  8  7.78989e+08
1  9  7.60496e+08
1  10  7.03345e+08
1  11  7.39952e+08
1  12  6.50859e+08
1  13  6.47002e+08
1  14  7.8803e+08
1  15  7.45243e+08
1  16  7.29381e+08
1  17  7.44169e+08
1  18  8.05953e+08
1  19  7.33855e+08
1  20  7.07041e+08
1  21  7.77197e+08
1  22  6.21096e+08
1  23  6.95119e+08
1  24  6.73672e+08
1  25  7.01398e+08
1  26  6.08126e+08
1  27  5.80824e+08
1  28  5.69049e+08
1  29  5.81356e+08
1  30  6.52007e+08
1  31  5.33923e+08
1  32  6.24723e+08
1  33  5.32776e+08
1  34  6.12876e+08
1  35  6.21892e+08
1  36  5.93184e+08
1  37  5.65046e+08
1  38  6.655e+08
1  39  6.74007e+08
1  40  6.35978e+08
1  41  6.68784e+08
1  42  5.8899e+08
1  43  5.53613e+08
1  44  5.38366e+08
1  45  4.93834e+08
1  46  5.1835e+08
1  47  5.92309e+08
1  48  6.14584e+08
1  49  7.30367e+08
1  50  6.71828e+08
1  51  6.70866e+08
1  52  7.12716e+08
1  53  7.12868e+08
1  54  6.45931e+08
1  55  6.57185e+08
1  56  6.72839e+08
1  57  7.20439e+08
1  58  7.1629e+08
1  59  6.74536e+08
1  60  7.21581e+08
1  61  7.15177e+08
1  62  7.42346e+08
1  63  7.60799e+08
1  64  7.48019e+08
1  65  7.55509e+08
1  66  7.20944e+08
1  67  7.55379e+08
1  68  7.28432e+08
1  69  7.44807e+08
1  70  7.08017e+08
1  71  7.56955e+08
1  72  8.08671e+08
1  73  9.15639e+08
1  74  8.37089e+08
1  75  8.49584e+08
1  76  8.73116e+08
1  77  7.88525e+08
1  78  7.8743e+08
1  79  7.14228e+08
1  80  6.93554e+08
2  0  7.65193e+08
2  1  8.15482e+08
2  2  7.23177e+08
2  3  8.03241e+08
2  4  8.21858e+08
2  5  8.14799e+08
2  6  8.05272e+08
2  7  7.90319e+08
2  8  7.58945e+08
2  9  7.17092e+08
2  10  7.34544e+08
2  11  7.47815e+08
2  12  7.68741e+08
2  13  6.82508e+08
2  14  7.41508e+08
2  15  7.1217e+08
2  16  7.57485e+08
2  17  7.20393e+08
2  18  7.55382e+08
2  19  6.58888e+08
2  20  7.823e+08
2  21  6.79913e+08
2  22  6.76478e+08
2  23  6.8727e+08
2  24  7.20517e+08
2  25  7.0125e+08
2  26  6.46865e+08
2  27  5.58753e+08
2  28  6.0456e+08
2  29  5.55745e+08
2  30  5.92972e+08
2  31  5.60158e+08
2  32  6.45219e+08
2  33  5.69032e+08
2  34  5.67243e+08
2  35  6.36887e+08
2  36  5.91294e+08
2  37  5.71523e+08
2  38  6.08266e+08
2  39  7.2409e+08
2  40  6.87812e+08
2  41  6.41316e+08
2  42  6.0764e+08
2  43  5.32354e+08
2  44  5.20821e+08
2  45  5.34693e+08
2  46  5.03956e+08
2  47  5.38646e+08
2  48  5.7706e+08
2  49  5.82862e+08
2  50  6.15474e+08
2  51  6.35616e+08
2  52  6.78351e+08
2  53  6.69562e+08
2  54  6.46439e+08
2  55  6.06197e+08
2  56  6.92439e+08
2  57  7.11807e+08
2  58  6.70637e+08
2  59  6.76037e+08
2  60  7.50298e+08
2  61  6.93382e+08
2  62  6.90145e+08
2  63  7.15325e+08
2  64  7.17997e+08
2  65  6.7012e+08
2  66  7.0989e+08
2  67  7.8338e+08
2  68  7.34932e+08
2  69  6.32364e+08
2  70  7.25335e+08
2  71  7.39025e+08
2  72  7.55718e+08
2  73  7.58449e+08
2  74  8.11938e+08
2  75  7.64055e+08
2  76  8.40228e+08
2  77  8.0629e+08
2  78  7.35578e+08
2  79  7.17324e+08
2  80  6.53213e+08
3  0  7.1337e+08
3  1  8.79374e+08
3  2  7.28964e+08
3  3  8.07798e+08
3  4  7.50882e+08
3  5  7.39314e+08
3  6  8.21673e+08
3  7  7.1803e+08
3  8  7.21631e+08
3  9  7.47392e+08
3  10  7.59619e+08
3  11  7.24144e+08
3  12  7.28933e+08
3  13  7.07022e+08
3  14  7.36922e+08
3  15  6.7928e+08
3  16  7.13974e+08
3  17  7.46387e+08
3  18  7.50079e+08
3  19  7.49462e+08
3  20  7.29968e+08
3  21  6.73576e+08
3  22  6.52313e+08
3  23  6.69743e+08
3  24  6.58719e+08
3  25  6.63739e+08
3  26  6.2076e+08
3  27  5.79264e+08
3  28  6.1515e+08
3  29  6.05814e+08
3  30  6.06423e+08
3  31  5.53563e+08
3  32  6.75409e+08
3  33  5.87211e+08
3  34  5.48629e+08
3  35  5.53169e+08
3  36  5.88318e+08
3  37  5.39283e+08
3  38  6.20922e+08
3  39  6.94408e+08
3  40  6.56962e+08
3  41  6.21145e+08
3  42  6.13882e+08
3  43  5.32752e+08
3  44  4.97622e+08
3  45  4.84732e+08
3  46  4.50402e+08
3  47  5.07738e+08
3  48  5.07748e+08
3  49  5.62104e+08
3  50  5.64507e+08
3  51  6.04284e+08
3  52  6.47589e+08
3  53  6.78929e+08
3  54  6.81248e+08
3  55  6.51495e+08
3  56  7.00804e+08
3  57  7.08086e+08
3  58  6.71263e+08
3  59  6.70066e+08
3  60  6.26837e+08
3  61  7.55532e+08
3  62  7.1804e+08
3  63  7.66019e+08
3  64  7.11387e+08
3  65  7.39143e+08
3  66  6.28293e+08
3  67  6.95515e+08
3  68  6.98169e+08
3  69  6.93919e+08
3  70  6.82303e+08
3  71  7.08353e+08
3  72  7.58225e+08
3  73  7.83954e+08
3  74  7.9374e+08
3  75  8.05157e+08
3  76  7.92652e+08
3  77  8.28144e+08
3  78  7.33146e+08
3  79  6.80781e+08
3  80  6.24e+08
4  0  7.7877e+08
4  1  8.22654e+08
4  2  7.49049e+08
4  3  8.21649e+08
4  4  7.47905e+08
4  5  7.74361e+08
4  6  8.32097e+08
4  7  7.99879e+08
4  8  6.93042e+08
4  9  7.59285e+08
4  10  7.74531e+08
4  11  7.16279e+08
4  12  7.5702e+08
4  13  7.30478e+08
4  14  7.76981e+08
4  15  8.11021e+08
4  16  7.36755e+08
4  17  6.95519e+08
4  18  7.36154e+08
4  19  7.28382e+08
4  20  8.07306e+08
4  21  7.20171e+08
4  22  6.46018e+08
4  23  6.47808e+08
4  24  6.57158e+08
4  25  5.90247e+08
4  26  5.81505e+08
4  27  5.76039e+08
4  28  5.60432e+08
4  29  6.18819e+08
4  30  6.05408e+08
4  31  5.8123e+08
4  32  6.21125e+08
4  33  5.65602e+08
4  34  5.5207e+08
4  35  6.05766e+08
4  36  5.32317e+08
4  37  6.00181e+08
4  38  5.9377e+08
4  39  5.65329e+08
4  40  6.29658e+08
4  41  5.99492e+08
4  42  5.50171e+08
4  43  5.12759e+08
4  44  4.9893e+08
4  45  5.07768e+08
4  46  4.75972e+08
4  47  5.08975e+08
4  48  5.47207e+08
4  49  5.17278e+08
4  50  5.5731e+08
4  51  6.39743e+08
4  52  6.89008e+08
4  53  6.67482e+08
4  54  6.02434e+08
4  55  6.20596e+08
4  56  6.11032e+08
4  57  6.8089e+08
4  58  6.3106e+08
4  59  6.34212e+08
4  60  7.24865e+08
4  61  7.25705e+08
4  62  7.345e+08
4  63  7.57918e+08
4  64  7.07396e+08
4  65  7.10145e+08
4  66  6.91738e+08
4  67  6.90023e+08
4  68  6.36591e+08
4  69  6.82273e+08
4  70  7.52119e+08
4  71  7.43071e+08
4  72  7.13831e+08
4  73  7.97917e+08
4  74  7.81554e+08
4  75  7.46309e+08
4  76  7.07329e+08
4  77  7.24784e+08
4  78  6.8621e+08
4  79  6.96635e+08
4  80  6.49482e+08
5  0  7.17412e+08
5  1  8.94824e+08
5  2  8.3549e+08
5  3  7.62611e+08
5  4  7.62057e+08
5  5  7.15822e+08
5  6  7.67146e+08
5  7  7.61803e+08
5  8  7.28013e+08
5  9  7.14788e+08
5  10  6.70755e+08
5  11  6.93149e+08
5  12  7.24095e+08
5  13  6.73195e+08
5  14  7.58942e+08
5  15  7.56567e+08
5  16  7.52584e+08
5  17  7.29351e+08
5  18  7.14868e+08
5  19  7.44399e+08
5  20  6.84782e+08
5  21  6.69849e+08
5  22  6.6235e+08
5  23  6.35593e+08
5  24  6.36154e+08
5  25  7.08163e+08
5  26  5.85887e+08
5  27  5.31585e+08
5  28  5.70863e+08
5  29  5.51565e+08
5  30  5.64377e+08
5  31  5.55183e+08
5  32  5.66126e+08
5  33  5.40513e+08
5  34  5.24074e+08
5  35  5.99896e+08
5  36  5.57831e+08
5  37  5.36938e+08
5  38  5.83345e+08
5  39  6.09788e+08
5  40  6.17315e+08
5  41  5.87928e+08
5  42  5.85717e+08
5  43  4.8268e+08
5  44  4.85794e+08
5  45  5.18917e+08
5  46  5.26224e+08
5  47  4.8506e+08
5  48  4.73536e+08
5  49  5.3391e+08
5  50  5.50153e+08
5  51  6.10867e+08
5  52  6.06025e+08
5  53  6.30295e+08
5  54  6.41993e+08
5  55  6.32664e+08
5  56  6.51002e+08
5  57  6.09881e+08
5  58  7.4482e+08
5  59  7.1226e+08
5  60  6.45625e+08
5  61  7.26571e+08
5  62  6.65885e+08
5  63  7.65678e+08
5  64  7.18284e+08
5  65  6.26746e+08
5  66  6.94033e+08
5  67  6.66191e+08
5  68  6.7381e+08
5  69  7.45936e+08
5  70  6.73928e+08
5  71  6.21642e+08
5  72  6.90533e+08
5  73  7.54965e+08
5  74  7.68099e+08
5  75  7.98798e+08
5  76  7.09166e+08
5  77  6.89467e+08
5  78  7.2898e+08
5  79  6.58969e+08
5  80  5.98087e+08
6  0  7.69174e+08
6  1  8.17729e+08
6  2  8.39982e+08
6  3  8.10727e+08
6  4  7.04531e+08
6  5  7.31192e+08
6  6  8.1645e+08
6  7  7.37323e+08
6  8  7.23302e+08
6  9  8.17357e+08
6  10  7.38708e+08
6  11  7.95762e+08
6  12  7.25986e+08
6  13  7.05205e+08
6  14  7.1689e+08
6  15  7.42907e+08
6  16  7.05303e+08
6  17  7.19107e+08
6  18  6.81964e+08
6  19  8.2404e+08
6  20  7.37249e+08
6  21  6.92572e+08
6  22  6.88555e+08
6  23  7.15987e+08
6  24  6.73469e+08
6  25  6.7412e+08
6  26  6.43102e+08
6  27  5.89348e+08
6  28  5.33016e+08
6  29  5.6452e+08
6  30  5.76255e+08
6  31  5.80381e+08
6  32  5.82017e+08
6  33  5.67828e+08
6  34  5.9246e+08
6  35  5.6424e+08
6  36  5.57579e+08
6  37  5.56554e+08
6  38  5.56785e+08
6  39  5.63093e+08
6  40  6.29938e+08
6  41  6.38317e+08
6  42  5.75974e+08
6  43  5.43562e+08
6  44  5.22476e+08
6  45  4.81903e+08
6  46  4.37926e+08
6  47  4.73737e+08
6  48  4.74413e+08
6  49  5.28478e+08
6  50  4.95116e+08
6  51  6.2392e+08
6  52  6.36776e+08
6  53  6.99494e+08
6  54  6.40807e+08
6  55  6.95373e+08
6  56  6.48785e+08
6  57  6.31022e+08
6  58  7.04241e+08
6  59  6.51156e+08
6  60  6.8561e+08
6  61  6.63332e+08
6  62  6.75582e+08
6  63  6.824e+08
6  64  6.1747e+08
6  65  6.38457e+08
6  66  6.7228e+08
6  67  6.83899e+08
6  68  6.32445e+08
6  69  6.58157e+08
6  70  6.68107e+08
6  71  7.17523e+08
6  72  7.40076e+08
6  73  7.51555e+08
6  74  7.78438e+08
6  75  7.55173e+08
6  76  7.4167e+08
6  77  7.03346e+08
6  78  6.34469e+08
6  79  6.65647e+08
6  80  6.80387e+08
7  0  8.1983e+08
7  1  8.10548e+08
7  2  7.01834e+08
7  3  8.17401e+08
7  4  7.84875e+08
7  5  7.36834e+08
7  6  7.45031e+08
7  7  7.89975e+08
7  8  8.51008e+08
7  9  7.12091e+08
7  10  6.98727e+08
7  11  7.13784e+08
7  12  7.18091e+08
7  13  7.00906e+08
7  14  7.2535e+08
7  15  7.28813e+08
7  16  8.15871e+08
7  17  7.13316e+08
7  18  7.13518e+08
7  19  7.69088e+08
7  20  7.08849e+08
7  21  6.56893e+08
7  22  6.73182e+08
7  23  6.41854e+08
7  24  6.58297e+08
7  25  6.56891e+08
7  26  6.13412e+08
7  27  5.87336e+08
7  28  5.52654e+08
7  29  5.74739e+08
7  30  5.52386e+08
7  31  5.48735e+08
7  32  5.28581e+08
7  33  5.53285e+08
7  34  5.69195e+08
7  35  5.56134e+08
7  36  5.39145e+08
7  37  4.89091e+08
7  38  5.79599e+08
7  39  6.0496e+08
7  40  5.82155e+08
7  41  5.82023e+08
7  42  5.75697e+08
7  43  4.74225e+08
7  44  4.64961e+08
7  45  4.94676e+08
7  46  4.38908e+08
7  47  4.52222e+08
7  48  4.48717e+08
7  49  5.40086e+08
7  50  5.41415e+08
7  51  6.15863e+08
7  52  6.92118e+08
7  53  6.58273e+08
7  54  6.99829e+08
7  55  6.66806e+08
7  56  6.80065e+08
7  57  6.2508e+08
7  58  6.02742e+08
7  59  6.3385e+08
7  60  6.94996e+08
7  61  6.62572e+08
7  62  6.65397e+08
7  63  6.97218e+08
7  64  6.74108e+08
7  65  6.52355e+08
7  66  6.19428e+08
7  67  6.12808e+08
7  68  6.41279e+08
7  69  6.40406e+08
7  70  6.89048e+08
7  71  6.46224e+08
7  72  7.55753e+08
7  73  6.8786e+08
7  74  7.69294e+08
7  75  7.64196e+08
7  76  6.7803e+08
7  77  7.23298e+08
7  78  6.92526e+08
7  79  7.01041e+08
7  80  6.12197e+08
8  0  8.95949e+08
8  1  8.23781e+08
8  2  8.50173e+08
8  3  7.33755e+08
8  4  8.08749e+08
8  5  7.98432e+08
8  6  7.8529e+08
8  7  7.97605e+08
8  8  6.90469e+08
8  9  7.9335e+08
8  10  7.64464e+08
8  11  7.11253e+08
8  12  6.84186e+08
8  13  6.91803e+08
8  14  8.02159e+08
8  15  7.56771e+08
8  16  6.97856e+08
8  17  7.1215e+08
8  18  6.61634e+08
8  19  7.52065e+08
8  20  7.44303e+08
8  21  7.20377e+08
8  22  6.90403e+08
8  23  6.57241e+08
8  24  6.54206e+08
8  25  6.37979e+08
8  26  5.4196e+08
8  27  5.50791e+08
8  28  5.79861e+08
8  29  5.18232e+08
8  30  4.82306e+08
8  31  5.71814e+08
8  32  5.25679e+08
8  33  5.40242e+08
8  34  5.41282e+08
8  35  5.6036e+08
8  36  5.31265e+08
8  37  4.78579e+08
8  38  5.19387e+08
8  39  5.3878e+08
8  40  5.45109e+08
8  41  5.73526e+08
8  42  5.4023e+08
