row  column  (images_17_538.edf Cu-K*images_17_538.edf Ar-K**2.3)
0  0  4.90162e+06
0  1  4.27673e+06
0  2  4.78479e+06
0  3  7.85077e+06
0  4  5.44345e+06
0  5  6.61731e+06
0  6  6.29883e+06
0  7  2.25869e+06
0  8  5.7904e+06
0  9  5.89895e+06
0  10  5.78577e+06
0  11  3.27188e+06
0  12  2.71583e+06
0  13  3.25717e+06
0  14  3.41895e+06
0  15  5.21173e+06
0  16  4.15025e+06
0  17  2.51921e+06
0  18  2.73113e+06
0  19  5.48255e+06
0  20  5.22315e+06
0  21  6.28058e+06
0  22  2.22832e+06
0  23  2.66403e+06
0  24  6.26748e+06
0  25  4.36423e+06
0  26  2.16009e+06
0  27  780734
0  28  2.6442e+06
0  29  3.62779e+06
0  30  2.35684e+06
0  31  5.35034e+06
0  32  6.33069e+06
0  33  5.16201e+06
0  34  7.77484e+06
0  35  4.09709e+06
0  36  3.63363e+06
0  37  4.35025e+06
0  38  3.63873e+06
0  39  3.30594e+06
0  40  3.30388e+06
0  41  3.73997e+06
0  42  2.81056e+06
0  43  6.08402e+06
0  44  5.00932e+06
0  45  4.5733e+06
0  46  1.74562e+06
0  47  1.76958e+06
0  48  4.04823e+06
0  49  1.14744e+06
0  50  1.6572e+06
0  51  6.22193e+06
0  52  2.73329e+06
0  53  6.38989e+06
0  54  5.79244e+06
0  55  3.7377e+06
0  56  5.07839e+06
0  57  6.83439e+06
0  58  8.03147e+06
0  59  6.76905e+06
0  60  6.14773e+06
0  61  8.10256e+06
0  62  1.46323e+06
0  63  5.86098e+06
0  64  4.35549e+06
0  65  1.84382e+06
0  66  3.54364e+06
0  67  5.32546e+06
0  68  6.40458e+06
0  69  4.5965e+06
0  70  4.05574e+06
0  71  3.97769e+06
0  72  8.00575e+06
0  73  5.77383e+06
0  74  7.62152e+06
0  75  3.9006e+06
0  76  5.5863e+06
0  77  6.43717e+06
0  78  4.74617e+06
0  79  3.32216e+06
0  80  3.8865e+06
1  0  6.49105e+06
1  1  2.65015e+06
1  2  6.14506e+06
1  3  2.27984e+06
1  4  7.19904e+06
1  5  6.68474e+06
1  6  4.31833e+06
1  7  4.04469e+06
1  8  2.76905e+06
1  9  4.40166e+06
1  10  3.60515e+06
1  11  5.49179e+06
1  12  4.9785e+06
1  13  3.9623e+06
1  14  2.81493e+06
1  15  3.8953e+06
1  16  3.59233e+06
1  17  2.85728e+06
1  18  7.41601e+06
1  19  8.36458e+06
1  20  7.79988e+06
1  21  4.70979e+06
1  22  4.27897e+06
1  23  4.95998e+06
1  24  3.41008e+06
1  25  6.10259e+06
1  26  4.87068e+06
1  27  3.87617e+06
1  28  2.85048e+06
1  29  4.41419e+06
1  30  2.51216e+06
1  31  3.39669e+06
1  32  8.43074e+06
1  33  2.52949e+06
1  34  5.85178e+06
1  35  3.35358e+06
1  36  3.85366e+06
1  37  4.15928e+06
1  38  4.43089e+06
1  39  1.38266e+06
1  40  3.07593e+06
1  41  5.15831e+06
1  42  2.90477e+06
1  43  3.94356e+06
1  44  4.03537e+06
1  45  2.29647e+06
1  46  3.40484e+06
1  47  1.53892e+06
1  48  4.85509e+06
1  49  9.38573e+06
1  50  2.44326e+06
1  51  3.46873e+06
1  52  4.88926e+06
1  53  2.23081e+06
1  54  5.85178e+06
1  55  4.64182e+06
1  56  5.22433e+06
1  57  4.433e+06
1  58  5.70246e+06
1  59  4.15737e+06
1  60  3.1583e+06
1  61  5.24868e+06
1  62  4.30331e+06
1  63  2.25507e+06
1  64  2.33536e+06
1  65  5.24152e+06
1  66  3.94678e+06
1  67  6.48945e+06
1  68  2.76051e+06
1  69  5.92478e+06
1  70  2.46686e+06
1  71  5.16779e+06
1  72  4.67663e+06
1  73  5.76368e+06
1  74  7.29454e+06
1  75  6.73483e+06
1  76  4.56767e+06
1  77  7.89816e+06
1  78  0
1  79  6.60012e+06
1  80  7.52654e+06
2  0  3.96201e+06
2  1  5.67973e+06
2  2  3.87212e+06
2  3  3.66195e+06
2  4  7.35234e+06
2  5  4.24414e+06
2  6  3.80905e+06
2  7  2.37385e+06
2  8  5.44678e+06
2  9  4.09179e+06
2  10  3.42007e+06
2  11  4.05383e+06
2  12  5.498e+06
2  13  6.06798e+06
2  14  7.09285e+06
2  15  5.53612e+06
2  16  830758
2  17  6.16604e+06
2  18  3.71613e+06
2  19  3.55699e+06
2  20  5.15269e+06
2  21  5.06704e+06
2  22  4.47538e+06
2  23  922686
2  24  8.26504e+06
2  25  8.59319e+06
2  26  3.64315e+06
2  27  3.44978e+06
2  28  4.46102e+06
2  29  2.61652e+06
2  30  6.96787e+06
2  31  2.57308e+06
2  32  4.5314e+06
2  33  3.98949e+06
2  34  4.62154e+06
2  35  2.57187e+06
2  36  5.36385e+06
2  37  2.18381e+06
2  38  7.72227e+06
2  39  2.07542e+06
2  40  3.79878e+06
2  41  5.98481e+06
2  42  6.78438e+06
2  43  2.77742e+06
2  44  3.19911e+06
2  45  2.00508e+06
2  46  2.86257e+06
2  47  6.86716e+06
2  48  4.44933e+06
2  49  2.16819e+06
2  50  2.63173e+06
2  51  2.42781e+06
2  52  3.93532e+06
2  53  3.15493e+06
2  54  3.00495e+06
2  55  5.34379e+06
2  56  3.71383e+06
2  57  2.72866e+06
2  58  3.85691e+06
2  59  8.54852e+06
2  60  3.11779e+06
2  61  5.49374e+06
2  62  3.18724e+06
2  63  5.91646e+06
2  64  3.93354e+06
2  65  3.05257e+06
2  66  3.75925e+06
2  67  5.35502e+06
2  68  6.36821e+06
2  69  2.90301e+06
2  70  8.4555e+06
2  71  2.656e+06
2  72  4.33493e+06
2  73  4.34546e+06
2  74  5.2251e+06
2  75  4.11135e+06
2  76  5.17473e+06
2  77  8.72616e+06
2  78  8.3011e+06
2  79  3.62936e+06
2  80  4.49848e+06
3  0  5.08181e+06
3  1  2.93194e+06
3  2  3.54082e+06
3  3  4.11481e+06
3  4  5.69433e+06
3  5  4.53831e+06
3  6  7.36931e+06
3  7  4.33624e+06
3  8  3.22556e+06
3  9  3.73346e+06
3  10  3.69581e+06
3  11  4.30172e+06
3  12  4.31068e+06
3  13  6.79863e+06
3  14  3.8551e+06
3  15  2.96751e+06
3  16  3.55874e+06
3  17  7.98254e+06
3  18  4.10814e+06
3  19  5.62895e+06
3  20  4.13568e+06
3  21  4.25759e+06
3  22  2.75299e+06
3  23  5.7185e+06
3  24  4.80753e+06
3  25  2.92943e+06
3  26  7.0328e+06
3  27  6.96135e+06
3  28  4.37493e+06
3  29  3.52518e+06
3  30  2.67877e+06
3  31  4.32576e+06
3  32  5.75167e+06
3  33  4.5136e+06
3  34  2.14952e+06
3  35  1.31149e+06
3  36  5.67691e+06
3  37  0
3  38  4.4471e+06
3  39  6.82347e+06
3  40  6.77047e+06
3  41  3.41544e+06
3  42  3.48338e+06
3  43  2.77043e+06
3  44  2.03511e+06
3  45  6.5227e+06
3  46  2.68556e+06
3  47  2.92809e+06
3  48  4.57639e+06
3  49  2.18991e+06
3  50  0
3  51  4.11006e+06
3  52  6.61335e+06
3  53  3.13402e+06
