row  column  (images_25_1_306.edf S-K*images_25_1_306.edf Ar-K**2.3)
0  0  0
0  1  2.04838e+07
0  2  2.46566e+07
0  3  4.20991e+06
0  4  492790
0  5  0
0  6  0
0  7  0
0  8  0
0  9  0
0  10  0
0  11  0
0  12  0
0  13  0
0  14  0
0  15  0
0  16  0
0  17  0
0  18  0
0  19  0
0  20  0
0  21  0
0  22  0
0  23  0
0  24  0
0  25  0
0  26  0
0  27  0
0  28  0
0  29  0
0  30  67703.5
0  31  2.49853e+07
0  32  1.98453e+07
0  33  2.63831e+07
0  34  2.74321e+07
0  35  2.90325e+07
0  36  3.41545e+07
0  37  2.84727e+07
0  38  1.52345e+07
0  39  2.5303e+07
0  40  3.52764e+07
0  41  2.71489e+07
0  42  2.88352e+07
0  43  1.84707e+07
0  44  1.37135e+07
0  45  0
0  46  1.48255e+07
0  47  1.67769e+07
0  48  2.98517e+07
0  49  2.48987e+07
0  50  3.19807e+07
1  0  1.86853e+07
1  1  1.6815e+07
1  2  1.66731e+07
1  3  7.19411e+06
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  0
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  0
1  30  1.77887e+07
1  31  2.10026e+07
1  32  2.93361e+07
1  33  2.62984e+07
1  34  2.50653e+07
1  35  2.27489e+07
1  36  1.75336e+07
1  37  2.39618e+07
1  38  1.89346e+07
1  39  1.90864e+07
1  40  2.7739e+07
1  41  3.17955e+07
1  42  1.68556e+07
1  43  1.4276e+07
1  44  2.82628e+07
1  45  2.11791e+07
1  46  0
1  47  0
1  48  1.82914e+07
1  49  1.99897e+07
1  50  3.09353e+07
2  0  1.34749e+07
2  1  1.68024e+07
2  2  1.36992e+07
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0
2  10  0
2  11  0
2  12  0
2  13  0
2  14  0
2  15  0
2  16  0
2  17  0
2  18  0
2  19  0
2  20  0
2  21  0
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  0
2  28  0
2  29  0
2  30  0
2  31  1.64072e+07
2  32  2.40049e+07
2  33  0
2  34  2.12916e+07
2  35  2.53355e+07
2  36  3.65646e+07
2  37  0
2  38  0
2  39  2.24426e+07
2  40  0
2  41  2.36608e+07
2  42  1.67655e+07
2  43  1.8131e+07
2  44  1.9881e+07
2  45  2.53505e+07
2  46  3.13089e+07
2  47  2.90713e+07
2  48  1.60618e+07
2  49  3.55418e+07
2  50  1.95582e+07
3  0  2.20836e+07
3  1  2.16965e+07
3  2  0
3  3  5.91567e+06
3  4  1.54703e+07
3  5  0
3  6  0
3  7  0
3  8  0
3  9  0
3  10  0
3  11  0
3  12  0
