row  column  (images_25_2_757.edf Ca-K*images_25_2_757.edf Ar-K**2.3)
0  0  4.20849e+08
0  1  4.88536e+08
0  2  5.11283e+08
0  3  5.82717e+08
0  4  6.87611e+08
0  5  6.68149e+08
0  6  8.14191e+08
0  7  9.06102e+08
0  8  8.11959e+08
0  9  8.45968e+08
0  10  8.8386e+08
0  11  7.74779e+08
0  12  6.50935e+08
0  13  6.65182e+08
0  14  5.49963e+08
0  15  5.89379e+08
0  16  4.39223e+08
0  17  4.05486e+08
0  18  6.18125e+08
0  19  1.48341e+09
0  20  1.29845e+09
0  21  1.00616e+09
0  22  4.02191e+08
0  23  3.35636e+08
0  24  3.34578e+08
0  25  4.03193e+08
0  26  2.69684e+08
0  27  2.8254e+08
0  28  3.064e+08
0  29  2.79679e+08
0  30  2.42171e+08
0  31  2.33756e+08
0  32  2.09787e+08
0  33  2.1729e+08
0  34  2.87852e+08
0  35  2.508e+08
0  36  2.91761e+08
0  37  3.59089e+08
0  38  4.43767e+08
0  39  4.89853e+08
0  40  7.34208e+08
0  41  8.08087e+08
0  42  9.30647e+08
0  43  8.60333e+08
0  44  9.37303e+08
0  45  1.10442e+09
0  46  1.10697e+09
0  47  1.07918e+09
0  48  1.12793e+09
0  49  1.24126e+09
0  50  1.13931e+09
1  0  5.46524e+08
1  1  6.24171e+08
1  2  6.70839e+08
1  3  6.97173e+08
1  4  8.03359e+08
1  5  8.99329e+08
1  6  9.7889e+08
1  7  1.00189e+09
1  8  1.16423e+09
1  9  1.12516e+09
1  10  1.01435e+09
1  11  8.85327e+08
1  12  7.30179e+08
1  13  9.34315e+08
1  14  8.45876e+08
1  15  7.2329e+08
1  16  5.61877e+08
1  17  5.57224e+08
1  18  1.00692e+09
1  19  1.56719e+09
1  20  1.33194e+09
1  21  7.29091e+08
1  22  4.33421e+08
1  23  5.09687e+08
1  24  4.39954e+08
1  25  4.16163e+08
1  26  3.85625e+08
1  27  2.89944e+08
1  28  4.04778e+08
1  29  3.75988e+08
1  30  3.10067e+08
1  31  2.74726e+08
1  32  2.60321e+08
1  33  2.64878e+08
1  34  3.13512e+08
1  35  3.46691e+08
1  36  4.71362e+08
1  37  4.83025e+08
1  38  5.71296e+08
1  39  7.30645e+08
1  40  8.42536e+08
1  41  1.01731e+09
1  42  1.05047e+09
1  43  1.17822e+09
1  44  1.08266e+09
1  45  1.2215e+09
1  46  1.11895e+09
1  47  1.18441e+09
1  48  1.16822e+09
1  49  1.09032e+09
1  50  1.2751e+09
2  0  6.26536e+08
2  1  7.27601e+08
2  2  8.42182e+08
2  3  8.41439e+08
2  4  9.46998e+08
2  5  1.17524e+09
2  6  1.24251e+09
2  7  1.18849e+09
2  8  1.26009e+09
2  9  1.19889e+09
2  10  1.4229e+09
2  11  1.11442e+09
2  12  9.58784e+08
2  13  1.1771e+09
2  14  9.87135e+08
2  15  8.58382e+08
2  16  6.19405e+08
2  17  6.41541e+08
2  18  9.72981e+08
2  19  1.20469e+09
2  20  1.1738e+09
2  21  7.15041e+08
2  22  5.01175e+08
2  23  5.61866e+08
2  24  5.7674e+08
2  25  5.04347e+08
2  26  4.7007e+08
2  27  4.16696e+08
2  28  4.55731e+08
2  29  4.50999e+08
2  30  3.44178e+08
2  31  3.31173e+08
2  32  3.44297e+08
2  33  4.07966e+08
2  34  3.79884e+08
2  35  4.80212e+08
2  36  4.75838e+08
2  37  5.83715e+08
2  38  6.94401e+08
2  39  7.95825e+08
2  40  1.06459e+09
2  41  1.30862e+09
2  42  1.38194e+09
2  43  1.07192e+09
2  44  1.16969e+09
2  45  1.20836e+09
2  46  1.29637e+09
2  47  1.32329e+09
2  48  1.13217e+09
