row  column  (images_25_2_757.edf Cu-K*images_25_2_757.edf Ar-K**2.3)
0  0  0
0  1  0
0  2  0
0  3  6.93542e+06
0  4  1.27923e+07
0  5  0
0  6  1.94683e+06
0  7  5.33449e+06
0  8  1.56598e+06
0  9  8.14874e+06
0  10  1.0367e+07
0  11  1.46771e+07
0  12  1.29773e+07
0  13  6.54254e+06
0  14  0
0  15  0
0  16  626167
0  17  1.40938e+07
0  18  1.69182e+07
0  19  1.35995e+07
0  20  9.38385e+06
0  21  1.01773e+07
0  22  0
0  23  1.24384e+07
0  24  1.8662e+06
0  25  1.28346e+07
0  26  2.1505e+06
0  27  1.04223e+07
0  28  1.13324e+07
0  29  0
0  30  7.32207e+06
0  31  926669
0  32  1.55731e+06
0  33  9.42278e+06
0  34  4.62027e+06
0  35  1.28016e+07
0  36  1.02143e+07
0  37  1.44807e+07
0  38  1.8886e+06
0  39  0
0  40  1.21699e+07
0  41  3.13624e+06
0  42  7.62028e+06
0  43  0
0  44  1.06852e+07
0  45  1.13234e+07
0  46  1.4607e+07
0  47  1.08263e+07
0  48  0
0  49  2.47893e+07
0  50  2.00218e+07
1  0  644327
1  1  1.06866e+07
1  2  7.57061e+06
1  3  1.08451e+06
1  4  4.89715e+06
1  5  1.52724e+07
1  6  0
1  7  0
1  8  0
1  9  6.85811e+06
1  10  1.5386e+07
1  11  1.2596e+07
1  12  5.49388e+06
1  13  2.38646e+06
1  14  1.75698e+07
1  15  8.07353e+06
1  16  1.18724e+07
1  17  1.00953e+07
1  18  0
1  19  1.9583e+07
1  20  1.04253e+07
1  21  5.88816e+06
1  22  4.63663e+06
1  23  0
1  24  0
1  25  9.53497e+06
1  26  1.82495e+06
1  27  0
1  28  3.29127e+06
1  29  0
1  30  0
1  31  6.96293e+06
1  32  5.04859e+06
1  33  1.85871e+07
1  34  0
1  35  1.47482e+06
1  36  5.19423e+06
1  37  5.28223e+06
1  38  0
1  39  5.23003e+06
1  40  7.52482e+06
1  41  1.6815e+07
1  42  7.77313e+06
1  43  1.68743e+07
1  44  1.72024e+06
1  45  1.15532e+07
1  46  9.82079e+06
1  47  8.68833e+06
1  48  3.5011e+06
1  49  1.35401e+06
1  50  1.25191e+07
2  0  0
2  1  0
2  2  0
2  3  5.10944e+06
2  4  9.85847e+06
2  5  1.47179e+06
2  6  3.28314e+06
2  7  2.80184e+06
2  8  1.21095e+07
2  9  4.2101e+06
2  10  9.92094e+06
2  11  0
2  12  9.01156e+06
2  13  1.70056e+07
2  14  0
2  15  4.62251e+06
2  16  1.21685e+07
2  17  5.50199e+06
2  18  9.0395e+06
2  19  9.64986e+06
2  20  1.94311e+07
2  21  4.84099e+06
2  22  3.27023e+06
2  23  7.42605e+06
2  24  0
2  25  6.33144e+06
2  26  0
2  27  1.33994e+07
2  28  1.05346e+07
2  29  6.96006e+06
2  30  0
2  31  1.98075e+06
2  32  380276
2  33  1.20506e+07
2  34  8.95837e+06
2  35  9.69522e+06
2  36  9.85326e+06
2  37  0
2  38  7.77238e+06
2  39  6.18793e+06
2  40  1.83099e+07
2  41  1.26886e+07
2  42  3.84794e+06
2  43  9.54421e+06
2  44  3.42782e+06
2  45  7.81268e+06
2  46  4.71379e+06
2  47  8.14983e+06
2  48  1.83946e+07
2  49  1.98538e+07
2  50  1.1604e+07
3  0  0
3  1  436725
3  2  0
3  3  7.44413e+06
3  4  1.25282e+07
3  5  1.28573e+07
3  6  1.31368e+07
3  7  6.17484e+06
3  8  2.85237e+07
3  9  9.54958e+06
3  10  2.18766e+07
3  11  7.25381e+06
3  12  1.01987e+07
3  13  0
3  14  1.37219e+07
3  15  1.98239e+07
3  16  134117
3  17  0
3  18  6.0626e+06
3  19  1.34058e+07
3  20  9.51868e+06
3  21  2.22077e+07
3  22  1.07305e+07
3  23  0
3  24  1.01091e+07
3  25  7.02493e+06
3  26  8.40636e+06
3  27  5.36031e+06
3  28  1.11978e+07
3  29  2.09046e+07
3  30  1.22999e+07
3  31  2.82154e+06
3  32  1.07164e+07
3  33  0
3  34  3.73861e+06
3  35  2.03634e+06
3  36  1.75084e+06
3  37  1.439e+07
3  38  6.78771e+06
3  39  5.28747e+06
3  40  5.92659e+06
3  41  1.40443e+07
3  42  2.13334e+07
3  43  1.49361e+07
3  44  6.50251e+06
3  45  2.32361e+07
3  46  1.57123e+07
3  47  1.26869e+07
3  48  6.09316e+06
3  49  1.3485e+07
3  50  442941
4  0  3.73245e+06
4  1  0
4  2  1.0453e+07
4  3  0
4  4  1.65882e+07
4  5  2.75507e+06
4  6  1.95547e+07
4  7  7.83562e+06
4  8  7.9713e+06
4  9  1.52466e+07
4  10  1.59283e+07
4  11  2.95796e+07
4  12  5.96919e+06
4  13  6.57178e+06
4  14  721345
4  15  2.65156e+06
4  16  2.83566e+06
4  17  2.50611e+06
4  18  1.92474e+06
4  19  2.14735e+07
4  20  9.38835e+06
4  21  1.1468e+07
4  22  1.26628e+06
4  23  0
4  24  5.58197e+06
4  25  4.70213e+06
4  26  4.77434e+06
4  27  998360
4  28  0
4  29  0
4  30  0
4  31  1.36331e+07
4  32  0
4  33  2.18614e+07
4  34  3.41369e+06
4  35  5.65927e+06
4  36  7.74454e+06
4  37  0
4  38  1.47366e+07
4  39  645625
4  40  1.03439e+07
4  41  7.03241e+06
4  42  1.83969e+07
4  43  0
4  44  6.77356e+06
4  45  5.99275e+06
4  46  1.70108e+06
4  47  2.06547e+07
4  48  9.5543e+06
4  49  3.92438e+06
4  50  2.8408e+06
5  0  0
5  1  1.47238e+07
5  2  2.41298e+07
5  3  2.30087e+07
5  4  1.20153e+07
5  5  2.25732e+07
5  6  1.42699e+07
5  7  2.5824e+07
5  8  1.39965e+07
5  9  1.58279e+07
5  10  1.69157e+07
5  11  1.3415e+07
5  12  8.33032e+06
5  13  0
5  14  4.8716e+06
5  15  1.2582e+07
5  16  828619
5  17  9.6932e+06
5  18  2.22563e+07
5  19  1.18121e+07
5  20  3.04114e+06
5  21  7.87257e+06
5  22  1.00346e+07
5  23  1.10159e+07
5  24  0
5  25  1.22229e+07
5  26  3.38901e+06
5  27  0
5  28  7.33764e+06
5  29  0
5  30  8.55891e+06
5  31  1.27743e+07
5  32  3.59207e+06
5  33  9.58819e+06
5  34  6.06172e+06
5  35  1.10898e+07
5  36  5.93402e+06
5  37  8.76731e+06
5  38  2.00766e+07
5  39  4.11778e+06
5  40  0
5  41  1.43622e+07
5  42  8.28916e+06
5  43  7.37393e+06
5  44  1.55714e+07
5  45  4.87679e+06
5  46  1.30652e+07
5  47  2.71434e+07
5  48  1.4957e+06
5  49  0
5  50  1.45661e+07
6  0  1.358e+06
6  1  1.61982e+07
6  2  1.66447e+07
6  3  3.74212e+06
6  4  0
6  5  1.79964e+07
6  6  9.30095e+06
6  7  1.29554e+07
6  8  8.42064e+06
6  9  4.80757e+06
6  10  6.6234e+06
6  11  7.5924e+06
6  12  0
6  13  2.97248e+06
6  14  1.07109e+07
6  15  4.10085e+06
6  16  7.76983e+06
6  17  1.10703e+07
6  18  1.1902e+07
6  19  1.92197e+07
6  20  0
6  21  0
6  22  5.62575e+06
6  23  2.65652e+07
6  24  1.77327e+07
6  25  1.19641e+06
6  26  5.94433e+06
6  27  1.40608e+07
6  28  4.72664e+06
6  29  1.03133e+07
6  30  2.24629e+06
6  31  0
6  32  5.09438e+06
6  33  7.74224e+06
6  34  1.65044e+06
6  35  0
