row  column  (images_25_2_757.edf Fe-K*images_25_2_757.edf Ar-K**2.3)
0  0  0
0  1  2.26175e+07
0  2  3.84461e+07
0  3  5.46999e+07
0  4  6.20075e+07
0  5  8.0086e+07
0  6  6.18648e+07
0  7  7.86486e+07
0  8  6.47146e+07
0  9  7.77211e+07
0  10  9.0555e+07
0  11  1.15939e+08
0  12  1.38319e+08
0  13  2.72093e+08
0  14  1.56634e+08
0  15  1.22584e+08
0  16  8.19926e+07
0  17  7.87333e+07
0  18  6.59063e+07
0  19  9.13748e+07
0  20  1.003e+08
0  21  9.31922e+07
0  22  4.28204e+07
0  23  8.62853e+07
0  24  1.02072e+08
0  25  6.44623e+07
0  26  4.23069e+07
0  27  6.64021e+07
0  28  9.55255e+07
0  29  7.21477e+07
0  30  6.64242e+07
0  31  6.24098e+07
0  32  4.74332e+07
0  33  5.39952e+07
0  34  4.46309e+07
0  35  4.74194e+07
0  36  5.90968e+07
0  37  6.18457e+07
0  38  6.68315e+07
0  39  1.60834e+08
0  40  1.08557e+08
0  41  9.48607e+07
0  42  9.41762e+07
0  43  8.19674e+07
0  44  1.026e+08
0  45  1.6907e+08
0  46  2.42024e+08
0  47  1.28038e+08
0  48  1.34123e+08
0  49  1.06023e+08
0  50  1.0963e+08
1  0  8.9835e+06
1  1  6.85807e+07
1  2  7.70142e+07
1  3  8.24549e+07
1  4  7.33122e+07
1  5  8.32362e+07
1  6  8.21604e+07
1  7  6.13821e+07
1  8  7.28389e+07
1  9  7.41056e+07
1  10  1.04505e+08
1  11  1.20834e+08
1  12  2.31417e+08
1  13  3.91094e+08
1  14  2.2942e+08
1  15  1.57426e+08
1  16  7.08207e+07
1  17  9.07269e+07
1  18  8.51772e+07
1  19  1.07986e+08
1  20  9.62198e+07
1  21  8.00144e+07
1  22  5.49326e+07
1  23  1.26985e+08
1  24  6.96207e+07
1  25  4.6087e+07
1  26  5.04231e+07
1  27  6.77777e+07
1  28  7.73436e+07
1  29  1.05525e+08
1  30  6.93546e+07
1  31  5.76852e+07
1  32  4.43191e+07
1  33  4.85208e+07
1  34  5.45504e+07
1  35  4.02739e+07
1  36  7.16146e+07
1  37  6.80963e+07
1  38  1.17901e+08
1  39  1.72081e+08
1  40  1.02498e+08
1  41  9.01667e+07
1  42  7.74451e+07
1  43  1.23348e+08
1  44  1.19791e+08
1  45  1.8317e+08
1  46  1.43122e+08
1  47  9.94092e+07
1  48  1.05819e+08
1  49  8.68101e+07
1  50  1.00593e+08
2  0  1.13497e+07
2  1  5.21027e+07
2  2  7.22592e+07
2  3  8.95067e+07
2  4  8.52979e+07
2  5  1.05592e+08
2  6  1.06491e+08
2  7  8.98509e+07
2  8  8.82715e+07
2  9  9.03577e+07
2  10  1.45214e+08
2  11  1.62441e+08
2  12  3.0926e+08
2  13  5.59239e+08
2  14  2.60975e+08
2  15  1.81487e+08
2  16  9.85709e+07
2  17  1.00782e+08
2  18  9.7413e+07
2  19  1.01718e+08
2  20  1.02797e+08
2  21  8.71766e+07
2  22  7.5553e+07
2  23  1.03674e+08
2  24  8.57896e+07
2  25  5.06099e+07
2  26  8.09898e+07
2  27  7.00232e+07
2  28  6.77693e+07
2  29  1.63356e+08
2  30  7.73008e+07
2  31  5.90158e+07
2  32  5.12508e+07
2  33  5.81884e+07
2  34  4.98267e+07
2  35  3.40984e+07
2  36  6.07349e+07
2  37  8.33806e+07
2  38  1.48831e+08
2  39  2.45675e+08
2  40  1.07541e+08
2  41  1.05623e+08
2  42  1.08577e+08
2  43  9.97506e+07
2  44  1.04883e+08
2  45  1.40475e+08
2  46  1.41726e+08
2  47  1.34947e+08
2  48  7.89487e+07
2  49  9.75919e+07
2  50  1.00236e+08
3  0  4.05345e+07
3  1  7.42438e+07
3  2  9.99183e+07
3  3  1.71659e+08
3  4  1.2515e+08
3  5  1.37385e+08
3  6  1.11043e+08
3  7  1.17246e+08
3  8  1.07978e+08
3  9  1.02424e+08
3  10  1.4592e+08
3  11  1.70595e+08
3  12  4.63913e+08
3  13  7.47091e+08
3  14  3.44399e+08
3  15  1.97042e+08
3  16  1.11748e+08
3  17  9.28824e+07
3  18  9.24942e+07
3  19  1.01522e+08
3  20  9.34533e+07
3  21  7.67971e+07
3  22  8.65196e+07
3  23  8.67446e+07
3  24  7.20783e+07
3  25  7.7693e+07
3  26  6.9558e+07
3  27  8.60815e+07
3  28  8.3874e+07
3  29  1.29993e+08
3  30  7.74513e+07
3  31  6.87667e+07
3  32  5.80544e+07
3  33  5.73109e+07
3  34  5.55053e+07
3  35  5.61519e+07
3  36  5.97755e+07
3  37  7.67395e+07
3  38  1.44462e+08
3  39  1.31593e+08
3  40  1.1814e+08
3  41  1.12385e+08
3  42  9.06049e+07
3  43  9.57094e+07
3  44  8.77368e+07
3  45  1.49983e+08
3  46  1.01974e+08
3  47  9.55781e+07
3  48  7.05819e+07
3  49  8.31888e+07
3  50  8.13371e+07
4  0  5.87929e+07
4  1  9.66013e+07
4  2  8.93476e+07
4  3  1.95915e+08
4  4  1.18481e+08
4  5  1.33718e+08
4  6  9.93263e+07
4  7  1.07758e+08
4  8  1.09062e+08
4  9  1.03927e+08
4  10  1.43077e+08
4  11  2.44635e+08
4  12  5.7903e+08
4  13  1.03743e+09
4  14  4.97568e+08
4  15  2.23871e+08
4  16  1.36506e+08
4  17  9.33726e+07
4  18  8.84466e+07
4  19  9.11921e+07
4  20  8.72099e+07
4  21  6.15515e+07
4  22  6.79845e+07
4  23  1.14898e+08
4  24  9.20271e+07
4  25  8.71233e+07
4  26  8.036e+07
4  27  7.613e+07
4  28  8.38613e+07
4  29  1.48551e+08
4  30  7.19305e+07
4  31  7.60742e+07
4  32  5.46106e+07
4  33  8.02075e+07
4  34  6.88835e+07
4  35  7.68005e+07
4  36  6.67433e+07
4  37  6.2358e+07
4  38  1.0307e+08
4  39  1.38433e+08
4  40  9.69592e+07
4  41  8.82467e+07
4  42  1.11212e+08
4  43  6.73155e+07
