row  column  (images_25_2_757.edf Mn-K*images_25_2_757.edf Ar-K**2.3)
0  0  5.15888e+06
0  1  1.45085e+07
0  2  1.16668e+07
0  3  2.19291e+07
0  4  1.98072e+07
0  5  1.12279e+07
0  6  2.08158e+07
0  7  1.9145e+07
0  8  2.33817e+07
0  9  2.21634e+07
0  10  1.32935e+07
0  11  1.78896e+07
0  12  2.98639e+07
0  13  3.69937e+07
0  14  2.19273e+07
0  15  2.54805e+07
0  16  2.96278e+07
0  17  7.20834e+06
0  18  1.85442e+07
0  19  1.63573e+07
0  20  9.07502e+06
0  21  1.83887e+07
0  22  3.28467e+07
0  23  2.39244e+07
0  24  2.20814e+07
0  25  1.55096e+07
0  26  1.88852e+07
0  27  2.23389e+07
0  28  3.15243e+07
0  29  2.57013e+07
0  30  2.61918e+07
0  31  2.84131e+07
0  32  2.0381e+07
0  33  2.45111e+07
0  34  2.72063e+07
0  35  2.55827e+07
0  36  3.21445e+07
0  37  2.03128e+07
0  38  2.41752e+07
0  39  1.69661e+07
0  40  3.96598e+07
0  41  2.10999e+07
0  42  2.22417e+07
0  43  2.59299e+07
0  44  2.47864e+07
0  45  3.35829e+07
0  46  1.56887e+07
0  47  1.13797e+07
0  48  2.27198e+07
0  49  2.6235e+07
0  50  1.84509e+07
1  0  2.37104e+07
1  1  2.15711e+07
1  2  2.00565e+07
1  3  1.83775e+07
1  4  2.23297e+07
1  5  1.85107e+07
1  6  2.61785e+07
1  7  2.28086e+07
1  8  1.34455e+07
1  9  1.99656e+07
1  10  1.79162e+07
1  11  1.64567e+07
1  12  1.62093e+07
1  13  6.8791e+06
1  14  2.6522e+07
1  15  2.79301e+07
1  16  1.30803e+07
1  17  2.17655e+07
1  18  1.09914e+07
1  19  1.65659e+07
1  20  2.11192e+07
1  21  2.61505e+07
1  22  1.94439e+07
1  23  1.74813e+07
1  24  2.05257e+07
1  25  1.72526e+07
1  26  2.71248e+07
1  27  2.80396e+07
1  28  3.83554e+07
1  29  2.07261e+07
1  30  1.8627e+07
1  31  2.3263e+07
1  32  2.09487e+07
1  33  2.66374e+07
1  34  1.99477e+07
1  35  3.82586e+07
1  36  3.23786e+07
1  37  2.17383e+07
1  38  2.34545e+07
1  39  2.52329e+07
1  40  1.81915e+07
1  41  2.17889e+07
1  42  2.15993e+07
1  43  3.18674e+07
1  44  1.40058e+07
1  45  2.18424e+07
1  46  2.13584e+07
1  47  1.87345e+07
1  48  1.85749e+07
1  49  1.66023e+07
1  50  1.80867e+07
2  0  9.71817e+06
2  1  1.54361e+07
2  2  1.42839e+07
2  3  2.27451e+07
2  4  1.38893e+07
2  5  8.97729e+06
2  6  2.03945e+07
2  7  1.89717e+07
2  8  1.01601e+07
2  9  2.2465e+07
2  10  2.51782e+07
2  11  8.19987e+06
2  12  1.59476e+07
2  13  2.41105e+07
2  14  1.41232e+07
2  15  1.88025e+07
2  16  2.74057e+07
2  17  2.76637e+07
2  18  2.36262e+07
2  19  2.52581e+07
2  20  2.4428e+07
2  21  2.17488e+07
2  22  2.33176e+07
2  23  2.13604e+07
2  24  3.09124e+07
2  25  2.71192e+07
2  26  1.96302e+07
2  27  2.94569e+07
2  28  2.47125e+07
2  29  2.50708e+07
2  30  2.18804e+07
2  31  2.1609e+07
2  32  2.06363e+07
2  33  3.96231e+07
2  34  1.59225e+07
2  35  2.9829e+07
2  36  3.33886e+07
2  37  1.83439e+07
2  38  2.00892e+07
2  39  2.08116e+07
2  40  1.59272e+07
2  41  4.33403e+06
2  42  1.32188e+07
2  43  2.46864e+07
2  44  2.18957e+07
2  45  1.82226e+07
2  46  2.4173e+07
2  47  3.69607e+07
2  48  2.89992e+07
2  49  2.64461e+07
2  50  2.78331e+07
3  0  0
3  1  1.54919e+07
3  2  2.60129e+07
3  3  1.51615e+07
3  4  2.29541e+07
3  5  1.13809e+07
3  6  1.90068e+07
3  7  1.2449e+07
3  8  3.27082e+07
3  9  1.5859e+07
3  10  7.89701e+06
3  11  1.44403e+07
3  12  2.72942e+07
3  13  2.06779e+07
3  14  2.03768e+07
3  15  1.83854e+07
3  16  1.10094e+07
3  17  1.83251e+07
3  18  2.65804e+07
3  19  2.40238e+07
3  20  1.90437e+07
3  21  1.86505e+07
3  22  2.23473e+07
3  23  2.29665e+07
3  24  1.88027e+07
3  25  2.66977e+07
3  26  2.22618e+07
3  27  2.50669e+07
3  28  2.70488e+07
3  29  2.99246e+07
3  30  2.25815e+07
3  31  2.82186e+07
3  32  2.36201e+07
3  33  1.22061e+07
3  34  2.29668e+07
3  35  2.56739e+07
3  36  9.22117e+06
3  37  2.05052e+07
3  38  2.21102e+07
3  39  2.10693e+07
3  40  2.95388e+07
3  41  1.00166e+07
3  42  1.84381e+07
3  43  1.88577e+07
3  44  8.98432e+06
3  45  3.10969e+07
3  46  1.42014e+07
3  47  2.46542e+07
3  48  2.31709e+07
3  49  2.00332e+07
3  50  2.51964e+07
4  0  1.24361e+07
4  1  1.03073e+07
4  2  8.76971e+06
4  3  2.27542e+07
4  4  2.03571e+07
4  5  2.0651e+07
4  6  6.06812e+06
4  7  9.24647e+06
4  8  1.91881e+07
4  9  1.79701e+07
4  10  1.04961e+07
4  11  1.7976e+07
4  12  1.19842e+07
4  13  7.75915e+06
4  14  3.26058e+07
4  15  2.09432e+07
4  16  3.00365e+07
4  17  2.03462e+07
4  18  2.34515e+07
