row  column  (images_25_2_757.edf Zn-K*images_25_2_757.edf Ar-K**2.3)
0  0  3.35913e+06
0  1  0
0  2  2.14838e+06
0  3  0
0  4  1.28092e+07
0  5  0
0  6  2.96242e+07
0  7  1.07612e+07
0  8  6.21726e+06
0  9  1.1089e+07
0  10  1.02513e+07
0  11  1.24029e+07
0  12  897414
0  13  1.03476e+07
0  14  7.67012e+06
0  15  0
0  16  0
0  17  2.27319e+07
0  18  4.16442e+07
0  19  1.82773e+08
0  20  1.9434e+08
0  21  2.3336e+08
0  22  2.98861e+07
0  23  0
0  24  2.19071e+06
0  25  1.5937e+07
0  26  0
0  27  0
0  28  4.69875e+06
0  29  4.33958e+06
0  30  0
0  31  0
0  32  1.17846e+06
0  33  0
0  34  0
0  35  2.54909e+06
0  36  1.31312e+07
0  37  0
0  38  0
0  39  0
0  40  1.60661e+07
0  41  1.0193e+07
0  42  2.5762e+07
0  43  7.47695e+06
0  44  3.21754e+07
0  45  1.29777e+07
0  46  2.74065e+07
0  47  2.77464e+07
0  48  2.16469e+07
0  49  1.66661e+07
0  50  4.34642e+07
1  0  8.84784e+06
1  1  1.47038e+07
1  2  1.62174e+06
1  3  2.48503e+06
1  4  1.50093e+07
1  5  2.88183e+07
1  6  2.11545e+07
1  7  1.70276e+07
1  8  2.12485e+07
1  9  3.08463e+07
1  10  1.51255e+07
1  11  3.98312e+07
1  12  1.8691e+07
1  13  3.22115e+07
1  14  1.2584e+07
1  15  6.93596e+06
1  16  5.3102e+06
1  17  3.19273e+06
1  18  8.23111e+07
1  19  2.24818e+08
1  20  1.92125e+08
1  21  1.48961e+08
1  22  2.52063e+07
1  23  1.38609e+07
1  24  0
1  25  1.35314e+07
1  26  0
1  27  0
1  28  0
1  29  0
1  30  8.91151e+06
1  31  1.70247e+07
1  32  788565
1  33  0
1  34  0
1  35  0
1  36  0
1  37  0
1  38  0
1  39  1.95099e+07
1  40  1.8679e+07
1  41  4.96057e+07
1  42  2.41823e+07
1  43  2.56335e+07
1  44  2.8105e+07
1  45  3.37507e+07
1  46  2.40624e+07
1  47  2.05812e+07
1  48  2.74892e+07
1  49  2.81701e+07
1  50  6.24327e+07
2  0  3.5124e+06
2  1  1.82881e+06
2  2  0
2  3  1.72562e+07
2  4  2.16822e+07
2  5  3.67811e+07
2  6  2.19045e+07
2  7  3.42107e+07
2  8  3.63258e+07
2  9  3.23441e+07
2  10  3.29879e+07
2  11  1.94371e+07
2  12  2.52943e+07
2  13  4.69142e+07
2  14  2.47456e+07
2  15  1.70383e+07
2  16  2.05014e+07
2  17  1.36047e+07
2  18  9.62831e+07
2  19  1.58591e+08
2  20  1.80366e+08
2  21  1.21685e+08
2  22  3.01337e+07
2  23  1.80775e+07
2  24  1.5239e+07
2  25  0
2  26  7.57739e+06
2  27  0
2  28  2.61858e+06
2  29  0
2  30  0
2  31  3.3829e+06
2  32  0
2  33  4.8614e+06
2  34  1.57618e+07
2  35  268753
2  36  0
2  37  0
2  38  1.01411e+07
2  39  1.12917e+07
2  40  3.80108e+07
2  41  3.24161e+07
2  42  3.36696e+07
2  43  2.51053e+07
2  44  4.05947e+07
2  45  2.97402e+07
2  46  3.2798e+07
2  47  6.4839e+07
2  48  3.3645e+07
2  49  3.88764e+07
2  50  4.36237e+07
3  0  0
3  1  3.99715e+06
3  2  1.34492e+07
3  3  2.70369e+07
3  4  4.27852e+07
3  5  4.72945e+07
3  6  5.28824e+07
3  7  5.75331e+07
3  8  3.81179e+07
3  9  5.22712e+07
3  10  5.76513e+07
3  11  2.45474e+07
3  12  4.7415e+07
3  13  6.6866e+07
3  14  3.53761e+07
3  15  2.4087e+07
3  16  2.50142e+07
3  17  1.66173e+07
3  18  1.1998e+08
3  19  1.56481e+08
3  20  1.59794e+08
3  21  7.86784e+07
3  22  1.4369e+07
3  23  1.11522e+07
3  24  1.35302e+07
3  25  0
3  26  3.67673e+06
3  27  5.73545e+06
3  28  6.6824e+06
3  29  5.44573e+06
3  30  1.24275e+07
3  31  0
3  32  0
3  33  0
3  34  6.81332e+06
3  35  4.69821e+06
3  36  3.01771e+06
3  37  7.31079e+06
3  38  3.97497e+07
3  39  2.93848e+07
3  40  3.84446e+07
3  41  2.15713e+07
